year,state,New Private Housing Units Authorized by Building Permits: 1-Unit Structures _y,New Private Housing Units Authorized by Building Permits _x,Durable Manufacturing Earnings ,Nondurable Manufacturing Earnings ,Homeownership Rate ,Home Vacancy Rate ,Median Household Income ,All-Transactions House Price Index ,Total Investment Securities at Book Value for Commercial Banks  (DISCONTINUED),"Job Losers and Persons Who Completed Temporary Jobs, as a Percent of the Civilian Labor Force ",Durable Manufacturing Wages and Salaries ,Nondurable Manufacturing Wages and Salaries 
2017,pa,1279.5,1353.0,26707800.0,18768028.0,68.6,1.8,63173.0,400.48,,2.8,20561996.0,13601796.0
2018,pa,1308.6,1256.0,27882608.0,19040485.0,,,,420.67,,2.5,21408924.0,13650110.0
1992,ri,225.1,,,,56.8,0.7,30432.0,249.76,1906285.0,,,
1993,ri,190.4,,,,57.6,1.7,33509.0,246.06,2163131.0,,,
1994,ri,236.9,,,,56.5,2.0,31928.0,246.65,,,,
1995,ri,170.9,,,,57.9,1.9,35359.0,235.07,,,,
1996,ri,154.1,,,,56.6,1.6,36986.0,246.5,,,,
1997,ri,239.0,,,,58.7,1.2,34797.0,241.4,,,,
1998,ri,207.1,,1986232.0,1051292.0,59.8,1.5,40686.0,251.68,,,1556364.0,838652.0
1999,ri,232.3,,2052412.0,1026988.0,60.6,0.9,42719.0,257.74,,,1601116.0,817136.0
2000,ri,201.8,,2171040.0,1050792.0,61.5,1.1,42197.0,278.78,,,1708336.0,832720.0
2001,ri,196.8,,2427952.0,1053900.0,60.1,0.8,45723.0,307.94,,,1868532.0,825076.0
2002,ri,277.5,,2231600.0,1015000.0,59.4,0.6,42417.0,350.87,,,1665856.0,782848.0
2003,ri,142.4,,2068800.0,1005360.0,59.9,0.7,44711.0,405.71,,,1550904.0,767280.0
2004,ri,183.2,,,,61.5,0.6,47935.0,471.75,,3.2,,
2005,ri,138.5,,2153312.0,1042368.0,63.1,1.6,49484.0,552.33,,2.6,1604748.0,805492.0
2006,ri,219.9,,2093432.0,1064204.0,64.6,1.3,53736.0,602.26,,2.9,1556040.0,821696.0
2007,ri,206.2,,2358904.0,1110672.0,64.9,1.5,54210.0,599.8,,2.6,1719424.0,850952.0
2008,ri,96.3,,2067868.0,1070184.0,64.5,2.1,53241.0,568.63,,3.3,1548352.0,809820.0
2009,ri,40.1,,1707940.0,922140.0,62.9,2.2,51634.0,518.62,,5.2,1335112.0,713268.0
2010,ri,89.7,,1685376.0,898980.0,62.8,1.8,51623.0,474.98,,7.5,1307208.0,688000.0
2011,ri,41.8,,1826536.0,929156.0,63.4,2.3,49033.0,462.61,,6.9,1428000.0,715628.0
2012,ri,71.1,,1839444.0,934128.0,62.1,1.8,56065.0,444.61,,7.0,1392900.0,722368.0
2013,ri,64.8,,1893540.0,973668.0,61.5,1.3,56323.0,438.3,,5.9,1445808.0,754032.0
2014,ri,65.7,,1909460.0,1044720.0,61.8,1.5,58633.0,439.93,,5.3,1480304.0,806940.0
2015,ri,58.0,,1986712.0,1039512.0,58.9,1.9,55701.0,460.7,,4.1,1524364.0,813672.0
2016,ri,75.3,,1992300.0,1100944.0,56.3,1.1,61528.0,477.87,,3.2,1523240.0,873320.0
2017,ri,101.9,,2011020.0,1084440.0,56.6,0.7,66390.0,511.66,,2.8,1546096.0,858996.0
2018,ri,74.5,,2101224.0,1057576.0,,,,553.39,,2.8,1613939.0,835529.0
1992,sc,1333.7,1324.0,,,71.0,1.2,27578.0,168.67,6094744.0,,,
1993,sc,1337.0,1314.0,,,71.1,1.1,26053.0,172.32,6573038.0,,,
1994,sc,1687.7,1853.0,,,72.0,2.4,29846.0,177.82,,,,
1995,sc,1643.4,1700.0,,,71.3,2.6,29071.0,181.94,,,,
1996,sc,1663.1,2188.0,,,72.9,1.7,34665.0,191.53,,,,
1997,sc,2008.7,2274.0,,,74.1,1.5,34262.0,197.93,,,,
1998,sc,1662.9,1949.0,5984972.0,7283884.0,76.6,1.2,33267.0,209.51,,,4848276.0,6060412.0
1999,sc,2083.3,3024.0,6154940.0,7334556.0,77.1,1.5,36462.0,220.78,,,5080376.0,6127580.0
2000,sc,2047.6,3354.0,6651292.0,7484204.0,76.5,1.4,37570.0,230.24,,,5505536.0,6239248.0
2001,sc,2283.8,2389.0,6888492.0,7586652.0,76.1,1.7,37736.0,245.42,,,5631168.0,6224692.0
2002,sc,2358.5,2512.0,6717304.0,7031996.0,77.5,2.1,37812.0,254.36,,,5352700.0,5713588.0
2003,sc,2797.7,3010.0,7011000.0,7041012.0,75.0,2.0,38479.0,263.58,,,5516116.0,5668940.0
2004,sc,2537.1,2508.0,7102236.0,6620168.0,76.2,1.9,38691.0,273.37,,3.4,5583904.0,5269796.0
2005,sc,3317.6,4006.0,7607728.0,6743860.0,73.9,2.1,40230.0,291.13,,3.3,5938880.0,5350216.0
2006,sc,3886.3,4528.0,8062052.0,6542552.0,74.2,2.4,39617.0,314.74,,3.3,6332560.0,5239632.0
2007,sc,3422.3,3536.0,8274084.0,6409380.0,74.1,3.1,44213.0,335.03,,2.8,6486136.0,5110544.0
2008,sc,2066.0,2492.0,8496860.0,6393360.0,73.9,3.1,42155.0,343.71,,2.6,6741108.0,5027468.0
2009,sc,884.1,1190.0,7415076.0,5549752.0,74.4,3.0,41101.0,340.9,,4.9,6040296.0,4364960.0
2010,sc,1179.3,1104.0,7163476.0,5600196.0,74.8,3.2,41698.0,318.48,,8.1,5746084.0,4419072.0
2011,sc,990.3,915.0,8416316.0,6115456.0,74.2,3.3,40084.0,306.91,,6.8,6561816.0,4817016.0
2012,sc,1166.6,1341.0,8938040.0,6162376.0,71.5,2.1,44401.0,300.45,,6.0,7038616.0,4826604.0
2013,sc,1515.1,1705.0,9320220.0,6339528.0,72.4,2.6,43563.0,301.34,,4.8,7325764.0,4928772.0
2014,sc,1618.7,2210.0,9760816.0,6774164.0,72.9,2.7,44929.0,303.33,,3.2,7748616.0,5086556.0
2015,sc,1993.4,1899.0,10492676.0,7306100.0,67.1,2.1,46360.0,320.79,,2.8,8263692.0,5384460.0
2016,sc,1903.0,1947.0,10941584.0,7401148.0,68.9,1.9,54336.0,336.16,,2.6,8615836.0,5492908.0
2017,sc,2429.8,2633.0,11184264.0,7492468.0,72.8,1.9,54971.0,355.71,,2.0,8783260.0,5754008.0
2018,sc,2574.7,2811.0,12110200.0,7668489.0,,,,382.28,,2.0,9500250.0,5864724.0
1992,sd,214.2,91.0,,,66.5,0.9,26259.0,136.62,2400481.0,,,
1993,sd,157.6,96.0,,,65.6,0.7,27737.0,143.75,2448995.0,,,
1994,sd,142.2,147.0,,,66.4,1.4,29733.0,156.13,,,,
1995,sd,184.2,198.0,,,67.5,1.9,29578.0,160.61,,,,
1996,sd,212.5,85.0,,,67.8,1.7,29526.0,173.34,,,,
1997,sd,103.6,89.0,,,67.6,1.9,29694.0,176.71,,,,
1998,sd,176.8,118.0,980724.0,403504.0,67.3,1.8,32786.0,187.03,,,769984.0,321872.0
1999,sd,210.8,119.0,1037424.0,417484.0,70.7,1.5,35828.0,192.12,,,820164.0,332968.0
2000,sd,323.5,209.0,1065912.0,445820.0,71.2,1.6,36475.0,197.81,,,847676.0,357628.0
2001,sd,302.8,205.0,1120864.0,470636.0,71.5,1.2,39671.0,209.57,,,878668.0,377656.0
2002,sd,273.3,143.0,1074000.0,463868.0,71.5,1.3,37873.0,218.58,,,811884.0,365828.0
2003,sd,371.3,326.0,1087272.0,493400.0,70.9,2.0,39522.0,227.4,,,806024.0,379476.0
2004,sd,404.3,449.0,1160024.0,558316.0,68.5,1.6,41107.0,238.25,,1.5,853288.0,383336.0
2005,sd,336.8,202.0,1239392.0,879548.0,68.4,1.9,43151.0,254.61,,1.5,932420.0,411712.0
2006,sd,469.8,837.0,1304708.0,1532708.0,70.6,2.0,45427.0,268.6,,1.5,1004776.0,483572.0
2007,sd,349.2,234.0,1356580.0,1401344.0,70.4,1.7,46418.0,281.28,,1.3,1058804.0,478740.0
2008,sd,227.6,112.0,1467656.0,1143072.0,70.4,1.4,51600.0,291.49,,1.0,1123596.0,500684.0
2009,sd,173.2,204.0,1323328.0,611832.0,69.6,1.4,45826.0,296.26,,2.0,1002408.0,481332.0
2010,sd,231.4,88.0,1250480.0,602496.0,70.6,1.5,45352.0,288.65,,2.9,936800.0,483732.0
2011,sd,127.4,57.0,1350424.0,795104.0,69.3,1.8,47223.0,290.93,,2.8,1039984.0,526808.0
2012,sd,212.9,140.0,1482032.0,696072.0,69.2,1.0,49415.0,293.33,,1.9,1152676.0,539972.0
2013,sd,254.7,294.0,1509524.0,763768.0,67.8,1.1,53413.0,303.07,,1.9,1181668.0,556112.0
2014,sd,245.1,264.0,1596080.0,1027824.0,69.2,1.2,53053.0,310.07,,1.7,1260376.0,579900.0
2015,sd,269.2,151.0,1710260.0,1349124.0,70.1,1.1,55065.0,323.62,,1.5,1322276.0,625036.0
2016,sd,225.6,267.0,1694208.0,1556984.0,69.4,0.8,57450.0,339.11,,1.0,1308632.0,648020.0
2017,sd,232.3,257.0,1686084.0,1115380.0,67.8,1.2,56894.0,357.15,,1.2,1311596.0,704064.0
2018,sd,300.2,166.0,1817728.0,1211098.0,,,,377.21,,1.6,1410189.0,759834.0
1992,tn,1788.8,1560.0,,,67.4,1.1,24318.0,152.26,14282576.0,,,
1993,tn,2214.5,1956.0,,,64.1,1.0,25102.0,155.63,16737895.0,,,
1994,tn,2031.5,1978.0,,,65.2,1.4,28639.0,163.21,,,,
1995,tn,2194.9,2469.0,,,67.0,1.5,29015.0,171.46,,,,
1996,tn,2617.9,2948.0,,,68.8,1.6,30790.0,182.74,,,,
1997,tn,2422.2,2828.0,,,70.2,1.3,30636.0,190.7,,,,
1998,tn,2386.3,2533.0,12557604.0,8162104.0,71.3,1.2,34091.0,201.15,,,9759404.0,6592456.0
1999,tn,2170.4,2153.0,12876672.0,8799944.0,71.9,1.7,36522.0,209.38,,,10277500.0,6645788.0
2000,tn,2366.9,2888.0,13893356.0,8959112.0,70.9,1.9,34096.0,213.95,,,11115824.0,6747972.0
2001,tn,2338.5,2742.0,13205524.0,9152768.0,69.7,2.4,35783.0,224.68,,,10348540.0,6771932.0
2002,tn,2302.1,2394.0,12899508.0,9092896.0,70.3,2.1,37030.0,231.01,,,9907624.0,6564464.0
2003,tn,2528.2,2500.0,12839108.0,9283640.0,70.8,1.7,37523.0,238.5,,,9829360.0,6634348.0
2004,tn,2907.0,2957.0,13258492.0,9296052.0,71.6,2.4,38072.0,246.74,,3.0,10160568.0,6517196.0
2005,tn,3150.0,3326.0,13999392.0,9258568.0,72.4,1.7,39406.0,259.64,,2.7,10705160.0,6762384.0
2006,tn,3565.7,3782.0,14348704.0,9026528.0,71.3,1.8,40693.0,279.53,,2.1,11097788.0,6857908.0
2007,tn,2716.5,3319.0,14321380.0,8663516.0,70.2,2.1,41195.0,296.66,,2.6,11185432.0,6704532.0
2008,tn,1670.4,1749.0,13800804.0,9433576.0,71.7,3.0,39702.0,303.95,,2.4,10733720.0,7128024.0
2009,tn,857.8,934.0,11278064.0,8549676.0,71.1,2.5,40517.0,302.01,,4.4,8848608.0,6004704.0
2010,tn,1128.6,1185.0,11086028.0,8686584.0,71.0,2.6,38591.0,286.29,,7.2,8746140.0,6443100.0
2011,tn,856.4,697.0,11982904.0,8849724.0,69.3,2.8,42279.0,280.14,,5.8,9438612.0,6677704.0
2012,tn,1032.5,1266.0,12993564.0,8906108.0,67.9,2.6,42995.0,278.0,,4.8,10175216.0,6551668.0
2013,tn,1349.6,1491.0,13637640.0,9344680.0,66.8,2.0,43361.0,280.77,,4.2,10558580.0,6922116.0
2014,tn,1263.0,2422.0,14056292.0,9535644.0,66.7,2.3,43716.0,288.2,,3.6,11069324.0,7172608.0
2015,tn,1683.2,2027.0,14530876.0,9800104.0,66.5,2.4,47330.0,302.86,,3.1,11404136.0,7171372.0
2016,tn,1728.3,2892.0,15907768.0,9947480.0,66.4,1.7,51344.0,320.11,,2.6,12341316.0,7196072.0
2017,tn,2355.5,2322.0,16753868.0,10134508.0,67.2,1.3,55240.0,341.43,,2.3,12984592.0,7613352.0
2018,tn,2335.7,2760.0,17174736.0,10462179.0,,,,368.71,,1.5,13313115.0,7828653.0
1992,tx,4039.7,3716.0,,,58.3,1.6,,123.29,53958563.0,,,
1993,tx,4402.2,5338.0,,,58.7,1.9,,125.85,61227814.0,,,
1994,tx,6311.1,7636.0,,,59.7,1.8,,130.34,,,,
1995,tx,5278.5,7381.0,,,61.4,1.9,,130.2,,,,
1996,tx,7530.5,9023.0,,,61.8,1.4,,136.32,,,,
1997,tx,6376.5,8240.0,,,61.5,1.8,,137.58,,,,
1998,tx,7335.3,8549.0,35687612.0,19961216.0,62.5,2.0,,143.84,,,27726136.0,15466272.0
1999,tx,7960.0,12287.0,37050680.0,19668576.0,62.9,1.6,,150.13,,,29013840.0,15522112.0
2000,tx,8363.3,9506.0,40953360.0,20769796.0,63.8,1.6,,159.78,,,32517744.0,16335736.0
2001,tx,9500.4,11804.0,43117424.0,22794460.0,63.9,1.6,,171.5,,,33478024.0,16718532.0
2002,tx,9914.7,11570.0,38789188.0,21364756.0,63.4,1.5,,177.53,,,28800228.0,15849440.0
2003,tx,10427.6,12044.0,37210480.0,21594216.0,64.5,1.8,,184.63,,,27426448.0,15934220.0
2004,tx,11303.0,12889.0,37446056.0,21906656.0,65.5,2.2,,188.42,,3.4,28510488.0,15947728.0
2005,tx,12322.7,15847.0,40513484.0,23336960.0,65.9,2.6,,195.03,,2.7,31206848.0,16832084.0
2006,tx,15466.8,18734.0,44819244.0,25565576.0,66.0,2.2,,205.99,,2.3,35131296.0,17655368.0
2007,tx,11590.6,13270.0,47238520.0,26835024.0,66.0,2.5,,218.08,,1.9,37058152.0,18526372.0
2008,tx,8045.6,11666.0,48847768.0,27077684.0,65.5,2.3,,225.53,,1.8,37887420.0,18499548.0
2009,tx,4391.9,6121.0,43781204.0,24005512.0,65.4,1.9,,228.44,,2.7,34585568.0,16594900.0
2010,tx,5845.8,6137.0,41157784.0,24655328.0,65.3,2.0,,222.51,,4.8,32363860.0,17039248.0
2011,tx,4961.3,5310.0,45785124.0,27723672.0,64.3,1.8,,219.79,,4.5,36671792.0,18031392.0
2012,tx,6279.7,8766.0,48582332.0,29002296.0,64.3,2.0,,220.63,,3.9,39233556.0,18831416.0
2013,tx,7435.0,10962.0,51253652.0,26877844.0,63.3,2.0,,227.42,,3.3,40130292.0,19036992.0
2014,tx,7737.0,12373.0,53812276.0,29309688.0,62.2,1.5,,242.46,,2.7,42180040.0,19658384.0
2015,tx,8426.5,11515.0,55912432.0,39248204.0,61.9,1.5,,260.05,,2.2,44531140.0,21737956.0
2016,tx,7575.6,11879.0,51409796.0,28385364.0,61.5,1.8,,279.58,,2.1,41157840.0,20750740.0
2017,tx,9546.9,15236.0,51359344.0,28713904.0,61.7,1.6,,301.26,,2.3,42008812.0,21485884.0
2018,tx,10404.2,15207.0,54745997.0,30693178.0,,,,325.29,,2.0,44770546.0,22983435.0
1992,ut,781.8,672.0,,,70.0,1.1,34251.0,129.94,2736707.0,,,
1993,ut,858.5,612.0,,,68.9,1.0,35786.0,140.66,3389900.0,,,
1994,ut,1653.8,1279.0,,,69.3,1.3,35716.0,162.23,,,,
1995,ut,1325.8,1143.0,,,71.5,1.2,36480.0,184.8,,,,
1996,ut,1401.0,1481.0,,,72.7,1.0,37038.0,205.27,,,,
1997,ut,1165.9,990.0,,,72.5,2.0,42775.0,218.48,,,,
1998,ut,1279.3,1298.0,3677612.0,1396852.0,73.7,1.6,44299.0,230.59,,,3045704.0,1088280.0
1999,ut,1187.9,1131.0,3607476.0,1478096.0,74.7,1.7,46050.0,238.63,,,3000300.0,1144228.0
2000,ut,1266.8,1052.0,3813124.0,1526068.0,72.7,1.8,47550.0,236.93,,,3195664.0,1194416.0
2001,ut,1121.4,1035.0,4053060.0,1600568.0,72.4,2.0,47342.0,248.29,,,3362076.0,1212252.0
2002,ut,1279.8,1210.0,3702084.0,1644224.0,72.8,1.9,47861.0,251.26,,,2972920.0,1217380.0
2003,ut,1454.3,1277.0,3803880.0,1685444.0,73.4,2.8,49275.0,255.86,,,3031784.0,1251460.0
2004,ut,1482.7,1402.0,3986788.0,1752828.0,74.9,1.9,50871.0,260.17,,2.8,3100536.0,1311916.0
2005,ut,1966.8,2007.0,4281500.0,1807800.0,73.9,1.6,54813.0,275.84,,1.6,3322808.0,1385880.0
2006,ut,2232.9,1763.0,4757504.0,1961432.0,73.5,2.1,54628.0,315.37,,1.5,3680468.0,1516356.0
2007,ut,2015.1,1546.0,5263576.0,1995856.0,74.9,2.0,53529.0,367.14,,1.0,4084464.0,1550140.0
2008,ut,711.1,763.0,5575816.0,2193924.0,76.2,2.0,62537.0,382.58,,1.3,4276480.0,1680920.0
2009,ut,366.9,801.0,5056316.0,2146144.0,74.1,1.9,58491.0,361.07,,2.4,3937184.0,1628368.0
2010,ut,669.1,498.0,4827984.0,2160812.0,72.5,2.0,56701.0,323.31,,5.2,3764356.0,1649852.0
2011,ut,536.5,421.0,5081108.0,2301728.0,71.4,1.9,55493.0,305.19,,4.4,3997236.0,1731900.0
2012,ut,733.0,643.0,5474136.0,2403132.0,71.1,1.5,58341.0,304.56,,3.8,4216464.0,1774940.0
2013,ut,779.8,720.0,5839236.0,2503712.0,70.9,1.3,61047.0,317.52,,2.9,4370044.0,1868076.0
2014,ut,1027.8,1241.0,5783444.0,2707692.0,70.9,1.5,63383.0,341.4,,2.0,4480592.0,1976744.0
2015,ut,976.4,806.0,6108748.0,2877228.0,69.9,1.1,66258.0,358.52,,1.7,4782328.0,2061296.0
2016,ut,1286.4,1268.0,6194932.0,3097716.0,71.3,0.9,67481.0,383.04,,1.6,4848768.0,2218168.0
2017,ut,1235.7,1380.0,6553036.0,3023212.0,71.0,1.1,71319.0,415.1,,1.8,5200528.0,2222888.0
2018,ut,1850.2,2363.0,6879769.0,3138128.0,,,,457.3,,1.7,5462718.0,2301531.0
1992,vt,150.9,72.0,,,70.8,1.8,32755.0,214.07,973129.0,,,
1993,vt,182.0,90.0,,,68.5,1.3,31065.0,216.48,934025.0,,,
1994,vt,129.9,60.0,,,69.4,1.9,35802.0,219.88,,,,
1995,vt,154.8,101.0,,,70.4,1.9,33824.0,215.75,,,,
1996,vt,155.2,75.0,,,70.3,1.4,32358.0,225.86,,,,
1997,vt,131.0,106.0,,,69.1,1.5,35053.0,226.03,,,,
1998,vt,211.3,165.0,1447136.0,463296.0,69.1,0.9,39372.0,229.21,,,1185880.0,383008.0
1999,vt,122.7,80.0,1452836.0,491520.0,69.1,1.2,41584.0,235.58,,,1187620.0,404464.0
2000,vt,155.6,92.0,1558624.0,526784.0,68.7,0.9,39594.0,250.78,,,1282248.0,431528.0
2001,vt,210.6,114.0,1957888.0,506528.0,69.8,1.3,40794.0,269.22,,,1584588.0,403812.0
2002,vt,191.5,146.0,1785916.0,500600.0,70.3,1.1,42999.0,290.17,,,1412640.0,393836.0
2003,vt,226.8,117.0,1593472.0,491728.0,71.4,0.9,43261.0,308.02,,,1249412.0,382620.0
2004,vt,206.5,162.0,1567292.0,469276.0,72.0,0.8,47329.0,342.16,,2.3,1223944.0,367892.0
2005,vt,173.2,109.0,1710392.0,494360.0,74.2,0.5,50704.0,393.57,,2.1,1332020.0,383480.0
2006,vt,236.7,131.0,1683604.0,509148.0,74.0,1.2,51981.0,437.05,,1.6,1331844.0,392388.0
2007,vt,163.9,85.0,1737984.0,503604.0,73.7,1.0,47390.0,458.16,,1.9,1372936.0,380428.0
2008,vt,120.0,62.0,1805676.0,539864.0,72.8,1.6,50706.0,463.4,,1.9,1395356.0,384396.0
2009,vt,88.9,43.0,1668324.0,516784.0,74.3,1.4,52318.0,454.17,,3.0,1302444.0,363192.0
2010,vt,97.8,51.0,1537164.0,537416.0,73.6,1.9,55928.0,440.82,,4.2,1213864.0,378304.0
2011,vt,46.6,30.0,1605284.0,566204.0,74.6,1.7,51862.0,439.44,,3.7,1264800.0,405032.0
2012,vt,45.6,36.0,1650092.0,661864.0,73.4,1.6,55582.0,439.46,,3.5,1288264.0,442256.0
2013,vt,70.5,32.0,1640072.0,642420.0,73.0,1.7,65513.0,441.52,,2.5,1276428.0,460624.0
2014,vt,99.0,54.0,1535232.0,663304.0,73.5,1.9,60708.0,434.09,,2.3,1215880.0,499048.0
2015,vt,64.9,91.0,1492204.0,711632.0,71.8,2.0,59494.0,444.22,,2.1,1178756.0,555172.0
2016,vt,79.3,70.0,1440444.0,739724.0,71.3,1.6,60837.0,446.68,,1.7,1120952.0,559152.0
2017,vt,126.7,66.0,1445764.0,808152.0,71.1,1.3,63805.0,460.59,,1.6,1117512.0,605744.0
2018,vt,77.5,57.0,1516580.0,762401.0,,,,478.01,,1.5,1168747.0,567688.0
1992,va,2880.7,2856.0,,,67.8,,38198.0,191.61,15703318.0,,,
1993,va,3388.4,2800.0,,,68.5,,36433.0,192.42,17518412.0,,,
1994,va,3128.9,3146.0,,,69.3,,37647.0,195.48,,,,
1995,va,2763.3,2632.0,,,68.1,,36222.0,194.15,,,,
1996,va,2517.0,2500.0,,,68.5,,39211.0,202.23,,,,
1997,va,3130.2,3209.0,,,68.4,,42957.0,203.82,,,,
1998,va,3013.3,2721.0,8450276.0,6890676.0,69.4,,43354.0,210.48,,,6969148.0,5580616.0
1999,va,3342.9,3932.0,8355540.0,6942888.0,71.2,,45693.0,217.0,,,6949392.0,5577432.0
2000,va,3285.8,3507.0,8889360.0,7213864.0,73.9,,47163.0,230.13,,,7425652.0,5757620.0
2001,va,3569.4,3535.0,9427496.0,7287732.0,75.1,,50241.0,249.03,,,7741096.0,5707276.0
2002,va,3957.5,3973.0,8925344.0,7044304.0,74.4,,49631.0,269.36,,,7172184.0,5489180.0
2003,va,3870.7,4336.0,9155004.0,7221848.0,75.0,,54783.0,292.17,,,7298180.0,5531352.0
2004,va,3701.2,4389.0,9102900.0,7426020.0,73.4,,51141.0,324.37,,1.8,7138608.0,5457796.0
2005,va,3836.8,3850.0,9480088.0,7455180.0,71.2,,51914.0,385.45,,1.6,7396044.0,5536428.0
2006,va,3936.5,4349.0,9887300.0,7365660.0,71.1,,57119.0,448.79,,1.6,7865720.0,5512024.0
2007,va,2719.1,2865.0,10475008.0,7168512.0,71.5,,59161.0,468.22,,1.4,8352756.0,5429604.0
2008,va,2172.9,2920.0,10050292.0,7039636.0,70.6,,61985.0,459.83,,1.7,8064900.0,5369344.0
2009,va,1014.4,992.0,9269952.0,6366764.0,69.7,,60501.0,432.93,,2.4,7355956.0,4883524.0
2010,va,1373.6,1429.0,8898180.0,6326056.0,68.7,,60367.0,403.72,,4.0,6983712.0,4917132.0
2011,va,1236.0,1677.0,9395396.0,6420948.0,67.9,,62616.0,393.62,,4.1,7406184.0,5048268.0
2012,va,1326.9,1691.0,10086084.0,6449084.0,67.8,,64632.0,390.67,,3.4,7937156.0,4933520.0
2013,va,1887.1,2501.0,10219208.0,6974352.0,68.1,,65907.0,394.12,,2.6,8046904.0,4962588.0
2014,va,1626.6,1637.0,10370984.0,6937328.0,68.7,,66155.0,401.1,,2.7,8425068.0,5022960.0
2015,va,1619.8,2070.0,10617948.0,7483800.0,67.1,,61486.0,415.5,,2.2,8525412.0,5074912.0
2016,va,1684.1,2257.0,10321880.0,6743116.0,66.3,,66451.0,422.74,,1.9,8263060.0,5158988.0
2017,va,1941.4,2282.0,10558612.0,6796712.0,67.5,,71293.0,437.21,,1.6,8497176.0,5355332.0
2018,va,2020.0,2437.0,11123683.0,7246711.0,,,,458.09,,1.4,8931647.0,5692746.0
1992,wa,2506.4,2564.0,,,62.5,1.5,33900.0,188.78,3657771.0,,,
1993,wa,1972.8,1904.0,,,63.1,0.7,35655.0,195.95,4291303.0,,,
1994,wa,3113.3,3006.0,,,62.4,0.8,33533.0,205.65,,,,
1995,wa,2251.7,2354.0,,,61.6,1.2,35568.0,212.36,,,,
1996,wa,2633.4,2509.0,,,63.1,1.4,36676.0,221.6,,,,
1997,wa,2283.6,2494.0,,,62.9,1.2,44562.0,226.5,,,,
1998,wa,2531.2,3115.0,14109468.0,4277048.0,64.9,0.9,47421.0,241.73,,,11528688.0,3385856.0
1999,wa,2444.8,2494.0,14210912.0,4344784.0,64.8,2.3,45473.0,255.23,,,11686704.0,3442160.0
2000,wa,2173.8,2905.0,14231820.0,5443868.0,63.6,1.9,42525.0,269.41,,,11843048.0,4359808.0
2001,wa,2498.2,3286.0,14942116.0,4823468.0,66.4,1.7,42490.0,286.18,,,11875572.0,3712376.0
2002,wa,2371.2,2484.0,14275916.0,5236560.0,66.9,1.9,45183.0,298.53,,,11111692.0,4028504.0
2003,wa,3065.2,3113.0,13154140.0,4713672.0,65.9,1.8,47508.0,310.98,,,10236688.0,3562836.0
2004,wa,2656.2,2773.0,12923844.0,4561888.0,66.0,1.3,49922.0,330.5,,3.9,9727824.0,3411160.0
2005,wa,3423.0,3187.0,14512012.0,4734312.0,67.6,1.0,50646.0,374.41,,3.0,11032748.0,3561056.0
2006,wa,3067.7,3171.0,16708144.0,4953064.0,66.7,1.3,54723.0,444.29,,2.4,13027836.0,3762724.0
2007,wa,2865.1,4176.0,17198208.0,4975556.0,66.8,1.5,58080.0,492.15,,2.5,13404292.0,3830024.0
2008,wa,1759.8,2004.0,18209060.0,5170324.0,66.2,1.9,56631.0,500.17,,2.1,14295160.0,3915128.0
2009,wa,813.2,1218.0,16041572.0,4685624.0,65.5,2.6,60392.0,466.98,,3.6,12885400.0,3544456.0
2010,wa,1265.8,1653.0,15670108.0,4702020.0,64.4,2.7,56163.0,418.63,,5.7,12277804.0,3520472.0
2011,wa,1376.4,1090.0,18159216.0,4943956.0,64.2,2.3,56850.0,392.81,,5.8,14082176.0,3727608.0
2012,wa,1187.2,1138.0,20056616.0,5086292.0,63.5,2.0,62187.0,378.38,,5.1,15488452.0,3840936.0
2013,wa,1647.8,2368.0,21257076.0,5145352.0,62.7,1.5,63922.0,389.89,,4.6,16514232.0,3898452.0
2014,wa,1653.5,1769.0,23086320.0,5430040.0,63.6,1.6,59068.0,414.65,,3.3,18507040.0,4079012.0
2015,wa,1504.6,3212.0,22098468.0,5513860.0,62.6,1.2,67243.0,443.96,,3.2,17637248.0,4185092.0
2016,wa,1702.2,2609.0,21832128.0,5712616.0,61.6,1.3,70310.0,489.38,,2.8,17220664.0,4358760.0
2017,wa,1833.2,2777.0,21444048.0,5917416.0,63.6,0.8,75418.0,542.98,,2.3,16940596.0,4547196.0
2018,wa,2132.3,2838.0,23415983.0,6210801.0,,,,607.46,,2.1,18589500.0,4786164.0
1992,wv,152.7,103.0,,,73.3,1.3,20271.0,112.78,6453435.0,,,
1993,wv,163.2,101.0,,,73.3,1.5,22421.0,118.05,6779116.0,,,
1994,wv,206.3,142.0,,,73.7,1.9,23564.0,125.17,,,,
1995,wv,279.6,214.0,,,73.1,1.9,24880.0,129.58,,,,
1996,wv,219.7,172.0,,,74.3,2.2,25247.0,136.29,,,,
1997,wv,264.2,207.0,,,74.6,2.5,27488.0,139.18,,,,
1998,wv,213.6,157.0,1866148.0,1536536.0,74.8,2.1,26704.0,147.06,,,1453296.0,1230160.0
1999,wv,268.8,240.0,1840288.0,1533228.0,74.8,2.3,29297.0,151.14,,,1449264.0,1231940.0
2000,wv,252.1,197.0,2115964.0,1597116.0,75.9,2.4,29411.0,151.81,,,1657480.0,1269904.0
2001,wv,284.0,235.0,2054728.0,1673412.0,76.4,2.4,29673.0,160.16,,,1581604.0,1291380.0
2002,wv,322.5,269.0,2054560.0,1619584.0,77.2,2.1,29359.0,165.0,,,1546028.0,1233276.0
2003,wv,300.6,257.0,1925456.0,1652972.0,78.1,2.1,32763.0,171.35,,,1463840.0,1246508.0
