GeoFIPS,GeoName,Region,Description,2014,2015,2016
" ""23000"" ",Maine,1,  RPPs: Services: Other,100.5,100.5,100.5
" ""24000"" ",Maryland,2,RPPs: All items,110.2,109.7,109.5
" ""24000"" ",Maryland,2,  RPPs: Goods,103.5,103.5,103.4
" ""24000"" ",Maryland,2,  RPPs: Services: Rents,126.5,123.9,122
" ""24000"" ",Maryland,2,  RPPs: Services: Other,107,107,107
" ""25000"" ",Massachusetts,1,RPPs: All items,107.3,107.3,107.8
" ""25000"" ",Massachusetts,1,  RPPs: Goods,101.2,101.2,101.1
" ""25000"" ",Massachusetts,1,  RPPs: Services: Rents,123.1,123.3,122.9
" ""25000"" ",Massachusetts,1,  RPPs: Services: Other,106,105.9,105.8
" ""26000"" ",Michigan,3,RPPs: All items,93.6,93.3,93.3
" ""26000"" ",Michigan,3,  RPPs: Goods,97.4,97.4,97.3
" ""26000"" ",Michigan,3,  RPPs: Services: Rents,82,81.1,81
" ""26000"" ",Michigan,3,  RPPs: Services: Other,96.4,96.3,96.3
" ""27000"" ",Minnesota,4,RPPs: All items,97.5,97.4,97.5
" ""27000"" ",Minnesota,4,  RPPs: Goods,100.7,100.8,100.9
" ""27000"" ",Minnesota,4,  RPPs: Services: Rents,95.6,95,95.4
" ""27000"" ",Minnesota,4,  RPPs: Services: Other,94.8,94.7,94.9
" ""28000"" ",Mississippi,5,RPPs: All items,86.2,86.1,86.4
" ""28000"" ",Mississippi,5,  RPPs: Goods,93.9,93.9,93.8
" ""28000"" ",Mississippi,5,  RPPs: Services: Rents,63.4,63.1,65
" ""28000"" ",Mississippi,5,  RPPs: Services: Other,93.4,93.4,93.3
" ""29000"" ",Missouri,4,RPPs: All items,89.8,89.6,89.5
" ""29000"" ",Missouri,4,  RPPs: Goods,95.3,95.3,95.3
" ""29000"" ",Missouri,4,  RPPs: Services: Rents,74.5,73.6,73.1
" ""29000"" ",Missouri,4,  RPPs: Services: Other,92.8,92.8,92.6
" ""30000"" ",Montana,7,RPPs: All items,94.7,95.1,94.1
" ""30000"" ",Montana,7,  RPPs: Goods,99,99.1,98.9
" ""30000"" ",Montana,7,  RPPs: Services: Rents,83.8,85.5,80.9
" ""30000"" ",Montana,7,  RPPs: Services: Other,95.5,95.4,95.6
" ""31000"" ",Nebraska,4,RPPs: All items,90.5,90.6,90.5
" ""31000"" ",Nebraska,4,  RPPs: Goods,95.8,95.8,95.6
" ""31000"" ",Nebraska,4,  RPPs: Services: Rents,75.8,76.3,76.2
" ""31000"" ",Nebraska,4,  RPPs: Services: Other,92.1,92.1,92
" ""32000"" ",Nevada,8,RPPs: All items,97.5,97.5,97.4
" ""32000"" ",Nevada,8,  RPPs: Goods,96.1,96.1,96.1
