,negative,neutral,positive,quarter,year,timestamp
0,0.06751765405903024,0.9132397022666802,0.019242643674289628,1.0,2012.0,2012_1
1,0.0708039807670804,0.8863841365686385,0.04281188266428119,2.0,2012.0,2012_2
2,0.06246562204702199,0.9137272047727176,0.023807173180260356,3.0,2012.0,2012_3
3,0.06747515320047376,0.9127709974766981,0.019753849322828157,4.0,2012.0,2012_4
5,0.06143336200555992,0.9188077340214668,0.01975890397297331,1.0,2013.0,2013_1
6,0.05739114759762354,0.9115360638130074,0.031072788589369005,2.0,2013.0,2013_2
7,0.06254251244048259,0.8956162961371854,0.04184119142233201,3.0,2013.0,2013_3
4,0.047818830837698764,0.9260210467757638,0.02616012238653748,4.0,2013.0,2013_4
8,0.0460599868923243,0.9186071166968657,0.03533289641080998,1.0,2014.0,2014_1
9,0.05624865934582996,0.9064275285602585,0.03732381209391153,2.0,2014.0,2014_2
10,0.05281656616947001,0.9124801650269756,0.03470326880355443,3.0,2014.0,2014_3
11,0.052714351242352575,0.9270076906122109,0.020277958145436564,4.0,2014.0,2014_4
12,0.05390117724696261,0.9213401053512297,0.024758717401807705,1.0,2015.0,2015_1
13,0.05345888578393484,0.9229963136928474,0.02354480052321779,2.0,2015.0,2015_2
14,0.05544997111544612,0.9173399418959989,0.02721008698855502,3.0,2015.0,2015_3
15,0.052153339514659336,0.9245451929532884,0.023301467532052308,4.0,2015.0,2015_4
16,0.05567435382877696,0.9172396398767422,0.027086006294480814,1.0,2016.0,2016_1
17,0.054763253872612785,0.915923800707086,0.02931294542030119,2.0,2016.0,2016_2
18,0.05158896496048934,0.9154440873736668,0.03296694766584385,3.0,2016.0,2016_3
19,0.054832283996727495,0.9194915756648763,0.025676140338396235,4.0,2016.0,2016_4
