,negative,neutral,positive,quarter,year,timestamp
0,0.07298234371960499,0.8459337918092252,0.0810838644711698,1.0,2012.0,2012_1
2,0.06903717386284923,0.8603991893070628,0.070563636830088,2.0,2012.0,2012_2
3,0.06640427707355531,0.8627135765056605,0.0708821464207842,3.0,2012.0,2012_3
1,0.06585333339916363,0.8600530263008477,0.07409364029998865,4.0,2012.0,2012_4
4,0.0634425325825885,0.8666082608182069,0.06994920659920463,1.0,2013.0,2013_1
5,0.06647435172266425,0.8616275123496361,0.07189813592769964,2.0,2013.0,2013_2
6,0.05475013042743458,0.8612766457737837,0.0839732237987817,3.0,2013.0,2013_3
7,0.055312877429515454,0.8652613208902415,0.07942580168024305,4.0,2013.0,2013_4
8,0.06325779323854233,0.8500118207301834,0.08673038603127428,1.0,2014.0,2014_1
9,0.057579102281089034,0.8646487802116941,0.07777211750721684,2.0,2014.0,2014_2
10,0.05554484345183875,0.8706989980119813,0.07375615853617995,3.0,2014.0,2014_3
11,0.05887999191694663,0.8647856727878956,0.07633433529515775,4.0,2014.0,2014_4
13,0.042393265183403486,0.8792182802164763,0.07838845460012027,1.0,2015.0,2015_1
14,0.03833251177565999,0.8847559973710154,0.07691149085332458,2.0,2015.0,2015_2
15,0.04501915090135187,0.8718924190850197,0.08308843001362846,3.0,2015.0,2015_3
12,0.042565399963485566,0.8782034897368353,0.07923111029967919,4.0,2015.0,2015_4
16,0.031830501097944566,0.8918079487230213,0.0763615501790342,1.0,2016.0,2016_1
17,0.0419918219761439,0.8842717815803784,0.07373639644347771,2.0,2016.0,2016_2
18,0.04045827763987016,0.8744242887149131,0.08511743364521673,3.0,2016.0,2016_3
19,0.03650064100052064,0.8910411080071882,0.0724582509922912,4.0,2016.0,2016_4
