,negative,neutral,positive,quarter,year,timestamp
0,0.0640987727339938,0.892133668490315,0.04376755877569126,1.0,2012.0,2012_1
1,0.05372271504036679,0.8876042393434997,0.05867304561613343,2.0,2012.0,2012_2
2,0.066447285153778,0.9188077458549551,0.014744968991266929,3.0,2012.0,2012_3
3,0.06672430053442313,0.9021010164518495,0.03117468301372734,4.0,2012.0,2012_4
4,0.05959697545349574,0.9279994040302455,0.0124036205162588,1.0,2013.0,2013_1
5,0.05613247263541959,0.9115913555992141,0.03227617176536626,2.0,2013.0,2013_2
6,0.06517690875232775,0.8808193668528864,0.054003724394785846,3.0,2013.0,2013_3
7,0.05483813904121705,0.9087210330797807,0.0364408278790023,4.0,2013.0,2013_4
8,0.046703296703296704,0.8983516483516484,0.054945054945054944,1.0,2014.0,2014_1
9,0.05575539568345324,0.9118705035971223,0.03237410071942446,2.0,2014.0,2014_2
10,0.052536377522308865,0.9257576975641129,0.021705924913578263,3.0,2014.0,2014_3
11,0.050882001546138166,0.9168599339377328,0.03225806451612903,4.0,2014.0,2014_4
12,0.04501607717041801,0.8906752411575563,0.06430868167202572,1.0,2015.0,2015_1
13,0.06474393530997305,0.9051482479784366,0.030107816711590296,2.0,2015.0,2015_2
14,0.05194805194805195,0.9123376623376623,0.03571428571428571,3.0,2015.0,2015_3
15,0.0498407051971151,0.9257862126927663,0.02437308211011864,4.0,2015.0,2015_4
16,0.0367170626349892,0.9222462203023758,0.04103671706263499,1.0,2016.0,2016_1
17,0.062146892655367235,0.8907721280602636,0.047080979284369114,2.0,2016.0,2016_2
18,0.049106811948706544,0.9230968794010822,0.02779630865021125,3.0,2016.0,2016_3
19,0.04350484432320572,0.9184695701251058,0.03802558555168846,4.0,2016.0,2016_4
