,negative,neutral,positive,quarter,year,timestamp
0,0.059789357494366,0.9020987597540971,0.038111882751536895,1.0,2012.0,2012_1
1,0.06788395544676216,0.9126269310502336,0.019489113503004182,2.0,2012.0,2012_2
2,0.06215298997490475,0.9106973357431704,0.027149674281924923,3.0,2012.0,2012_3
3,0.07475633161479697,0.9047059044895195,0.020537763895683587,4.0,2012.0,2012_4
4,0.0475,0.92125,0.03125,1.0,2013.0,2013_1
5,0.06508903106451862,0.9105835196176675,0.024327449317813922,2.0,2013.0,2013_2
6,0.0583180457661485,0.9314473303080042,0.010234623925847253,3.0,2013.0,2013_3
7,0.05269473197247441,0.9291476319898224,0.018157636037703116,4.0,2013.0,2013_4
8,0.052683495493879746,0.9190691835179123,0.028247320988207866,1.0,2014.0,2014_1
9,0.04880012652949719,0.9316740715179226,0.019525801952580194,2.0,2014.0,2014_2
10,0.04612945315209672,0.928138470939931,0.02573207590797232,3.0,2014.0,2014_3
11,0.057736720554272515,0.9168591224018475,0.025404157043879907,4.0,2014.0,2014_4
12,0.05254856703212156,0.9079823042892864,0.039469128678592036,1.0,2015.0,2015_1
13,0.040061227512879174,0.9275639021018154,0.0323748703853054,2.0,2015.0,2015_2
14,0.03842689223332967,0.9279138745468527,0.03365923321981764,3.0,2015.0,2015_3
15,0.060700887891869476,0.9068184817237545,0.03248063038437612,4.0,2015.0,2015_4
16,0.030136986301369864,0.9260273972602739,0.043835616438356165,1.0,2016.0,2016_1
17,0.058439326228944655,0.9046866047897331,0.03687406898132233,2.0,2016.0,2016_2
18,0.05245497630331754,0.9191090047393365,0.02843601895734597,3.0,2016.0,2016_3
19,0.057301121195942335,0.9083021890016018,0.03439668980245595,4.0,2016.0,2016_4
