,negative,neutral,positive,quarter,year,timestamp
0,0.05177055290950507,0.9119900600538414,0.03623938703665355,1.0,2012.0,2012_1
1,0.060534432561759534,0.9147041019284541,0.0247614655097864,2.0,2012.0,2012_2
2,0.08416570406106318,0.8576929174877126,0.05814137845122421,3.0,2012.0,2012_3
3,0.057813911472448055,0.931345980126468,0.01084010840108401,4.0,2012.0,2012_4
4,0.04824561403508772,0.8903508771929824,0.06140350877192982,1.0,2013.0,2013_1
5,0.047407407407407405,0.9407407407407408,0.011851851851851851,2.0,2013.0,2013_2
6,0.06570249443044447,0.9117636317154231,0.022533873854132427,3.0,2013.0,2013_3
7,0.0524648177104765,0.9121882972594848,0.03534688503003868,4.0,2013.0,2013_4
8,0.027303754266211604,0.9351535836177475,0.03754266211604096,1.0,2014.0,2014_1
9,0.06447769465225825,0.9271820448877806,0.008340260459961208,2.0,2014.0,2014_2
10,0.03773584905660377,0.9245283018867925,0.03773584905660377,3.0,2014.0,2014_3
11,0.05366538713603595,0.9110944668102238,0.03524014605374028,4.0,2014.0,2014_4
12,0.04961832061068702,0.9312977099236641,0.019083969465648856,1.0,2015.0,2015_1
13,0.0446468713958989,0.9208710440408937,0.03448208456320738,2.0,2015.0,2015_2
14,0.05230271621273937,0.9128900650567868,0.03480721873047377,3.0,2015.0,2015_3
15,0.042906992611653705,0.9127824239234263,0.04431058346491998,4.0,2015.0,2015_4
16,0.03527336860670194,0.9294532627865961,0.03527336860670194,1.0,2016.0,2016_1
17,0.05859141456415162,0.9145043644625135,0.026904220973334926,2.0,2016.0,2016_2
18,0.055620137709022625,0.9095502101403916,0.03482965215058571,3.0,2016.0,2016_3
19,0.06772079072232924,0.9087359561456811,0.023543253131989607,4.0,2016.0,2016_4
