,negative,neutral,positive,quarter,year,timestamp
0,0.06609474607199564,0.9007630874232765,0.03314216650472782,1.0,2012.0,2012_1
1,0.06746810414176271,0.9070302456187834,0.02550165023945388,2.0,2012.0,2012_2
2,0.06436236485671798,0.9086049596077328,0.027032675535549215,3.0,2012.0,2012_3
3,0.06551270216682416,0.9073132363624447,0.027174061470731214,4.0,2012.0,2012_4
4,0.05561047948591201,0.9110007639419404,0.03338875657214758,1.0,2013.0,2013_1
5,0.05741055313727572,0.9060409809958594,0.036548465866864846,2.0,2013.0,2013_2
6,0.05925523240010872,0.9077438824652742,0.033000885134617124,3.0,2013.0,2013_3
7,0.05799227799227799,0.9147425997425997,0.027265122265122264,4.0,2013.0,2013_4
8,0.04964978525927421,0.9215115441155276,0.028838670625198168,1.0,2014.0,2014_1
9,0.056976531747745356,0.906940822800578,0.03608264545167666,2.0,2014.0,2014_2
10,0.055943876019519896,0.9181725400732424,0.025883583907237627,3.0,2014.0,2014_3
11,0.057739242554815114,0.9154074376196459,0.02685331982553894,4.0,2014.0,2014_4
12,0.04366356333980201,0.9229777199145153,0.033358716745682776,1.0,2015.0,2015_1
13,0.045237667282145136,0.9232503799081684,0.03151195280968643,2.0,2015.0,2015_2
14,0.045137155065855715,0.9321387349481423,0.022724109986002078,3.0,2015.0,2015_3
15,0.03835115743874374,0.9302761608230675,0.03137268173818871,4.0,2015.0,2015_4
16,0.03790080919406067,0.9374417795535404,0.024657411252398963,1.0,2016.0,2016_1
17,0.055555125455798215,0.921707220772786,0.022737653771415744,2.0,2016.0,2016_2
18,0.04206742032491928,0.9378104154775393,0.02012216419754138,3.0,2016.0,2016_3
19,0.04155868711697383,0.9356404809307188,0.022800831952307334,4.0,2016.0,2016_4
