"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"46000","South Dakota","4","SA25 1/","410","...","        Durable goods manufacturing",6083,6355,7050,8597,9177,9548,8891,10260,11229,12747,15039,14259,14067,13069,14059,17098,15860,16289,17310,18777,19326,20968,21409,23382,25925,29459,31459,32898,34537,35430,35550,35179,32234
"46000","South Dakota","4","SA25 1/","413","24","          Lumber and wood products",754,838,833,1065,1278,1348,1534,1753,2034,2166,2032,1676,1516,1419,1681,1876,1979,2195,2349,2464,2619,2733,2780,2825,2903,3124,3257,3355,3417,3447,3477,3620,"(NA)"
"46000","South Dakota","4","SA25 1/","417","25","          Furniture and fixtures",67,82,83,74,53,63,58,60,60,80,77,80,132,139,151,193,195,252,242,224,231,261,252,278,332,412,"(D)","(D)","(D)",780,854,1034,"(NA)"
"46000","South Dakota","4","SA25 1/","420","32","          Stone, clay, and glass products",850,837,894,944,1197,1256,1079,1073,1115,1167,1420,1192,1198,1088,1105,1176,1152,1157,1071,915,1037,1045,1087,1020,957,1112,1092,1306,1309,1342,1317,1325,"(NA)"
"46000","South Dakota","4","SA25 1/","423","33","          Primary metal industries","(L)","(L)",17,"(L)",20,24,"(L)",12,"(L)",10,51,95,127,169,258,272,304,362,406,439,530,536,565,677,731,842,"(D)","(D)","(D)",900,1085,734,"(NA)"
"46000","South Dakota","4","SA25 1/","426","34","          Fabricated metal products",954,946,949,948,984,1018,858,1158,1235,1334,1349,1304,1200,1149,1129,1093,1106,1278,1424,1420,1379,1561,1567,1558,1598,1770,1841,2011,2229,2419,2481,2841,"(NA)"
"46000","South Dakota","4","SA25 1/","429","35","          Industrial machinery and equipment",1330,1271,1286,1485,1504,1691,2048,2226,2732,3215,4153,4429,4413,3573,3674,5107,4478,4553,4998,5522,4835,5184,5672,6992,8648,10864,12580,13745,14625,15061,15121,14046,"(NA)"
"46000","South Dakota","4","SA25 1/","432","36","          Electronic and other electric equipment",1454,1530,1657,1953,2021,2073,1314,1503,1447,1907,2772,2418,2384,2569,2859,3785,2904,2619,2675,2695,3081,3577,3369,3558,3877,4097,4386,4142,4384,4334,4111,4235,"(NA)"
"46000","South Dakota","4","SA25 1/","435","371","          Motor vehicles and equipment",51,82,85,107,581,616,657,704,698,723,826,788,748,570,626,733,717,801,851,1119,1378,1438,1376,1503,1672,1834,1628,1641,1633,1809,1911,1926,"(NA)"
"46000","South Dakota","4","SA25 1/","438","372-379","          Other transportation equipment",325,461,633,803,598,548,181,177,160,164,220,166,155,125,115,140,128,154,175,224,163,151,141,194,207,210,147,163,167,185,179,193,"(NA)"
"46000","South Dakota","4","SA25 1/","441","38","          Instruments and related products",76,71,168,307,382,508,798,1134,1203,1331,1433,1421,1455,1412,1425,1477,1491,1505,1544,1661,1618,1749,1846,1993,2077,2073,1984,1949,1984,1928,1822,1871,"(NA)"
"46000","South Dakota","4","SA25 1/","444","39","          Miscellaneous manufacturing industries",200,228,352,371,389,375,356,460,536,650,706,690,739,856,1036,1246,1406,1413,1575,2094,2455,2733,2754,2784,2923,3121,3170,3171,3212,3225,3192,3354,"(NA)"
"46000","South Dakota","4","SA25 1/","447","...","          Ordnance 3/",13,"(L)",93,532,170,28,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"46000","South Dakota","4","SA25 1/","450","...","        Nondurable goods manufacturing",11025,10471,10648,10691,11519,11799,11523,12526,12954,13061,13400,13046,13017,12789,13005,13345,12928,13387,13385,14047,14387,14859,15056,15118,14992,15984,16665,16627,16674,15909,16258,16493,16081
"46000","South Dakota","4","SA25 1/","453","20","          Food and kindred products",7637,7390,7414,7212,7256,7499,7316,7757,7836,7741,7777,7627,7581,7752,7654,7627,7148,7712,7362,7348,7404,7699,7664,7819,7695,8363,8831,8659,8415,7888,8500,8961,"(NA)"
"46000","South Dakota","4","SA25 1/","456","21","          Tobacco products",0,0,0,0,0,0,"(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"46000","South Dakota","4","SA25 1/","459","22","          Textile mill products",19,14,17,21,14,28,19,25,36,62,120,26,31,31,22,15,17,17,18,"(D)","(D)","(D)",34,40,41,43,"(D)","(D)",27,"(D)","(D)",39,"(NA)"
"46000","South Dakota","4","SA25 1/","462","23","          Apparel and other textile products",967,628,745,715,1324,1206,1124,1409,1538,1702,1780,1676,1466,1270,1501,1668,1542,1339,1485,1611,1800,1699,1868,"(D)","(D)",1588,1553,1627,1705,1436,1129,1021,"(NA)"
"46000","South Dakota","4","SA25 1/","465","26","          Paper and allied products",35,41,40,39,40,45,48,66,73,93,121,167,168,152,154,163,199,"(D)",230,389,371,366,442,"(D)","(D)","(D)","(D)","(D)",858,888,797,790,"(NA)"
