"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"27000","Minnesota","4","SA45","10","...","Cash receipts from marketings (thousands of dollars)",2071532,2287586,2297505,2594271,4206632,4596912,3988602,4035859,4082824,5191523,5797755,6851505,6658062,6207385,6672419,6325753,6081160,5944135,6612657,7378550,7132499,7218526,7679904,6984328,6758453,6246871,7837454,8991642,8012402,7977997,7557664,8209346,8209998,8342846,9384893,10488407,10105460,11024820,13714688,16641797,14545836,16339139,18707700,21942149,22618543,20493042,17191026,17667774
"27000","Minnesota","4","SA45","20","...","  Cash receipts: Livestock and products",1424956,1457377,1514842,1652570,2252463,2073940,2185703,2325976,2386071,2787853,3181964,3537517,3622550,3776719,3559259,3565266,3576805,3633398,3808124,3758857,3882859,4005704,3832020,3838994,4084848,3685649,3724813,4379275,4275557,4081805,3873548,4312754,4852101,4090351,4651807,5641387,5697155,5457937,6556475,6778674,5758204,6762246,7630175,7987583,8288370,10326790,8337157,7652017
"27000","Minnesota","4","SA45","30","...","    Meat animals and other livestock",870080,874077,922378,1032441,1397312,1198454,1280234,1305907,1338727,1641180,1859967,2066255,2007372,2120416,1840963,1855259,1892264,1958564,2206561,2138436,2084618,2181587,2160502,2099629,2349594,1975071,2023985,2303154,2409428,2044342,1951619,2590673,2925983,2436138,2909986,3480193,3627034,3498034,3832416,3997682,3674710,4286892,4696814,5030650,5288882,6756934,5360806,4845501
"27000","Minnesota","4","SA45","31","...","      Cattle and calves",529087,545629,619246,653705,813660,633837,644534,749097,739334,848367,1059981,1196076,1082824,1127052,953087,991615,1039810,1062444,1214757,1226454,1119207,1053710,1096810,1089610,1254446,980781,986740,995479,1022798,868188,890755,1077438,1135683,1038515,1224253,1223291,1248779,1208443,1364523,1345972,1192775,1422471,1494720,1676550,1873687,2723353,2342280,2094408
"27000","Minnesota","4","SA45","32","...","      Hogs and pigs",309023,298897,278716,353671,551277,535543,604741,521230,567233,757766,760234,833990,890935,956225,845131,822960,814842,850065,950776,848322,902121,1091378,1025720,962675,1050161,946232,985506,1245607,1315386,1103551,1006448,1456269,1726035,1326127,1588319,2163095,2282529,2197108,2374429,2520328,2335574,2724513,3036801,3165161,3246344,3842325,2856072,2588944
"27000","Minnesota","4","SA45","33","...","      Sheep and other livestock",31970,29551,24416,25065,32375,29074,30959,35580,32160,35047,39752,36189,33613,37139,42745,40684,37612,46055,41028,63660,63290,36499,37972,47344,44987,48058,51739,62068,71244,72603,54416,56966,64265,71496,97414,93807,95726,92483,93464,131382,146361,139908,165293,188939,168851,191256,162454,162149
"27000","Minnesota","4","SA45","40","...","    Dairy products",422772,442807,461539,479165,570531,666699,675323,785064,816973,880685,1026158,1173660,1306692,1333046,1402049,1290333,1285133,1238325,1216243,1194425,1304730,1308119,1149315,1250305,1226240,1194086,1181688,1362180,1200290,1425935,1312220,1126560,1297343,1011318,1044224,1336334,1246630,1074320,1692108,1658262,1194476,1449322,1800925,1757728,1842732,2237456,1646832,1606248
"27000","Minnesota","4","SA45","50","...","    Poultry and poultry products",132104,140493,130925,140964,284620,208787,230146,235005,230371,265988,295839,297602,308486,323257,316247,419674,399408,436509,385320,425996,493511,515998,522203,489060,509014,516492,519140,713941,665839,611528,609709,595521,628775,642895,697597,824860,823491,885583,1031951,1122730,889018,1026032,1132436,1199205,1156756,1332400,1329519,1200268
"27000","Minnesota","4","SA45","60","...","  Cash receipts: Crops",646576,830209,782663,941701,1954169,2522972,1802899,1709883,1696753,2403670,2615791,3313988,3035512,2430666,3113160,2760487,2504355,2310737,2804533,3619693,3249640,3212822,3847884,3145334,2673605,2561222,4112641,4612367,3736845,3896192,3684116,3896592,3357897,4252495,4733086,4847020,4408305,5566883,7158213,9863123,8787632,9576893,11077525,13954566,14330173,10166252,8853869,10015757
"27000","Minnesota","4","SA45","70","...","    Total grains",539525,704538,652907,796061,1716609,2203600,1507765,1426440,1385371,2095737,2270452,2909745,2678392,1999978,2704426,2324869,2038993,1814516,2211493,3034321,2605081,2534196,3218128,2432236,2036929,1742177,3417312,3797273,2971313,3095152,2890852,3149549,2551497,3405219,3666178,3873442,3284867,4340925,5897140,8283637,7271208,8023791,9370403,12123736,12378744,8589223,7389293,8523551
