state,total_engi,temporary_visa_engi,totals_science,temporary_visa_science,total_area_sqm,land_area,water_area,total_employed,member of unions,percent of employed,represented by unions,union_represent_percentage,sales_tax,us_population,irp,RPP,gdp,personal income,person consumption expenditure,ending_establishments,expanding_establish,gross_contracting_establishment,net_change,opening_establish,total_contract,total_expanding
North Carolina,4235,2280,1194,500,53819,48618,5201,4225.0,129.0,3.0,174.0,4.1,4.5,10156689,100.4,90.9,2071614,428638808,342753,150269,720047,668690,65331,164243,818959,884290
North Dakota,426,246,78,31,70698,69001,1698,363.0,20.0,5.5,25.0,7.0,5.0,755548,101.1,91.5,208357,41404978,36552,18766,78343,94657,-15515,19565,113423,97908
Ohio,7356,4276,686,431,44826,40861,3965,4970.0,617.0,12.4,702.0,14.1,5.5,11622554,98.6,89.3,2502861,517918190,434951,150009,888769,862249,28097,151586,1012258,1040355
Oklahoma,1316,829,181,95,69899,68595,1304,1482.0,80.0,5.4,97.0,6.6,4.5,3921207,98.3,89.0,731750,167502814,129390,58490,242642,260114,-12985,62977,318604,305619
Oregon,1603,855,402,155,98379,95988,2391,1691.0,228.0,13.5,267.0,15.8,0.0,4085989,110.2,99.8,907281,185839645,162684,68611,350339,319352,35715,73339,387963,423678
Pennsylvania,8052,4798,1583,887,46054,44743,1312,5686.0,685.0,12.1,724.0,12.7,6.0,12787085,108.7,98.4,2899743,648694472,522697,157758,925178,901270,43490,177340,1059028,1102518
Rhode Island,456,192,276,115,1545,1034,511,481.0,74.0,15.5,81.0,16.9,7.0,1057566,110.0,99.6,229730,53272444,44850,18545,77897,80027,-1976,18699,98572,96596
South Carolina,1672,1005,185,77,32020,30061,1960,1981.0,32.0,1.6,52.0,2.6,5.0,4959822,99.8,90.3,838865,196049325,165036,59470,342130,316941,38537,72818,376411,414948
South Dakota,394,245,61,43,77116,75811,1305,379.0,20.0,5.2,26.0,7.0,4.0,861542,97.6,88.3,192555,41398241,34164,12303,71136,73101,1346,15614,85404,86750
Tennessee,1950,784,516,255,42144,41235,909,2746.0,158.0,5.7,174.0,6.4,7.0,6649404,99.6,90.2,1315080,288169968,227596,60687,488349,456973,48679,77990,517660,566339
Texas,16047,11096,2510,1628,268596,261232,7365,11457.0,462.0,4.0,606.0,5.3,6.25,27904862,107.1,96.9,6467203,1289310024,1018027,351754,1888996,1845572,114086,422416,2197326,2311412
Utah,1535,520,368,162,84897,82170,2727,1318.0,62.0,4.7,79.0,6.0,4.8,3044321,107.5,97.3,625408,124871199,107142,55290,268892,241909,31820,60127,297199,329019
Vermont,94,41,32,12,9616,9217,400,290.0,33.0,11.5,37.0,12.9,6.0,623354,112.3,101.6,124367,31219885,29761,13165,58369,59243,-218,13821,72408,72190
Virginia,4582,2001,498,256,42775,39490,3285,3748.0,160.0,4.3,226.0,6.0,4.0,8414380,113.0,102.3,1977396,445461657,350198,152713,618083,590494,24013,149137,743207,767220
Washington,2730,1089,744,311,71298,66456,4842,3090.0,539.0,17.4,577.0,18.7,6.5,7280934,116.6,105.5,1878958,397772297,312817,104284,643772,569342,76097,105951,673626,749723
West Virginia,607,341,48,28,24230,24038,192,669.0,79.0,11.8,88.0,13.2,6.0,1828637,96.7,87.6,293494,67061987,63022,24200,108867,120275,-10566,25042,144475,133909
Wisconsin,2212,961,548,245,65496,54158,11339,2696.0,219.0,8.1,244.0,9.0,5.0,5772917,102.5,92.8,1238146,270225982,224143,75584,458789,457303,10929,85027,532887,543816
Wyoming,230,100,37,14,97813,97093,720,248.0,16.0,6.3,18.0,7.3,4.0,584910,106.9,96.7,151431,32270465,23611,12149,54907,65217,-9290,13169,77366,68076
