date,net_change,total_expand,expand_establish,open_establish,total_contract,contract_establish,end_establish,industry
12/31/04,124,864,683,181,740,587,153,Construction
3/31/05,55,858,670,188,803,639,164,Construction
6/30/05,91,862,686,176,771,605,166,Construction
9/30/05,114,893,706,187,779,613,166,Construction
12/31/05,118,892,707,185,774,621,153,Construction
3/31/06,178,942,749,193,764,609,155,Construction
6/30/06,4,843,678,165,839,672,167,Construction
9/30/06,-77,803,638,165,880,710,170,Construction
12/31/06,2,841,670,171,839,680,159,Construction
3/31/07,49,883,706,177,834,668,166,Construction
6/30/07,-38,824,656,168,862,691,171,Construction
9/30/07,-117,778,615,163,895,724,171,Construction
12/31/07,-71,804,643,161,875,703,172,Construction
3/31/08,-108,774,616,158,882,707,175,Construction
6/30/08,-186,747,592,155,933,742,191,Construction
9/30/08,-187,713,562,151,900,717,183,Construction
12/31/08,-325,652,509,143,977,777,200,Construction
3/31/09,-429,574,442,132,1003,807,196,Construction
6/30/09,-326,621,478,143,947,760,187,Construction
9/30/09,-204,618,481,137,822,639,183,Construction
12/31/09,-146,623,473,150,769,604,165,Construction
3/31/10,-129,610,474,136,739,577,162,Construction
6/30/10,5,685,534,151,680,533,147,Construction
9/30/10,0,662,519,143,662,512,150,Construction
12/31/10,-50,646,502,144,696,540,156,Construction
3/31/11,-23,627,496,131,650,506,144,Construction
6/30/11,41,674,530,144,633,493,140,Construction
9/30/11,78,700,553,147,622,490,132,Construction
12/31/11,-24,637,498,139,661,515,146,Construction
3/31/12,50,674,540,134,624,491,133,Construction
6/30/12,7,645,512,133,638,509,129,Construction
9/30/12,38,655,519,136,617,485,132,Construction
12/31/12,68,673,536,137,605,475,130,Construction
3/31/13,74,682,551,131,608,481,127,Construction
6/30/13,50,669,535,134,619,496,123,Construction
9/30/13,81,672,535,137,591,475,116,Construction
12/31/13,16,656,526,130,640,513,127,Construction
3/31/14,88,679,554,125,591,471,120,Construction
