"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"00000","United States"," ","SA4","45","...","  Equals: Net earnings by place of residence",65250000,57870000,48222000,36189000,34909000,41405000,47622000,53258000,59253000,54289000,57803000,62944000,80096000,107099000,133668000,142959000,144279000,148822000,159554000,177313000,172443000,189597067,220043025,235397210,248411748,246775472,264147408,283741583,297510155,301339024,320524331,332177000,343412000,364907000,381667000,408840000,441292000,480323000,509925000,558597000,611324000,648998000,693148000,762911000,845985000,911480000,973263000,1074960000,1193993000,1348475000,1499686000,1622682000,1768681000,1846629000,1964087000,2177125000,2336797000,2486516000,2676157000,2902290000,3087036000,3274690000,3364519000,3610830000,3767518000,3957100000,4151528000,4411476000,4712212000,5094891000,5451884000,5908984000,6149130000,6261271000,6481771000,6870817000,7192010000,7624221000,7914735000,8110322000,7783877000,7996462000,8478231000,8893641000,9022626000,9415141000,9818645000,10064664000,10381475566
"00000","United States"," ","SA4","46","...","  Plus: Dividends, interest, and rent 7/",18687000,17280000,14937000,12200000,10485000,10782000,11100000,12718000,13317000,12235000,13131000,13546000,14648000,15496000,16470000,17201000,18257000,20472000,22286000,24096000,25527000,29400596,31073310,33225102,36524381,39551565,42691741,45985598,49444156,51821822,55843609,60178000,63691000,68949000,73971000,80452000,87161000,93005000,98912000,106013000,117504000,131347000,142568000,154485000,172380000,197314000,216311000,231701000,257864000,292831000,332744000,403449000,495897000,564887000,609143000,690178000,739369000,774016000,796608000,861053000,972747000,1018532000,1023199000,1043340000,1079356000,1144336000,1240859000,1321093000,1408123000,1509934000,1510155000,1638583000,1646195000,1604837000,1655158000,1755766000,1901610000,2142567000,2352625000,2425839000,2148084000,2138496000,2394775000,2644535000,2618387000,2851897000,3044683000,3079782000,3180511268
"00000","United States"," ","SA4","47","...","  Plus: Personal current transfer receipts",1189000,1221000,2348000,1745000,1691000,1752000,1976000,3081000,1975000,2399000,2518000,2681000,2656000,2664000,2489000,3107000,5642000,10550000,10820000,10252000,11212000,14011114,11443374,11917188,12553683,14358590,15734305,16879149,19584705,23529435,24306053,25740000,29450000,30392000,32209000,33504000,36178000,39617000,48014000,56094000,62322000,74733000,88248000,98130000,112848000,133639000,170424000,184845000,195111000,210561000,236376000,280874000,319762000,356141000,384671000,401232000,425761000,451711000,468094000,497410000,544186000,597231000,668048000,747939000,792906000,828880000,883374000,929128000,954797000,983878000,1026144000,1087280000,1192565000,1284653000,1347296000,1421293000,1516700000,1614562000,1728059000,1956544000,2147483000,2324655000,2360430000,2366309000,2427947000,2544350000,2684333000,2768331000,2851564029
"00000","United States"," ","SA4","50","...","  Wages and salaries",50356000,46110000,39053000,30413000,28935000,33639000,36614000,41832000,46017000,42886000,45848000,49694000,61757000,80991000,102686000,110909000,110553000,109748000,121545000,134098000,133285000,146518324,170163335,183966933,197343886,195820122,210663445,227721336,238572373,239451426,258198893,270156000,277777000,296368000,311743000,334294000,359922000,395507000,423437000,465671000,512186000,545441000,579284000,633484000,703743000,767390000,810075000,894943000,988970000,1115885000,1248272000,1366990000,1503905000,1579008000,1668739000,1835609000,1972752000,2093721000,2246552000,2428973000,2572279000,2729857000,2801967000,2956907000,3072485000,3231494000,3413758000,3612299000,3872714000,4177471000,4456769000,4823765000,4950126000,4992932000,5133958000,5417439000,5688826000,6051676000,6391231000,6528825000,6244497000,6368897000,6623278000,6921522000,7108581000,7469209000,7852755000,8079770000,8344886178
"00000","United States"," ","SA4","60","...","  Supplements to wages and salaries",953000,962000,924000,835000,769000,828000,956000,1346000,2186000,2418000,2583000,2884000,4021000,5655000,6525000,6960000,7835000,9662000,8756000,8466000,9231000,10917936,13825580,15229894,16092645,16761356,18290564,20192835,22543899,23102610,25793382,28059000,29609000,32536000,35267000,37849000,41101000,48126000,51718000,57614000,65458000,71327000,80397000,92803000,104385000,116274000,133470000,149578000,172732000,197410000,225310000,250216000,280876000,303420000,332838000,368598000,402260000,437175000,463609000,505705000,554920000,596755000,632334000,701929000,738305000,770837000,782164000,803266000,835466000,893772000,949824000,1028192000,1089376000,1142327000,1222319000,1312851000,1389883000,1439940000,1498040000,1541137000,1529896000,1577487000,1628792000,1672612000,1718966000,1772864000,1842685000,1886437000,1948695091
"00000","United States"," ","SA4","61","...","    Employer contributions for employee pension and insurance funds 8/",945000,955000,919000,827000,765000,821000,944000,1104000,1156000,1219000,1279000,1508000,2305000,3647000,4197000,4495000,4757000,4975000,5006000,5503000,6002000,7539491,9736544,11086917,11870173,12136102,13110537,14505836,16170289,16754344,17935391,18851000,20042000,21400000,22916000,25281000,28076000,31379000,33831000,37814000,42871000,47660000,54108000,61798000,64757000,71733000,86913000,95352000,111824000,126097000,142960000,161535000,177584000,194013000,213359000,230028000,255020000,279828000,297900000,321651000,361824000,391000000,418007000,474106000,499171000,517192000,518505000,528923000,546344000,587016000,626971000,683466000,731928000,776859000,840438000,904866000,962529000,993280000,1037070000,1070547000,1072547000,1108951000,1135817000,1159181000,1193116000,1225820000,1272209000,1303804000,1339583921
"00000","United States"," ","SA4","62","...","    Employer contributions for government social insurance",8000,7000,5000,8000,4000,7000,12000,242000,1030000,1199000,1304000,1376000,1716000,2008000,2328000,2465000,3078000,4687000,3750000,2963000,3229000,3378445,4089036,4142977,4222472,4625254,5180027,5686999,6373610,6348266,7857991,9208000,9567000,11136000,12351000,12568000,13025000,16747000,17887000,19800000,22587000,23667000,26289000,31005000,39628000,44541000,46557000,54226000,60908000,71313000,82350000,88681000,103292000,109407000,119479000,138570000,147240000,157347000,165709000,184054000,193096000,205755000,214327000,227823000,239134000,253645000,263659000,274343000,289122000,306756000,322853000,344726000,357448000,365468000,381881000,407985000,427354000,446660000,460970000,470590000,457349000,468536000,492975000,513431000,525850000,547044000,570476000,582633000,609111170
"00000","United States"," ","SA4","70","...","  Proprietors' income 9/",14015000,10871000,8315000,5012000,5268000,7007000,10124000,10392000,12520000,10599000,11121000,12234000,16650000,23340000,28224000,29346000,30823000,35636000,34619000,39309000,34714000,37656181,42746758,43198392,42178876,42420569,44452998,46009059,47988274,50343580,50553657,50580000,53192000,55228000,56389000,59125000,63658000,67925000,69466000,73823000,77578000,78354000,84448000,95666000,113193000,112851000,118891000,131637000,145225000,166264000,178608000,171401000,179174000,172629000,187865000,229722000,242421000,257781000,287743000,327671000,343602000,356441000,358406000,405284000,432566000,461424000,486777000,549386000,589655000,646578000,703086000,759289000,839053000,873697000,900796000,965634000,982632000,1051175000,982863000,1024492000,969329000,1029442000,1139170000,1246099000,1294210000,1323046000,1326015000,1338565000,1384900853
"00000","United States"," ","SA4","71","...","    Farm proprietors' income",5659000,3896000,3034000,1750000,2224000,2580000,4894000,3946000,5638000,4011000,4023000,4065000,6026000,9688000,11543000,11438000,11823000,14177000,14383000,16735000,12013000,12903874,15332942,14342695,12197805,11778108,10745568,10619680,10583786,12437589,10070933,10642000,11243000,11210000,11004000,9775000,12023000,13011000,11635000,11653000,13407000,13445000,13930000,17598000,29748000,24106000,22650000,17873000,16697000,20211000,21322000,11540000,18521000,14752000,7790000,22412000,22351000,24097000,30168000,28619000,34688000,34148000,29233000,37681000,33410000,36574000,24325000,39333000,34168000,30834000,30755000,32996000,34334000,22590000,38777000,54019000,50044000,33464000,41796000,45011000,31793000,42748000,71046000,66290000,97235000,75394000,60885000,39821000,34126000
"00000","United States"," ","SA4","72","...","    Nonfarm proprietors' income",8356000,6975000,5281000,3262000,3044000,4427000,5230000,6446000,6882000,6588000,7098000,8169000,10624000,13652000,16681000,17908000,19000000,21459000,20236000,22574000,22701000,24752307,27413816,28855697,29981071,30642461,33707430,35389379,37404488,37905991,40482724,39938000,41949000,44018000,45385000,49350000,51635000,54914000,57831000,62170000,64171000,64909000,70518000,78068000,83445000,88745000,96241000,113764000,128528000,146053000,157286000,159861000,160653000,157877000,180075000,207310000,220070000,233684000,257575000,299052000,308914000,322293000,329173000,367603000,399156000,424850000,462452000,510053000,555487000,615744000,672331000,726293000,804719000,851107000,862019000,911615000,932588000,1017711000,941067000,979481000,937536000,986694000,1068124000,1179809000,1196975000,1247652000,1265130000,1298744000,1350774853
"00000","United States"," ","SA4","7010","...","Total employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",91053200,91277600,91581400,94312200,98427500,100111800,98900600,101591200,105042200,109686600,113147100,113983200,114914000,114163300,115645700,120528100,123796700,126232300,129548400,133563900,136177800,138330900,137612800,138166100,140774400,144196600,147915800,151056200,154541200,158481200,161531300,165370800,165519200,165159100,166026500,169036700,172557400,176123600,179885700,179639900,174233700,173034700,176278700,179081700,182408100,186354800,190422800,193668400,"(NA)"
"00000","United States"," ","SA4","7020","...","  Wage and salary employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",78722000,78793000,78812000,80992000,84657000,86086000,84604000,86966000,89963000,94328000,97408000,97646000,98344000,96841000,97636000,102080000,104616000,106505000,109399000,112486000,115124000,116544000,115086000,115666000,117717000,120568000,123412000,125711000,128681000,131920000,134766000,137610000,137331000,136365000,136072000,137601000,139560000,141915000,143512000,143010000,136839000,135526000,137105000,139721000,142015000,144841000,147740000,149987000,"(NA)"
"00000","United States"," ","SA4","7040","...","  Proprietors employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",12331200,12484600,12769400,13320200,13770500,14025800,14296600,14625200,15079200,15358600,15739100,16337200,16570000,17322300,18009700,18448100,19180700,19727300,20149400,21077900,21053800,21786900,22526800,22500100,23057400,23628600,24503800,25345200,25860200,26561200,26765300,27760800,28188200,28794100,29954500,31435700,32997400,34208600,36373700,36629900,37394700,37508700,39173700,39360700,40393100,41513800,42682800,43681400,"(NA)"
"Note: See the included footnote file."
"SA4: Personal Income and Employment by Major Component"
"Last updated: March 22, 2018-- new estimates for 2017; revised estimates for 2010-2016."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
