"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"47000","Tennessee","5","SA25 1/","400","D","      Manufacturing",477171,469920,466378,497945,530265,526023,466209,494019,515928,531223,535860,512690,515743,476675,481230,506808,502973,501611,506691,520010,533240,530081,514241,524937,539922,551162,551297,532265,529277,527239,523331,517810,483986
"47000","Tennessee","5","SA25 1/","410","...","        Durable goods manufacturing",203420,199046,195307,214960,235617,237156,198670,212489,227438,240018,246644,229466,231119,208721,213857,244582,249082,249379,252007,260607,269444,267052,258493,266489,279765,292585,299364,297034,300309,303755,309427,309945,286274
"47000","Tennessee","5","SA25 1/","413","24","          Lumber and wood products",20873,20260,18756,19863,19876,20045,19483,21131,22203,22727,24828,22892,20794,19259,20566,22565,22605,23110,22964,23965,23924,23592,22290,22222,23907,24479,26006,26211,26687,26554,26944,26639,"(NA)"
"47000","Tennessee","5","SA25 1/","417","25","          Furniture and fixtures",23997,25122,25217,28795,29672,27514,22979,25035,25486,26569,24329,21562,21918,20377,22000,24463,25687,25311,25738,26478,27788,27834,26734,28218,30264,30863,30324,29547,28388,28223,28158,28091,"(NA)"
"47000","Tennessee","5","SA25 1/","420","32","          Stone, clay, and glass products",14867,14571,14700,15512,18402,18425,15032,16463,17416,17918,17193,15346,14786,13098,13777,15656,14900,15652,16280,15690,15888,15442,14032,14584,15812,17076,16941,17250,16905,16922,17328,17575,"(NA)"
"47000","Tennessee","5","SA25 1/","423","33","          Primary metal industries",18898,19318,18591,18496,17871,19428,16074,16970,18216,18240,19387,18061,18038,15618,14715,15276,15727,15731,15370,15804,15893,15673,15285,15444,15688,16564,16708,16973,17443,18042,18220,17943,"(NA)"
"47000","Tennessee","5","SA25 1/","426","34","          Fabricated metal products",27932,27676,28180,29696,30670,30739,32893,30857,32744,34550,35600,33522,32170,29040,29146,39621,41379,41194,41064,42229,43816,44827,43488,43563,45935,47140,47971,46379,46622,47133,47994,49077,"(NA)"
"47000","Tennessee","5","SA25 1/","429","35","          Industrial machinery and equipment",20609,20680,20776,24007,30144,34240,28086,30538,33535,35312,37896,36085,37620,32868,31928,36722,37843,36634,36550,38593,40849,38941,36800,38521,40180,42953,44894,44832,46621,48293,50475,52232,"(NA)"
"47000","Tennessee","5","SA25 1/","432","36","          Electronic and other electric equipment",35612,33931,33625,38834,43834,41843,31208,34577,38470,40706,42095,40671,41738,36296,36920,40481,38595,36803,36926,38321,40136,37627,35630,35793,37571,39523,40431,40590,40374,40695,41908,40787,"(NA)"
"47000","Tennessee","5","SA25 1/","435","371","          Motor vehicles and equipment",5674,6266,6967,8807,10896,11615,9105,11170,12190,14348,14545,11827,12474,12106,12925,16526,17669,18865,19788,21626,22775,25859,29474,33544,36550,39015,40723,40844,42667,43302,44584,44330,"(NA)"
