"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"96000","Southwest","6","SA4","45","...","  Equals: Net earnings by place of residence",3426554,2891067,2364034,1760486,1795764,2109242,2474411,2706660,3164898,2971849,3098684,3357718,4300021,6340504,8555820,9284525,9162021,8951472,9960938,11110650,11841315,12497358,14798350,16161705,16453955,16634391,17860319,19196391,20417167,21092227,22181050,22780263,23944448,25100270,25999399,27903233,29930856,32686123,35410579,39450708,43704593,47514438,51407944,57276525,64693090,71655369,79792255,90444583,101719890,117542362,135863157,153112907,176510203,189120362,197945381,216352824,231060560,237001623,244074956,259346018,273846702,294930134,309139858,333616666,355462291,376077371,399723841,430627122,472245280,518867618,552438064,602873124,642667936,650589458,671910479,708854239,765457433,841395980,880180109,939872140,874596802,908312494,987442427,1057226479,1090264549,1162218410,1191297359,1187915533,1226039489
"96000","Southwest","6","SA4","46","...","  Plus: Dividends, interest, and rent 7/",736504,671159,553332,447847,404808,439422,457584,555023,628084,661539,668257,653961,659035,787829,912721,971331,1037026,1216244,1330611,1448811,1614689,1836796,1980994,2170525,2419018,2690692,2884908,3080701,3368485,3692736,4053140,4370775,4616121,4853341,5152296,5512324,5881698,6257426,6623470,7099155,8360917,9746744,10833873,11949920,13665801,15973054,17728753,19105241,21250934,25041237,29055378,35760920,44676183,52497154,57355685,64916766,71685814,73372966,73561277,77670185,85325390,88440892,88824446,90330743,93116840,99791543,108708952,115607551,122963598,132121341,132917160,145633874,146575975,143016105,150163674,157725398,181649125,201244211,222499361,247485139,217786502,216317518,246471621,278699078,272671372,300912795,316618019,319842231,330739102
"96000","Southwest","6","SA4","47","...","  Plus: Personal current transfer receipts",56946,60023,135289,91131,79943,81105,84188,173435,105101,110480,121293,126546,139687,156017,154079,197821,376123,751742,809694,767957,795963,1011710,820412,819232,875366,928957,1038990,1122642,1278780,1438079,1555960,1644548,1850833,1994847,2152142,2246904,2451461,2674395,3242022,3812334,4252154,5038290,5884916,6594424,7839053,9356556,11830620,12979702,13780579,15262752,17433460,20480106,23384705,26442774,29517005,31305044,33530346,36547638,38602358,40956227,45253075,50197672,55744262,64769272,69291733,74296602,80479556,85917635,89538969,91833332,95405855,101034754,111572570,122552892,131608754,139866218,154177203,166223702,181564040,207400851,227844873,250357763,256733437,256701626,265077022,280538576,297649044,309240069,316286508
"96000","Southwest","6","SA4","50","...","  Wages and salaries",2232579,2064025,1726598,1354135,1306095,1500483,1633610,1887021,2113047,2099279,2151058,2284268,2834828,4159778,5947774,6582898,6619112,5922094,6526125,7630161,7972601,8806102,10424388,11740606,12291396,12451565,13494421,14743741,15586134,15843024,16901147,17567529,18326545,19464843,20381683,21881469,23364194,25785962,28308057,31597121,35326838,38294183,41151308,45462855,51303113,57956565,63902729,72581054,82066968,95608338,110800367,128112789,149039948,161414078,166423824,181491555,194028598,196152850,201220480,213070945,224181374,240686164,253604643,269237037,283374262,300457531,321644408,344829353,376616056,413345338,440229257,480035685,499767920,502611865,514825653,545105432,584630724,640313408,688499692,718133493,691731678,707070348,747297413,793463193,821723863,873427430,910612948,923233397,954342230
"96000","Southwest","6","SA4","60","...","  Supplements to wages and salaries",44129,44585,42525,38618,37248,40379,45374,51561,97070,106542,114351,135009,215783,371896,436525,438270,510422,584143,495408,492915,588903,698742,877661,1027814,1068180,1139275,1247215,1364172,1527537,1643852,1794284,1903972,2026025,2170922,2319545,2488041,2679592,3148818,3522189,3915972,4501849,5003438,5720661,6624660,7572167,8734925,10382058,11895696,13915736,16187784,19042968,22071997,25891041,28690958,30757956,33753994,36501882,38530506,39439455,42522895,47035454,51258279,55691175,60608314,64122237,67733870,69535609,72797988,76987810,83363890,88211461,96443682,103265315,107883967,115471340,121579108,129684993,139241006,145770260,150426272,152418543,159393219,163928304,172457629,179421787,187458257,198838099,202269574,209350657
"96000","Southwest","6","SA4","61","...","    Employer contributions for employee pension and insurance funds 8/",43530,44061,42151,38019,36949,40080,45001,51411,54312,55111,60123,79462,160765,297679,347451,333027,330368,307784,297823,339749,412578,547260,697500,827241,862247,900482,978230,1064284,1173596,1279584,1353360,1388092,1488474,1573855,1651826,1799245,1957807,2200719,2454650,2717039,3079944,3473388,3983429,4559469,4905027,5617008,6942667,7803277,9232161,10555168,12289753,14378363,16427399,18289655,19800012,21203339,23270887,25095565,25893047,27636132,31381233,34406659,37646136,41371931,43663648,45816156,46615197,48153476,50459214,54639688,57950505,63829278,68896921,72950989,78285553,82303110,87998040,94891678,98753615,101910636,104724284,109552126,110876507,116292869,121300933,126627882,135298342,137301896,141161701
"96000","Southwest","6","SA4","62","...","    Employer contributions for government social insurance",599,524,374,599,299,299,373,150,42758,51431,54228,55547,55018,74217,89074,105243,180054,276359,197585,153166,176325,151482,180161,200573,205933,238793,268985,299888,353941,364268,440924,515880,537551,597067,667719,688796,721785,948099,1067539,1198933,1421905,1530050,1737232,2065191,2667140,3117917,3439391,4092419,4683575,5632616,6753215,7693634,9463642,10401303,10957944,12550655,13230995,13434941,13546408,14886763,15654221,16851620,18045039,19236383,20458589,21917714,22920412,24644512,26528596,28724202,30260956,32614404,34368394,34932978,37185787,39275998,41686953,44349328,47016645,48515636,47694259,49841093,53051797,56164760,58120854,60830375,63539757,64967678,68188956
"96000","Southwest","6","SA4","70","...","  Proprietors' income 9/",1153451,785922,598085,370991,455052,571214,798064,770696,1016262,835964,906765,1015202,1330152,1928621,2368159,2498464,2346511,2811021,3228301,3239310,3568685,3285475,3874670,3818384,3538053,3583459,3730193,3765848,4083897,4311469,4328884,4309781,4625962,4587574,4563157,4850348,5271053,5615947,5746738,6369767,6835992,7408106,8127892,9382189,11244839,11259970,12387377,13850325,14991169,16884685,19381081,18376814,20355054,19742729,22311466,25302324,26763185,29037879,30442923,33545781,34422222,37072428,36590272,42848337,49505780,52581777,55973033,63636329,73334479,81463030,86716976,93831950,110793704,114293272,119317085,124787550,136837910,154427033,143279658,173556172,131307853,146130500,174471455,194921845,210961704,229672413,215467381,199156795,205805084
"96000","Southwest","6","SA4","71","...","    Farm proprietors' income",646693,367730,296906,184886,285761,304483,482893,358440,562113,396102,428478,476556,613445,954380,1134893,1175164,950999,1181672,1614398,1374716,1693070,1266522,1616119,1374460,1061271,1095102,1005104,884538,1057826,1264022,1099852,1086100,1218208,999765,814696,752270,972664,1020586,908529,1009718,1067238,1387176,1242138,1549914,2796574,1597672,1560262,1476805,1158044,882246,2115352,660317,1989463,1423882,1505422,1759643,1640661,1695463,2603072,3147670,3050490,3748314,3365338,4281825,4963081,4055144,2872981,2525213,3495029,3324082,5034174,3905765,4575739,4768412,5717095,6645220,6106214,3320347,3708930,1401372,-566295,3187978,4222861,4277484,6547531,6715129,7633376,3278489,5063724
"96000","Southwest","6","SA4","72","...","    Nonfarm proprietors' income",506758,418192,301179,186105,169291,266731,315171,412256,454149,439862,478287,538646,716707,974241,1233266,1323300,1395512,1629349,1613903,1864594,1875615,2018953,2258551,2443924,2476782,2488357,2725089,2881310,3026071,3047447,3229032,3223681,3407754,3587809,3748461,4098078,4298389,4595361,4838209,5360049,5768754,6020930,6885754,7832275,8448265,9662298,10827115,12373520,13833125,16002439,17265729,17716497,18365591,18318847,20806044,23542681,25122524,27342416,27839851,30398111,31371732,33324114,33224934,38566512,44542699,48526633,53100052,61111116,69839450,78138948,81682802,89926185,106217965,109524860,113599990,118142330,130731696,151106686,139570728,172154800,131874148,142942522,170248594,190644361,204414173,222957284,207834005,195878306,200741360
"96000","Southwest","6","SA4","7010","...","Total employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",7218590,7310759,7457193,7807000,8214605,8510949,8632724,9000734,9466478,10046079,10528267,10922968,11448816,11681930,11711840,12258547,12617093,12482766,12785009,13054918,13241498,13553142,13759100,13884973,14331945,14844615,15395525,15883416,16482214,17033876,17355471,17899090,18099177,18115511,18277106,18673565,19339743,20070759,20765103,21107976,20702438,20649548,21167124,21683946,22234218,22816445,23349430,23664118,"(NA)"
"96000","Southwest","6","SA4","7020","...","  Wage and salary employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6043565,6111066,6217091,6474932,6856495,7111855,7192302,7529073,7906085,8423114,8868117,9204374,9623543,9725598,9651724,10107185,10375683,10258803,10258223,10451082,10692507,10975807,11107452,11290174,11633384,12041898,12484693,12846947,13334304,13826344,14125923,14528072,14651056,14582303,14553922,14790550,15207752,15756998,16166315,16373312,15813938,15711330,16009919,16426293,16817175,17254907,17630690,17825990,"(NA)"
"96000","Southwest","6","SA4","7040","...","  Proprietors employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1175025,1199693,1240102,1332068,1358110,1399094,1440422,1471661,1560393,1622965,1660150,1718594,1825273,1956332,2060116,2151362,2241410,2223963,2526786,2603836,2548991,2577335,2651648,2594799,2698561,2802717,2910832,3036469,3147910,3207532,3229548,3371018,3448121,3533208,3723184,3883015,4131991,4313761,4598788,4734664,4888500,4938218,5157205,5257653,5417043,5561538,5718740,5838128,"(NA)"
"Note: See the included footnote file."
"SA4: Personal Income and Employment by Major Component"
"Last updated: March 22, 2018-- new estimates for 2017; revised estimates for 2010-2016."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
