"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"45000","South Carolina","5","SA25 1/","400","D","      Manufacturing",347145,345254,341926,357203,380639,380530,344528,376397,384820,396327,404289,397875,394477,369166,369766,386541,373029,371999,379895,391955,394827,388907,376227,378157,380984,384562,384331,374111,370453,367789,350790,351374,331796
"45000","South Carolina","5","SA25 1/","410","...","        Durable goods manufacturing",90096,88199,85070,91183,103204,107310,94609,102947,111686,119864,125266,124108,123713,115525,116667,128528,126691,125088,128480,136341,138785,139009,134745,135410,138709,143526,148208,149300,151570,155559,156758,163456,157766
"45000","South Carolina","5","SA25 1/","413","24","          Lumber and wood products",17036,16586,16462,16607,16972,16993,15943,16868,17426,18442,18102,16460,15740,14357,15597,16748,16893,17012,16895,17764,17182,16588,15671,15552,15792,16453,16545,16565,16663,16224,15700,15416,"(NA)"
"45000","South Carolina","5","SA25 1/","417","25","          Furniture and fixtures",5055,4949,5196,5730,6048,5283,4033,4840,4777,5260,5294,4998,5161,4818,5321,5408,5365,4730,4725,4679,4627,4646,4498,4698,5008,4968,5071,5069,5141,5351,5178,5105,"(NA)"
"45000","South Carolina","5","SA25 1/","420","32","          Stone, clay, and glass products",12284,11239,10446,11179,12355,12604,10887,10933,11483,12043,12224,11498,11612,10955,11393,12028,11803,12125,11291,10891,10769,10232,9832,9395,9173,9464,9562,9419,9539,9889,10512,11193,"(NA)"
"45000","South Carolina","5","SA25 1/","423","33","          Primary metal industries",1733,2857,3200,3269,4097,4635,3868,4472,4825,5883,6782,7624,7709,6106,6197,7845,7996,7868,8130,8327,8969,9256,8976,9073,8258,8592,8497,8710,8941,9107,8731,9399,"(NA)"
"45000","South Carolina","5","SA25 1/","426","34","          Fabricated metal products",7586,7693,7812,8493,10270,10658,10058,11703,13349,14146,14994,14553,15044,13631,13916,15197,15362,15116,15546,16670,17410,17642,16966,17856,18425,18181,17810,18514,19301,20474,20820,20648,"(NA)"
"45000","South Carolina","5","SA25 1/","429","35","          Industrial machinery and equipment",15817,15739,16332,19405,22202,24344,23065,24885,27658,30058,31570,31667,31401,28716,27749,30739,29700,29372,30926,34557,36361,37389,36852,36204,38069,39618,42293,38914,39761,40699,39446,39973,"(NA)"
"45000","South Carolina","5","SA25 1/","432","36","          Electronic and other electric equipment",13557,13180,12220,13893,18010,19116,14846,15874,18068,19047,21105,22126,21768,22438,20511,23118,21780,20790,21956,22194,23308,23022,21899,22380,23598,24621,25531,25012,24172,23783,23535,25689,"(NA)"
"45000","South Carolina","5","SA25 1/","435","371","          Motor vehicles and equipment",985,952,845,853,945,810,457,1074,1177,1392,1456,1295,1455,1914,2889,3415,3746,3964,4857,6513,6426,6713,6173,6835,7432,8783,10260,14005,14911,16064,17642,19872,"(NA)"
"45000","South Carolina","5","SA25 1/","438","372-379","          Other transportation equipment",8034,7156,5173,3592,3331,2843,2258,2576,2617,2547,2461,2484,3058,2866,3160,3731,4108,3808,4359,4765,4475,4231,4216,3991,3659,3732,3427,3810,3961,4671,5375,5901,"(NA)"
"45000","South Carolina","5","SA25 1/","441","38","          Instruments and related products",2903,3175,2909,3164,3660,4436,4341,4991,5501,6048,5671,5933,5810,5252,5654,5794,5675,5825,5811,5910,5216,5328,5558,5283,5129,4930,4932,4850,4638,4460,4533,5107,"(NA)"
"45000","South Carolina","5","SA25 1/","444","39","          Miscellaneous manufacturing industries",4935,4512,4328,4997,5313,5588,4853,4731,4805,4998,5607,5470,4955,4472,4280,4505,4263,4478,3984,4071,4042,3962,4104,4143,4166,4184,4280,4432,4542,4837,5286,5153,"(NA)"
"45000","South Carolina","5","SA25 1/","447","...","          Ordnance 3/",171,161,147,"(L)","(L)",0,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"45000","South Carolina","5","SA25 1/","450","...","        Nondurable goods manufacturing",257049,257055,256856,266020,277435,273220,249919,273450,273134,276463,279023,273767,270764,253641,253099,258013,246338,246911,251415,255614,256042,249898,241482,242747,242275,241036,236123,224811,218883,212230,194032,187918,174030
"45000","South Carolina","5","SA25 1/","453","20","          Food and kindred products",14676,14863,14806,14145,14139,14046,13166,13923,14149,14528,14759,14607,14047,14295,14329,14547,14932,15219,15611,15657,15229,15074,14540,14780,15448,16175,17513,17938,18221,18429,18818,18490,"(NA)"
"45000","South Carolina","5","SA25 1/","456","21","          Tobacco products",1131,1072,929,701,328,377,416,539,446,515,465,455,512,554,636,612,538,383,"(D)","(D)","(D)","(D)",289,190,161,98,86,74,74,"(D)","(D)","(D)","(NA)"
"45000","South Carolina","5","SA25 1/","459","22","          Textile mill products",151777,149588,147597,153799,160552,155881,137411,150907,147189,144310,143016,137757,133274,118212,114372,113877,105430,104367,106946,106858,104749,98818,94084,92751,92518,93059,88815,81811,79516,76299,71982,69167,"(NA)"
