"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"46000","South Dakota","4","SA5H 1/","400","D","      Manufacturing",10564,10318,8733,6230,6233,8061,7281,7699,9099,9354,10548,11371,13051,16744,20208,21876,22596,24785,29384,37591,37358,38900,43948,47535,48372,50049,53519,57640,59167
"46000","South Dakota","4","SA5H 1/","500","E","      Transportation and public utilities",15391,14178,11998,8997,8442,9291,10364,11714,12771,12246,12193,12098,14328,17322,19862,23425,24360,29916,34415,38996,40054,42094,45180,47539,49463,49860,50531,54217,55862
"46000","South Dakota","4","SA5H 1/","600","F-G","      Wholesale and retail trade",51259,46141,40857,28480,20716,26327,31085,34816,36034,35496,37337,41940,49179,56807,68603,78453,87255,105524,113652,125843,129872,131930,147193,152075,147127,151668,162083,165096,168462
"46000","South Dakota","4","SA5H 1/","700","H","      Finance, insurance, and real estate",6957,6486,5259,4288,3504,3727,3709,3999,4139,4348,4736,5145,5644,5997,6829,7281,7889,9454,10590,12098,13564,16714,18090,20493,23372,24345,26929,28917,30064
"46000","South Dakota","4","SA5H 1/","800","I","      Services",23031,21975,18631,14028,12199,13991,14219,15191,16723,15523,15859,16935,18445,22436,25756,29241,32541,38761,42959,49139,51578,56711,60208,63796,71428,74064,82589,86585,91207
"46000","South Dakota","4","SA5H 1/","900","...","    Government and government enterprises",20231,20675,21382,20015,24547,41768,36182,38476,37091,38730,38057,37875,38676,57241,97032,89989,116370,65254,62223,76978,85986,91974,106503,125074,130865,135514,140855,148795,161039
"46000","South Dakota","4","SA5H 1/","910","...","      Federal, civilian",7117,7465,7685,6842,10804,16533,14241,25382,22537,22562,21756,20787,19504,19596,25504,25967,26547,27260,20515,28814,31019,30252,34568,39987,41700,41133,43983,44960,50164
"46000","South Dakota","4","SA5H 1/","920","...","      Military",940,937,924,807,783,836,845,924,974,1073,1008,1094,2174,20247,52523,43210,66801,10052,9449,10935,14039,18252,25684,36101,36516,38169,37284,38475,38784
"46000","South Dakota","4","SA5H 1/","930","...","      State and local",12174,12273,12773,12366,12960,24399,21096,12170,13580,15095,15293,15994,16998,17398,19005,20812,23022,27942,32259,37229,40928,43470,46251,48986,52649,56212,59588,65360,72091
"Note: See the included footnote file."
"SA5H: Personal Income by Major Component and Earnings by Industry (Historical)"
"Last updated: May 30, 2014-- revised estimates for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
