"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"46000","South Dakota","4","SA4","45","...","  Equals: Net earnings by place of residence",253940,213939,131740,103798,71864,106144,181003,128361,176992,172498,187046,195042,252847,412154,456169,502136,562495,574356,661067,808428,588893,706337,848209,728193,790005,798093,730841,777233,937175,945972,827704,1041995,1035945,1202012,1139188,1099548,1249205,1362588,1355290,1457171,1562860,1673957,1823396,2136476,2776014,2631932,2837656,2694660,3094834,3622962,3944390,3622597,4117874,4146187,4302482,5073142,5159414,5403998,5856761,6114149,6494499,7260860,7558366,8315260,8683674,9495986,9322781,10516765,10617103,11487248,12119019,12894077,13256204,13210599,14840095,16131387,17090649,17530899,19466017,20804102,20127916,21093136,23718973,23769846,24348440,25015199,25741531,25937428
"46000","South Dakota","4","SA4","46","...","  Plus: Dividends, interest, and rent 7/",26841,28004,24212,19697,15826,17007,18255,19255,19770,19664,21197,23154,25819,29566,35760,35463,39383,52628,58222,84460,80755,96663,111312,117416,131952,147078,136736,151333,152699,167026,170469,195738,201286,215420,226381,234176,255343,263805,273173,275461,323061,366695,399575,442077,506316,606518,706855,756557,860263,966742,1086201,1335670,1657890,1919136,1982011,2116346,2187388,2272715,2247993,2328143,2576939,2712671,2778343,2876078,3007315,3130294,3469567,3725571,3913714,4245051,4424857,4711093,4965863,4896823,5122218,5313977,5524089,6152019,7038097,7471892,6796640,7050397,7601887,8333683,7748808,8282065,9066069,9162321
"46000","South Dakota","4","SA4","47","...","  Plus: Personal current transfer receipts",5338,5281,11723,7328,6164,6037,6317,17200,13679,13525,11617,10656,9200,8911,8781,10771,18746,32425,32978,28570,39440,48673,37956,39055,39656,42187,52794,55762,64544,73493,81679,85721,94389,99737,105663,108886,118787,129050,154233,177255,194204,221865,255218,282359,327384,382583,456344,502826,530000,575072,649243,760734,871627,968745,1042219,1101817,1171179,1219720,1259619,1317643,1444809,1539720,1656276,1800195,1894834,2004622,2141980,2262009,2321369,2388888,2483412,2657796,2874018,3063376,3162095,3336377,3574956,3881892,4154387,4736796,4974134,5377181,5470638,5480290,5611878,5853419,6085172,6298492
"46000","South Dakota","4","SA4","50","...","  Wages and salaries",123093,119326,102692,82307,76898,97795,97821,103411,106414,108522,109000,111583,123663,159612,202132,210929,240253,225143,263558,314705,329531,346822,378498,404843,422066,434056,452910,476808,496180,510343,552978,582792,637751,674791,679480,696646,721006,768632,811936,884172,963354,1048533,1135789,1236295,1385024,1562847,1688286,1884908,2063329,2357998,2614343,2809589,3009026,3112206,3281520,3536328,3689538,3846012,4073133,4365851,4617796,5030725,5383229,5807790,6198630,6644829,7062743,7427065,7868248,8416334,9029033,9631622,10013729,10342245,10722294,11319376,11813148,12488763,13345538,14047449,13955210,14364809,14975624,15768074,16149823,17018496,17756809,18394208
"46000","South Dakota","4","SA4","60","...","  Supplements to wages and salaries",2137,2152,2083,1811,1984,2326,2370,2633,4032,4160,4596,4934,5482,10885,13556,11739,17148,16619,15125,16016,18219,20075,23489,27645,29066,30687,32025,34456,39099,42613,48831,51656,57963,65530,70747,73397,75289,84512,91627,99620,107636,124245,146945,171775,198343,229060,276970,317256,359222,410436,463543,500572,550107,593545,651139,712469,763850,820826,873953,954111,1062371,1195102,1309645,1481545,1585019,1686127,1728958,1758629,1794312,1918733,2061186,2217802,2343342,2534641,2749233,2939018,3124700,3138295,3335492,3493927,3471995,3745010,3980444,3974626,3980507,4342380,4550928,4641457
"46000","South Dakota","4","SA4","61","...","    Employer contributions for employee pension and insurance funds 8/",2090,2111,2054,1766,1962,2304,2343,2622,2702,2567,2677,2990,3783,8755,11658,9549,11660,8214,8696,10807,12057,15001,17813,21641,22795,24011,24833,26668,29970,31475,35306,36231,40363,45006,47839,51658,53313,56435,60188,64178,71318,85003,101614,119223,130933,150465,190704,215529,246839,279900,313847,342894,370149,406463,446875,481547,523117,560936,601133,649524,738377,821430,905922,1047394,1121147,1186590,1202076,1205990,1210844,1296996,1394175,1508849,1604657,1768005,1953674,2100961,2253872,2203917,2346895,2455710,2432705,2630666,2854741,2795120,2779790,3073017,3239833,3287937
"46000","South Dakota","4","SA4","62","...","    Employer contributions for government social insurance",47,41,29,45,22,22,27,11,1330,1593,1919,1944,1699,2130,1898,2190,5488,8405,6429,5209,6162,5074,5676,6004,6271,6676,7192,7788,9129,11138,13525,15425,17600,20524,22908,21739,21976,28077,31439,35442,36318,39242,45331,52552,67410,78595,86266,101727,112383,130536,149696,157678,179958,187082,204264,230922,240733,259890,272820,304587,323994,373672,403723,434151,463872,499537,526882,552639,583468,621737,667011,708953,738685,766636,795559,838057,870828,934378,988597,1038217,1039290,1114344,1125703,1179506,1200717,1269363,1311095,1353520
"46000","South Dakota","4","SA4","70","...","  Proprietors' income 9/",129000,92741,27226,19941,-6807,6239,81022,22522,68739,62174,76229,81407,126393,245409,245458,285244,315329,344086,392377,486565,250945,349508,457783,308713,352749,348321,261990,286074,424583,418799,259633,441880,378822,506053,438958,378538,502407,571632,526207,553756,575365,590511,640683,842411,1343461,1015141,1062433,705296,897343,1114596,1173395,637931,934002,838021,806573,1317841,1240611,1322681,1547090,1512555,1601954,1940665,1849635,2087318,2035219,2412951,1852516,2744460,2432439,2770218,2760309,2879597,2772216,2285126,3406554,3984340,4291245,4175292,5136039,5685632,5095101,5487715,7116290,6457709,6974228,6573016,6463187,6035291
"46000","South Dakota","4","SA4","71","...","    Farm proprietors' income",93874,62230,2883,6343,-17867,-11786,60238,-1663,43163,37020,49367,50679,88957,194553,186947,220344,245000,262368,311741,395943,156927,251283,351629,198874,242592,234876,138909,159489,293968,288655,119640,301995,227584,342214,273104,190244,308061,366152,315734,334686,323871,339332,370470,529583,981603,631798,653848,228064,393931,544935,574092,56517,365051,288068,173398,606314,528074,584402,762716,629768,638461,928861,810744,993025,859738,1112548,542835,1359608,935429,1041009,1045202,1208954,1001248,364683,1397475,1676038,1440287,452721,1479058,2075250,1556577,1545730,3553978,2263917,3182831,2076622,1456838,878102
"46000","South Dakota","4","SA4","72","...","    Nonfarm proprietors' income",35126,30511,24343,13598,11060,18025,20784,24185,25576,25154,26862,30728,37436,50856,58511,64900,70329,81718,80636,90622,94018,98225,106154,109839,110157,113445,123081,126585,130615,130144,139993,139885,151238,163839,165854,188294,194346,205480,210473,219070,251494,251179,270213,312828,361858,383343,408585,477232,503412,569661,599303,581414,568951,549953,633175,711527,712537,738279,784374,882787,963493,1011804,1038891,1094293,1175481,1300403,1309681,1384852,1497010,1729209,1715107,1670643,1770968,1920443,2009079,2308302,2850958,3722571,3656981,3610382,3538524,3941985,3562312,4193792,3791397,4496394,5006349,5157189
"46000","South Dakota","4","SA4","7010","...","Total employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",303105,304839,306132,309069,322850,326414,326343,335977,342003,354884,359364,352638,347563,344304,352537,362378,364778,366030,381298,387779,395870,409374,420472,431189,442481,464396,472046,479226,484646,491295,500563,511743,511627,509671,509950,518946,528338,539398,552767,562200,558195,558537,567037,575272,581608,590121,593502,599587
"46000","South Dakota","4","SA4","7020","...","  Wage and salary employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",211351,214827,217348,221361,231559,237162,238474,246959,251492,263252,268574,261353,256849,252503,256397,266425,268565,269210,277194,286843,294992,307729,315367,326313,337126,348115,358567,364921,371238,377080,387630,394801,396009,395633,396645,402736,408345,416058,424369,431366,423601,423507,427833,435383,438456,444865,447782,451683
"46000","South Dakota","4","SA4","7040","...","  Proprietors employment","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",91754,90012,88784,87708,91291,89252,87869,89018,90511,91632,90790,91285,90714,91801,96140,95953,96213,96820,104104,100936,100878,101645,105105,104876,105355,116281,113479,114305,113408,114215,112933,116942,115618,114038,113305,116210,119993,123340,128398,130834,134594,135030,139204,139889,143152,145256,145720,147904
"Note: See the included footnote file."
"SA4: Personal Income and Employment by Major Component"
"Last updated: September 26, 2017-- revised estimates for 2014-2016."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
