"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"94000","Plains","4","SA25 1/","330","17","        Special trade contractors",197021,195561,196770,198962,208648,215071,219609,236881,247148,264451,267664,250776,243389,237274,239847,260815,272019,282400,293479,291090,300731,308090,309649,330415,337322,365085,381688,401239,414644,431343,450330,456044,"(NA)"
"94000","Plains","4","SA25 1/","400","D","      Manufacturing",1303914,1249063,1198225,1250523,1336776,1360286,1255607,1301860,1354512,1417304,1477276,1418239,1384298,1288017,1275610,1362165,1352207,1340483,1362138,1414659,1443101,1449956,1422084,1416955,1436655,1480432,1514008,1520561,1546377,1568043,1555097,1544152,1483501
"94000","Plains","4","SA25 1/","410","...","        Durable goods manufacturing",743660,696095,656981,702423,775949,796409,719687,751528,792928,844335,890996,837528,810918,733905,722255,789970,779430,765336,779070,815454,826802,822423,794883,787329,797479,829690,856401,869203,895932,915711,908346,905052,862755
"94000","Plains","4","SA25 1/","413","24","          Lumber and wood products",26179,25706,26452,30331,31953,31950,34234,37444,39557,41912,43140,38046,36035,32535,35928,39658,39781,42128,47420,50320,51923,53173,52465,53141,55949,59717,62631,64084,65633,66877,69144,"(D)","(NA)"
"94000","Plains","4","SA25 1/","417","25","          Furniture and fixtures",18724,18083,20202,22209,24304,22434,17975,19218,20198,21367,22876,21064,21206,20243,21750,23884,23808,24892,27120,28159,29784,30076,29540,32145,33785,35731,35578,35311,35678,36582,36810,38852,"(NA)"
"94000","Plains","4","SA25 1/","420","32","          Stone, clay, and glass products",40961,40226,38877,40859,42908,43555,41795,43051,45173,48056,48133,44102,41582,37960,39152,39499,38048,38666,40264,39494,40484,40210,37398,36856,37024,40155,40163,41322,41354,41769,42621,44038,"(NA)"
"94000","Plains","4","SA25 1/","423","33","          Primary metal industries",34401,34057,30539,31228,35064,37364,32438,32065,34380,37323,40261,37672,35963,31670,29332,33330,31762,30749,31050,32837,31937,32032,31098,30432,31350,33472,34406,34907,35948,"(D)","(D)","(D)","(NA)"
"94000","Plains","4","SA25 1/","426","34","          Fabricated metal products",86419,81141,77776,83886,91831,96825,99873,101805,108203,113752,118952,110853,105822,97854,96297,100925,101513,98634,98495,102437,103714,110258,108010,104966,103501,106518,111478,113261,118888,121808,120809,122625,"(NA)"
"94000","Plains","4","SA25 1/","429","35","          Industrial machinery and equipment",174947,167577,156913,172528,199177,213421,195645,198728,211121,221315,244050,238467,231960,202249,188589,210090,201202,187628,192458,203060,203810,199639,191593,187410,196087,207825,215140,214975,223232,227928,220730,215053,"(NA)"
"94000","Plains","4","SA25 1/","432","36","          Electronic and other electric equipment",121159,116169,106273,110301,125299,129291,108170,113861,118581,127355,134932,129780,128963,116675,113518,125244,123532,116542,117393,120312,120239,113578,111546,110247,110666,114546,114723,117037,119233,121936,112223,115358,"(NA)"
"94000","Plains","4","SA25 1/","435","371","          Motor vehicles and equipment",52816,47951,50244,51314,58315,56167,48443,54310,64356,68166,61675,44718,42256,40327,45899,59030,61870,62742,57814,57869,59204,55958,53363,55645,55800,57400,66396,67411,69143,69751,71045,68902,"(NA)"
"94000","Plains","4","SA25 1/","438","372-379","          Other transportation equipment",89767,79122,73176,81932,86439,84241,77271,82518,79294,88605,96325,91818,89729,75047,72186,77508,77070,80330,86703,93858,99297,99171,90963,86950,80264,79347,80071,85034,91284,96622,93547,89199,"(NA)"
"94000","Plains","4","SA25 1/","441","38","          Instruments and related products",31184,30455,28915,30117,31152,33327,33575,37140,39919,43230,46402,47592,45452,49328,50171,51953,51602,53891,53328,59186,58645,59418,59747,58975,60127,59349,60684,62021,62602,"(D)","(D)","(D)","(NA)"
"94000","Plains","4","SA25 1/","444","39","          Miscellaneous manufacturing industries",26832,26797,27093,29427,32482,34401,30268,31388,32146,33254,34250,33416,31950,30017,29433,28849,29242,29134,27025,27922,27765,28910,29160,30562,32926,35630,35131,33840,32937,32299,32622,34268,"(NA)"
"94000","Plains","4","SA25 1/","447","...","          Ordnance 3/",40271,28811,20521,18291,17025,13433,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"94000","Plains","4","SA25 1/","450","...","        Nondurable goods manufacturing",560254,552968,541244,548100,560827,563877,535920,550332,561584,572969,586280,580711,573380,554112,553355,572195,572777,575147,583068,599205,616299,627533,627201,629626,639176,650742,657607,651358,650445,652332,646751,639100,620746
"94000","Plains","4","SA25 1/","453","20","          Food and kindred products",222291,220690,218841,215432,211899,214160,205771,205285,207696,208218,210182,208935,204844,199732,198287,198709,196905,199938,202023,205268,210564,215882,219757,220518,225416,230195,236037,238520,237471,238623,240675,242156,"(NA)"
"94000","Plains","4","SA25 1/","456","21","          Tobacco products",203,192,142,114,11,19,22,20,16,32,22,32,42,35,47,47,56,62,38,35,19,21,21,27,26,36,36,37,44,"(D)",60,48,"(NA)"
"94000","Plains","4","SA25 1/","459","22","          Textile mill products",6857,6277,6270,6806,7515,7216,6293,6197,6127,6164,5881,5567,5210,4243,4014,3683,3858,4085,4264,4440,4208,3873,3979,3873,3660,3801,3819,3393,3335,3439,3332,3248,"(NA)"
"94000","Plains","4","SA25 1/","462","23","          Apparel and other textile products",53803,53477,51795,53255,56947,55186,49488,51650,51117,51020,49647,48638,44344,40390,40630,42742,41188,40430,39485,40292,40632,39611,39458,40739,42292,42482,40601,37897,36765,34621,31156,28252,"(NA)"
"94000","Plains","4","SA25 1/","465","26","          Paper and allied products",53664,52547,51777,52644,55620,56709,50871,52337,52948,54564,57215,55746,54757,54113,54465,56314,57202,56698,57197,58122,59582,60165,60397,60018,60399,60722,61089,58891,58343,"(D)","(D)","(D)","(NA)"
"94000","Plains","4","SA25 1/","468","27","          Printing and publishing",96764,97399,96540,100160,102504,104148,104059,107039,111087,115962,122251,124619,126591,126350,127465,136277,139558,142900,146052,151699,158338,162339,159350,159451,160350,164971,167540,165561,165881,165386,161311,160030,"(NA)"
"94000","Plains","4","SA25 1/","471","28","          Chemicals and allied products",55241,54112,50309,48817,49395,50101,49064,51360,53406,55377,57305,57092,57117,55515,53754,55060,55810,55067,55491,57363,57425,58130,58342,58061,57631,57724,55775,55389,56228,57508,"(D)",55404,"(NA)"
"94000","Plains","4","SA25 1/","474","29","          Petroleum and coal products",8428,8349,8052,7938,7792,8291,7689,8568,8533,8964,9062,8955,9365,8329,7423,6815,6932,6750,6729,6501,6497,6686,6594,6688,6703,6887,6821,6926,6663,6499,6922,7349,"(NA)"
"94000","Plains","4","SA25 1/","477","30","          Rubber and miscellaneous plastics products",31052,30178,29763,33205,37949,37592,36161,39769,43261,44962,48534,44463,45565,41580,43692,49661,49701,49263,52038,55884,60286,61783,61156,64693,67477,71205,74351,75300,76654,78555,78804,78046,"(NA)"
"94000","Plains","4","SA25 1/","480","31","          Leather and leather products",31951,29747,27755,29729,31195,30455,26502,28107,27393,27706,26181,26664,25545,23825,23578,22887,21567,19954,19751,19601,18748,19043,18147,15558,15222,12719,11538,9444,9061,8746,8050,"(D)","(NA)"
