"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"93000","Great Lakes","3","SA5H 1/","100","[07-08]","      Agricultural services, forestry, and fishing",18057,17139,18122,14540,12709,11630,14519,13624,19205,18143,19036,20221,23330,29609,31975,38604,40503,49213,56765,86683,92273,103417,119126,133441,139693,151377,158091,164040,169177
"93000","Great Lakes","3","SA5H 1/","200","B","      Mining",204992,167221,114763,76942,83447,110136,117457,148283,167596,141467,151419,170982,213851,252618,293923,310380,310655,335342,416567,465487,406056,460396,495224,467654,486107,445303,477335,527858,539090
"93000","Great Lakes","3","SA5H 1/","300","C","      Construction",930663,665067,427775,205117,146107,241933,296711,448985,488319,400172,482082,502924,802011,1048028,913241,722058,819880,1326098,1668663,2108947,2085068,2328251,2909783,3213905,3470249,3596691,3907402,4341109,4389631
"93000","Great Lakes","3","SA5H 1/","400","D","      Manufacturing",5350433,4243179,3198568,2220042,2303560,3055364,3566286,4222707,5212674,3916773,4634412,5432896,7572221,10227045,13647727,14444646,12815138,12210668,14591170,16178487,15260142,17732516,21009600,22476070,25564145,23424270,26366401,27744531,28385710
"93000","Great Lakes","3","SA5H 1/","500","E","      Transportation and public utilities",1501442,1369584,1156556,890929,822279,903484,973216,1096367,1223504,1135500,1209542,1290088,1504442,1732891,1940797,2203583,2285902,2681663,2998715,3195410,3190766,3426682,3860473,4080296,4344455,4239128,4536750,4877544,5094753
"93000","Great Lakes","3","SA5H 1/","600","F-G","      Wholesale and retail trade",2904212,2559890,2100104,1520212,1327209,1710777,1912506,2153949,2502297,2399642,2593142,2925579,3521446,4014370,4565312,4823451,5239972,6488069,7001147,7399776,7360159,7767145,8714491,9063130,9610988,9833905,10473190,11160235,11668180
"93000","Great Lakes","3","SA5H 1/","700","H","      Finance, insurance, and real estate",742773,635069,540967,460610,403400,434384,471301,520935,578674,543331,558658,575463,617829,646258,694437,732556,820690,992627,1061530,1225283,1308505,1508636,1660919,1821714,2009221,2222840,2459814,2654837,2832033
"93000","Great Lakes","3","SA5H 1/","800","I","      Services",1818482,1699189,1464875,1149180,1018878,1134114,1212042,1341923,1481128,1418783,1490406,1572717,1732725,1942651,2169003,2383762,2578499,3019829,3341940,3846279,3901225,4215606,4603937,4972097,5460968,5708942,6330204,6922639,7386053
"93000","Great Lakes","3","SA5H 1/","900","...","    Government and government enterprises",1106951,1162093,1141534,1023644,1068104,1269352,1307395,1655088,1545082,1870712,1792512,1724928,1751529,2217391,3400386,3985882,4441532,3569873,3112276,3425442,3755629,3935108,4819381,5347046,5485163,5697025,6017769,6476143,6934844
"93000","Great Lakes","3","SA5H 1/","910","...","      Federal, civilian",179823,185089,185104,173432,251912,370121,356004,758172,596016,851831,764542,656547,605713,707685,1024278,1019526,1023868,1139224,956978,943240,1012087,1040505,1300731,1452489,1455344,1431953,1492392,1535122,1646184
"93000","Great Lakes","3","SA5H 1/","920","...","      Military",23485,23660,24172,24637,22162,17120,19990,21970,23547,24218,28205,42575,114472,451186,1257413,1773744,2101892,915236,414968,414627,480614,515041,933947,1033828,917704,835229,855990,896677,856212
"93000","Great Lakes","3","SA5H 1/","930","...","      State and local",903643,953344,932258,825575,794030,882111,931401,874946,925519,994663,999765,1025806,1031344,1058520,1118695,1192612,1315772,1515413,1740330,2067575,2262928,2379562,2584703,2860729,3112115,3429843,3669387,4044344,4432448
"Note: See the included footnote file."
"SA5H: Personal Income by Major Component and Earnings by Industry (Historical)"
"Last updated: May 30, 2014-- revised estimates for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
