"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"04000","Arizona","6","SA51","52","...","Population (persons) 1/",690000,714000,756000,785000,842000,894000,933000,987000,1053000,1125000,1193000,1261000,1321000,1407000,1471000,1521000,1556000,1584000,1614000,1646000,1682000,1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6408312,6467163,6549634,6624617,6719993,6817565,6931071
"04000","Arizona","6","SA51","53","...","Per capita disposable personal income (dollars) 2/",1242,1251,1294,1526,1590,1611,1607,1663,1747,1788,1794,1859,1923,1978,2027,2063,2200,2294,2441,2592,2888,3208,3550,3886,4162,4590,4914,5256,5658,6107,6887,7684,8560,9443,9764,10536,11580,12316,13019,13530,14254,14886,15321,15682,16249,16824,17637,18366,19036,19956,21089,21679,22891,23489,24395,25515,27120,28864,30919,31866,32169,31172,30841,31663,32770,32954,34321,35222,36247
"05000","Arkansas","5","SA51","51","...","Disposable personal income (thousands of dollars)",1529473,1443263,1545153,1738594,1803288,1807509,1783027,1951398,2003164,2069298,2152168,2343926,2361214,2570957,2719642,2881329,3170049,3328265,3657053,3877757,4147689,4589776,5071808,5714047,6424083,7573194,8395838,9423878,10260022,11444971,13262215,14421575,15484328,17541736,18341534,19739205,22131788,23521711,24787792,25650034,27575259,29502916,30989250,32832164,35877863,37658080,39805824,42214894,44782176,46699786,49430878,51507761,54162117,57100712,59255372,63369865,67423741,70563469,74852012,79331757,83062990,83301109,85132515,90232433,97176703,96121570,100663798,102353058,105940583
"05000","Arkansas","5","SA51","52","...","Population (persons) 1/",1825000,1844000,1908000,1901000,1838000,1780000,1734000,1725000,1704000,1733000,1726000,1756000,1789000,1806000,1853000,1875000,1897000,1894000,1899000,1901000,1902000,1913000,1930077,1972028,2018116,2058491,2100385,2158291,2168688,2207228,2241019,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921995,2939493,2950685,2958663,2966912,2977853,2988248
"05000","Arkansas","5","SA51","53","...","Per capita disposable personal income (dollars) 2/",838,783,810,915,981,1015,1028,1131,1176,1194,1247,1335,1320,1424,1468,1537,1671,1757,1926,2040,2181,2399,2628,2898,3183,3679,3997,4366,4731,5185,5918,6356,6765,7649,7995,8561,9541,10108,10629,10951,11771,12574,13150,13777,14850,15331,15961,16650,17411,17954,18822,19423,20220,21215,21898,23257,24521,25373,26527,27849,28896,28756,29135,30697,32934,32488,33929,34371,35452
"06000","California","8","SA51","51","...","Disposable personal income (thousands of dollars)",16328095,16930872,18884915,21407772,23483086,25383334,26392235,28848373,31709645,33987167,35836292,39020143,41109939,43662729,46960310,50222760,55300395,59054898,63820697,68358388,74052797,80923032,88719739,95658381,103197693,114161676,126809849,141903855,155756027,171632509,194227818,218676325,247890923,279007896,300419284,325913143,362208943,389407168,418781796,446718101,489752206,522530824,560852547,585651619,622619242,637640902,656989984,687213320,722521473,761138752,821183819,861407017,929359977,980331477,1035081245,1099110273,1184760166,1237866137,1327039989,1368326073,1404434823,1398857328,1438637031,1518615270,1613626816,1607983931,1701096996,1796837596,1883577938
"06000","California","8","SA51","52","...","Population (persons) 1/",10064000,10337000,10677000,11134000,11635000,12251000,12746000,13133000,13713000,14264000,14880000,15467000,15870000,16497000,17072000,17668000,18151000,18585000,18858000,19176000,19394000,19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37332685,37676861,38011074,38335203,38680810,38993940,39250017
"06000","California","8","SA51","53","...","Per capita disposable personal income (dollars) 2/",1622,1638,1769,1923,2018,2072,2071,2197,2312,2383,2408,2523,2590,2647,2751,2843,3047,3178,3384,3565,3818,4105,4431,4702,5013,5471,5989,6589,7101,7679,8504,9403,10415,11488,12104,12851,14015,14727,15452,16082,17206,17884,18720,19220,20101,20388,20867,21681,22566,23430,24894,25714,27344,28432,29682,31178,33304,34550,36841,37747,38368,37847,38536,40306,42451,41945,43978,46080,47989
"08000","Colorado","7","SA51","51","...","Disposable personal income (thousands of dollars)",1706932,1742194,1907826,2229155,2369643,2395991,2487957,2717047,2968282,3295732,3356561,3609123,3813206,4107606,4337727,4544807,4903234,5227231,5588015,6001546,6597145,7306887,8357617,9477511,10584903,12137924,13533806,15115858,16536081,18311808,21057272,24019456,27510527,31480626,34470143,37984687,41609586,43852406,45753907,47317665,50213401,53953530,56985167,60487800,65824339,71135276,76450400,83086977,88899807,94804101,104701527,112854418,125014161,133044136,137902389,142110959,146837007,155586789,165888536,175379829,182294004,178072009,179813498,193817196,206753004,216488144,233295245,241354515,251692792
"08000","Colorado","7","SA51","52","...","Population (persons) 1/",1263000,1295000,1325000,1326000,1365000,1431000,1493000,1546000,1625000,1664000,1667000,1710000,1769000,1844000,1899000,1936000,1970000,1985000,2007000,2053000,2120000,2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048644,5118360,5189867,5267603,5349648,5448819,5540545
"08000","Colorado","7","SA51","53","...","Per capita disposable personal income (dollars) 2/",1351,1345,1440,1681,1736,1674,1666,1757,1827,1981,2014,2111,2156,2228,2284,2348,2489,2633,2784,2923,3112,3373,3758,4114,4402,4863,5326,5845,6282,6792,7611,8430,9458,10571,11259,12122,13126,13667,14133,14512,15392,16470,17228,17858,18829,19685,20528,21713,22679,23593,25434,26705,28892,30062,30710,31380,32095,33590,35143,36508,37281,35814,35616,37867,39838,41098,43609,44295,45427
"09000","Connecticut","1","SA51","51","...","Disposable personal income (thousands of dollars)",3127814,3120784,3481317,3900173,4192305,4583649,4732791,5114012,5556616,5953327,5762963,6143872,6348259,6746183,7196565,7557406,8272736,8835001,9630695,10470254,10923500,12433537,13633197,14583013,15497669,16966011,18503102,20177245,21487618,23684295,26106241,29109391,32940380,36813024,39691985,43539011,49061730,52190281,55889815,60529051,67626388,73495566,75817450,76404957,81405350,83880890,86038477,90035430,92813552,97727395,104667862,110496963,120078840,126665581,132447727,136322336,143163169,148786319,160327242,169681342,183053301,189402853,194529201,197319225,200873755,193963887,201813936,206181546,213791326
"09000","Connecticut","1","SA51","52","...","Population (persons) 1/",2014000,2032000,2016000,2028000,2081000,2168000,2249000,2300000,2316000,2359000,2446000,2523000,2544000,2586000,2647000,2727000,2798000,2857000,2903000,2935000,2964000,3000000,3038782,3061448,3069617,3069140,3075784,3084726,3085984,3088729,3094839,3099907,3113174,3128837,3139014,3162355,3180014,3201131,3223741,3247290,3271954,3283404,3291967,3302895,3300712,3309175,3316121,3324144,3336685,3349348,3365352,3386401,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579899,3589893,3593795,3596003,3591873,3584730,3576452
"09000","Connecticut","1","SA51","53","...","Per capita disposable personal income (dollars) 2/",1553,1536,1727,1923,2015,2114,2104,2223,2399,2524,2356,2435,2495,2609,2719,2771,2957,3092,3317,3567,3685,4145,4486,4763,5049,5528,6016,6541,6963,7668,8435,9390,10581,11766,12645,13768,15428,16304,17337,18640,20669,22384,23031,23133,24663,25348,25946,27085,27816,29178,31102,32630,35195,36898,38294,39124,40949,42426,45580,48106,51629,53176,54339,54965,55895,53939,56186,57517,59777
"10000","Delaware","2","SA51","51","...","Disposable personal income (thousands of dollars)",435656,481420,553910,595260,634145,684774,716885,815169,960967,962796,1004246,1042272,1096119,1138914,1194708,1290092,1397728,1533014,1619131,1731901,1875742,2030834,2179500,2409338,2638795,2911821,3164850,3463358,3718531,4006034,4398092,4785436,5369315,5863630,6408585,6952452,7710032,8412235,8930939,9697257,10656656,11848852,12425158,13275447,13905689,14426859,14908733,15802105,16774487,17308133,19318612,20961244,23462820,25948730,27159630,28018408,28958703,29360027,31266774,31997484,32555112,33286840,33308619,35377784,35664351,35978844,37637430,39954973,41328016
"10000","Delaware","2","SA51","52","...","Population (persons) 1/",312000,316000,321000,331000,341000,351000,368000,389000,408000,426000,433000,441000,449000,461000,469000,483000,497000,507000,516000,525000,534000,540000,550332,565207,573821,579078,583150,588756,592755,594821,598188,598830,594919,595974,599148,605459,611565,618279,627559,636946,647621,658274,669567,683080,694925,706378,717545,729734,740977,751487,763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899816,907924,916993,925395,934948,944076,952065
