GeoName,year,Per capita personal income (dollars) ,Personal income (thousands of dollars),Population (persons) ,Disposable personal income (thousands of dollars),Per capita disposable personal income (dollars) ,Employer contributions for employee pension and insurance funds ,Employer contributions for government social insurance,Farm proprietors employment ,Farm proprietors' income,Imputed interest receipts ,Imputed rent,Monetary interest receipts,Monetary rent,Nonfarm proprietors employment,Nonfarm proprietors' income,Average nonfarm proprietors' income,Average wages and salaries,Income maintenance benefits ,Per capita dividends ,Per capita income maintenance benefits ,Per capita interest ,Per capita rent ,Per capita retirement and other ,Per capita unemployment insurance compensation ,Personal dividend income,Personal interest income,Proprietors employment,Proprietors' income,Rental income of persons,Retirement and other,Supplements to wages and salaries,Unemployment insurance compensation,Wage and salary employment,Wages and salaries,Average earnings per job (dollars),"Dividends, interest, and rent",Earnings by place of work,Net earnings by place of residence,"Per capita dividends, interest, and rent ",Per capita net earnings ,Per capita personal current transfer receipts ,Per capita personal income ,Personal current transfer receipts,Total employment (number of jobs),Excluding family assistance ,Family assistance ,Medicaid ,Other government retirement and disability insurance benefits ,Other medical care benefits ,Other unemployment compensation ,Railroad retirement and disability benefits,Unemployment compensation for Federal civilian employees (UCFE),Unemployment compensation for railroad employees,Unemployment compensation for veterans (UCX),Workers' compensation,Earned Income Tax Credit (EITC),Excluding Social Security benefits,Excluding state unemployment insurance compensation,Medicare benefits,Military medical insurance benefits ,Other assistance to veterans 1,Other income maintenance benefits,Public assistance medical care benefits ,Social Security benefits,State unemployment insurance compensation,Supplemental Nutrition Assistance Program (SNAP),Supplemental security income (SSI) benefits,Veterans' life insurance benefits,Veterans' pension and disability benefits,Veterans' readjustment benefits ,Education and training assistance 1,Income maintenance benefits,Medical benefits,Other transfer receipts of individuals from governments 1,Receipts from businesses,Receipts from state and local governments,Receipts from the Federal government,Retirement and disability insurance benefits,Veterans' benefits,Current transfer receipts of individuals from businesses 1,Current transfer receipts of individuals from governments,Current transfer receipts of nonprofit institutions,Personal current transfer receipts (thousands of dollars),Rental income of persons ,"Dividends, interest, and rent (thousands of dollars)",Cattle and calves,Corn,Hogs and pigs,Oats,Other grains,Sheep and other livestock,Sorghum,Soybeans,Wheat,Cotton,Dairy products,Forest and maple products,Fruits and nuts,"Greenhouse, nursery and mushroom products","Hay, silage, etc.",Meat animals and other livestock,Other crops,Poultry and poultry products,Tobacco,Total grains,Vegetables,All other production expenses ,Cash receipts: Crops,Cash receipts: Livestock and products,Feed purchased,Fertilizer and lime (incl. ag. chemicals 1978-fwd.),Government payments,Hired farm labor expenses ,Imputed and miscellaneous income received ,Less: Net income of corporate farms,Less: Production expenses,Livestock purchased,Petroleum products purchased,Plus: Farm supplements to wages and salaries,Plus: Farm wages and salaries,Plus: Statistical adjustment,Plus: Value of inventory change,Seed purchased,Value of inventory change: crops,Value of inventory change: livestock,Value of inventory change: materials and supplies,Cash receipts and other income,Cash receipts from marketings (thousands of dollars),Equals: Farm earnings,Equals: Farm proprietors' income,Equals: Net income including corporate farms,Equals: Realized net income,Other income,Production expenses,Value of inventory change,Employee and self-employed contributions for government social insurance,Equals: Net earnings by place of residence,Farm income ,Less: Contributions for government social insurance ,Nonfarm personal income ,Plus: Adjustment for residence ,"Plus: Dividends, interest, and rent ",Plus: Personal current transfer receipts,Proprietors' income ,Total employment,Income taxes (gross) ,Less: Refunds,Income taxes (net of refunds) ,Other taxes,Other taxes ,Federal government ,Less: Personal current taxes,Local governments,State and local personal property taxes,State governments,Equals: Disposable personal income,Personal current taxes
Wyoming,2001,30681.0,15176559.0,494657.0,13215609.0,26717.0,1091436.0,584262.0,8928.0,104300.0,1280163.0,238430.0,1085491.0,174869.0,63945.0,1449428.0,22667.0,28492.0,120502.0,2379.0,244.0,4782.0,836.0,3444.0,58.0,1176838.0,2365654.0,72873.0,1553728.0,413299.0,1703386.0,1675698.0,28858.0,257281.0,7330442.0,31985.0,3955791.0,10559868.0,9368022.0,7997.0,18938.0,3746.0,30681.0,1852746.0,330154.0,18614,13032,251830,2816,5572,114,46749,1017,1171,254,99475,44151,149040,2556,330174,16386,0,31646,257402,737315,26302,19468,25237,3266,48522,3555,47790,120502,603962,3972,19814,10290,14509,886355,55343,61351,1746782,44613,1852746,413299.0,3955791.0,813866,12020,38938,1136,35116,46024,0,0,10015,0,8733,(NA),100,5645,56091,898828,37948,278,0,58287,665,439642,158736,907839,91226,34454,50272,109802,62873,27289,964717,238455,42032,9963,77617,(L),-83412,9106,-14675,-65896,-2841,1179720,1066575,191880,104300,131591,215003,113145,964717,-83412,617778.0,9368022.0,186030.0,1202040.0,14990529.0,10194.0,3955791.0,1852746.0,1553728.0,330154.0,2119892.0,236155.0,1883737.0,1893.0,23224.0,1883737.0,1960950.0,7002.0,16109.0,54102.0,13215609.0,1960950.0
Alabama,2002,25485.0,114176585.0,4480089.0,103044970.0,23001.0,9606517.0,4489186.0,41915.0,798889.0,8206878.0,2041161.0,4461373.0,664218.0,351659.0,7151626.0,20337.0,30505.0,2256049.0,1015.0,504.0,2828.0,604.0,3989.0,94.0,4547694.0,12668251.0,393574.0,7950515.0,2705379.0,17869867.0,14095703.0,419010.0,1973370.0,60198229.0,34747.0,19921324.0,82244447.0,73710335.0,4447.0,16453.0,4586.0,25485.0,20544926.0,2366944.0,178659,99957,3178764,43545,57432,10243,142759,1518,1320,2169,71522,822631,257826,15250,4424368,105089,632,278616,3236196,7895539,403760,424734,730068,23417,627159,32026,476979,2256049,7765653,12735,161297,99960,144109,8153365,683234,372535,19767025,405366,20544926,2705379.0,19921324.0,609880,28866,36252,0,0,107278,670,20321,7356,86343,38500,(NA),19478,251463,19155,753410,65987,1914141,0,57213,40764,1294418,540403,2706051,733292,167391,295553,216442,390497,106538,3071772,505197,90176,25707,161977,(L),44696,64856,-7835,35627,16904,3932504,3246454,986573,798889,905428,860732,686050,3071772,44696,4991034.0,73710335.0,975734.0,9480220.0,113200851.0,946108.0,19921324.0,20544926.0,7950515.0,2366944.0,11410922.0,2734215.0,8676707.0,49830.0,13130.0,8676707.0,11131615.0,155700.0,96736.0,2202472.0,103044970.0,11131615.0
Alaska,2002,34271.0,22013624.0,642337.0,19973961.0,31096.0,2440811.0,942025.0,530.0,12665.0,1634869.0,268639.0,622244.0,190706.0,82094.0,2327094.0,28347.0,38575.0,320488.0,1017.0,499.0,3514.0,715.0,4401.0,248.0,653209.0,2257113.0,82624.0,2339759.0,459345.0,2827173.0,3382836.0,159057.0,319676.0,12331495.0,44877.0,3369667.0,18054090.0,15337239.0,5246.0,23877.0,5148.0,34271.0,3306718.0,402300.0,48662,69445,756691,680,3733,102,2584,4137,192,1235,16988,41331,20252,5666,266272,26537,996,118107,760424,545718,153391,60330,100720,2320,99485,5800,24027,320488,1053233,964601,22962,14230,20515,565970,108601,53034,3195977,57707,3306718,459345.0,3369667.0,2406,0,250,115,490,22236,0,0,0,0,3444,(NA),0,14220,2000,24892,397,0,0,605,4760,21005,21982,28336,3784,1718,1831,7850,3268,3463,39513,569,2034,1029,5797,0,224,2553,0,(L),191,55417,50318,19491,12665,16128,15904,5099,39513,224,885322.0,15337239.0,19068.0,1827347.0,21994556.0,-889504.0,3369667.0,3306718.0,2339759.0,402300.0,2328466.0,341243.0,1987223.0,2707.0,20196.0,1987223.0,2039663.0,7884.0,2113.0,42443.0,19973961.0,2039663.0
Arizona,2002,27154.0,146532203.0,5396255.0,131639436.0,24395.0,10739932.0,5987108.0,7356.0,342035.0,10661941.0,2886526.0,6858295.0,915471.0,483666.0,10788106.0,22305.0,34450.0,1925971.0,1192.0,357.0,3247.0,705.0,3533.0,93.0,6432296.0,17520236.0,491022.0,11130141.0,3801997.0,19064646.0,16727040.0,503942.0,2356712.0,81188497.0,38292.0,27754529.0,109045678.0,97283115.0,5143.0,18028.0,3983.0,27154.0,21494559.0,2847734.0,324728,220167,3694700,14343,227960,1412,152862,4662,1402,1811,280639,569853,447844,9287,4031541,128951,239,544895,3922660,8250128,494655,404392,406831,38363,599678,44307,495512,1925971,8083152,165118,194971,120829,174195,8697972,682587,450310,20554254,489995,21494559,3801997.0,27754529.0,630507,10326,23332,0,9994,18360,1023,0,27469,152135,399789,(NA),95517,74468,126903,672199,28980,17387,0,48812,929618,852176,1456433,1089375,276547,166542,70786,591977,152986,130975,2283980,248427,68654,45627,376491,(L),-12589,79657,-8611,-14897,10919,2769580,2545808,764153,342035,473011,485600,223772,2283980,-12589,6363146.0,97283115.0,737816.0,12350254.0,145794387.0,587691.0,27754529.0,21494559.0,11130141.0,2847734.0,15301335.0,2899504.0,12401831.0,36406.0,20908.0,12401831.0,14892767.0,36836.0,273344.0,2180756.0,131639436.0,14892767.0
Arkansas,2002,24237.0,65583321.0,2705927.0,59255372.0,21898.0,5084341.0,2638188.0,45977.0,987843.0,4366856.0,1017176.0,2726071.0,416514.0,229608.0,5183834.0,22577.0,28152.0,1262198.0,894.0,466.0,2621.0,530.0,4122.0,149.0,2418106.0,7092927.0,275585.0,6171677.0,1433690.0,11153513.0,7722529.0,404104.0,1203626.0,33884535.0,32300.0,10944723.0,47778741.0,41818783.0,4045.0,15455.0,4738.0,24237.0,12819815.0,1479211.0,156177,38290,2285481,8954,0,3133,140900,3241,1999,2774,38325,443090,188179,11147,2560464,68916,136,194467,2285481,4755175,392957,270245,354396,14822,457053,16055,331014,1262198,4914861,7688,97149,60206,86797,4943354,488066,224378,12351285,244152,12819815,1433690.0,10944723.0,564086,66939,158613,0,391052,117487,43821,511966,109073,286785,50820,(NA),9792,51831,74991,840186,5824,2259835,0,1122851,28953,2131674,1581027,3150841,765136,518718,674495,407829,383808,94773,4729687,515620,203366,32046,254499,(L),22134,187344,16056,-1927,8005,5790171,4731868,1274388,987843,1082618,1060484,1058303,4729687,22134,2875451.0,41818783.0,1257506.0,5513639.0,64325815.0,-446319.0,10944723.0,12819815.0,6171677.0,1479211.0,6068120.0,1462800.0,4605320.0,2993.0,22921.0,4605320.0,6327949.0,2993.0,46141.0,1673495.0,59255372.0,6327949.0
California,2002,33901.0,1182174837.0,34871843.0,1035081245.0,29682.0,101513821.0,47426222.0,76768.0,3991871.0,72256055.0,24258983.0,49635100.0,16156164.0,3639879.0,122890881.0,33762.0,41302.0,20624912.0,1381.0,591.0,3495.0,1159.0,3381.0,206.0,48155768.0,121891155.0,3716647.0,126882752.0,40415147.0,117884994.0,148940043.0,7194879.0,15643112.0,646099056.0,47621.0,210462070.0,921921851.0,826007982.0,6035.0,23687.0,4178.0,33901.0,145704785.0,19359759.0,3474986,4406544,27104938,2889468,2137465,3979,484939,49818,7166,31483,2000482,3746070,5374889,92446,28166114,390109,773,7881530,29242403,42383651,7102433,1707234,7290078,182056,2142982,152871,3600167,20624912,57798626,183162,1257741,779454,1123715,47758540,2478682,2904907,139638968,3160910,145704785,40415147.0,210462070.0,1636810,57893,29706,4068,308442,316862,1899,0,130096,586151,3832501,(NA),7710002,3491779,735029,1983378,504660,870483,0,502398,6732709,9267371,20262728,6686362,2562445,1704717,645973,7292529,766911,1412407,23181364,949697,544295,873904,4091908,(L),223678,860310,105018,48763,69897,28361974,26949090,8957683,3991871,5404288,5180610,1412884,23181364,223678,50390872.0,826007982.0,8512065.0,97817094.0,1173662772.0,1903225.0,210462070.0,145704785.0,126882752.0,19359759.0,133528862.0,22695951.0,110832911.0,444597.0,66368.0,110832911.0,147093592.0,444597.0,998237.0,34817847.0,1035081245.0,147093592.0
Colorado,2002,34805.0,156288493.0,4490406.0,137902389.0,30710.0,12272520.0,6283114.0,31826.0,262114.0,10426328.0,2900937.0,6422381.0,1369054.0,580281.0,17207550.0,29654.0,38201.0,1224124.0,1710.0,273.0,3752.0,951.0,2878.0,155.0,7678917.0,16848709.0,612107.0,17469664.0,4269991.0,12921676.0,18555634.0,697995.0,2305927.0,88089377.0,42534.0,28797617.0,124114675.0,112647081.0,6413.0,25086.0,3306.0,34805.0,14843795.0,2918034.0,217086,171378,2435471,23648,50556,1898,117413,4221,932,4212,444531,331348,585592,11263,2762952,115862,(L),388464,2486027,5287817,686732,170875,333437,27556,447550,40938,348260,1224124,5364841,38275,161905,100337,144652,5873409,516058,373939,14062962,406894,14843795,4269991.0,28797617.0,3269561,285782,234257,816,80162,132742,9601,0,184153,0,250986,(NA),21133,261803,212117,3636560,109535,109700,0,560514,272009,1807621,1437111,3997246,745105,196053,210987,555351,430843,135544,5247873,1662797,125792,49100,402358,(L),-430654,155154,-161072,-291840,22258,6076187,5434357,713572,262114,397660,828314,641830,5247873,-430654,6443334.0,112647081.0,688855.0,12726448.0,155599638.0,1258854.0,28797617.0,14843795.0,17469664.0,2918034.0,17250808.0,2715049.0,14535759.0,39783.0,51594.0,14535759.0,18386104.0,56366.0,173253.0,3620726.0,137902389.0,18386104.0
Connecticut,2002,45017.0,155702576.0,3458749.0,132447727.0,38294.0,11558223.0,5646001.0,4020.0,13243.0,9441873.0,2670173.0,7622460.0,1023097.0,376115.0,21285783.0,56594.0,45876.0,1157526.0,1795.0,335.0,4934.0,1068.0,4336.0,245.0,6207312.0,17064333.0,380135.0,21299026.0,3693270.0,14997512.0,17204224.0,847049.0,1740251.0,79836332.0,55810.0,26964915.0,118339582.0,111735574.0,7796.0,32305.0,4916.0,45017.0,17002087.0,2120386.0,180385,292492,3613567,16956,162130,3223,44742,2466,427,2252,127283,215506,188981,8368,3703510,19782,0,472877,3775697,6255571,838681,147910,321233,28022,188213,25021,208812,1157526,7498989,7905,123580,76585,110411,6444552,241256,285422,16406089,310576,17002087,3693270.0,26964915.0,16063,0,995,0,0,31023,0,0,0,0,58476,(NA),14722,219005,5087,48081,64003,61828,13709,0,19700,187343,336226,168385,38370,19805,4885,184397,30634,10349,499413,8642,12640,22884,152944,0,-17125,48216,-13754,-4826,1455,540130,504611,189071,13243,23592,40717,35519,499413,-17125,5874435.0,111735574.0,178292.0,11520436.0,155524284.0,4916428.0,26964915.0,17002087.0,21299026.0,2120386.0,21800981.0,2602723.0,19198258.0,12200.0,4302.0,19198258.0,23254849.0,12200.0,249037.0,3795354.0,132447727.0,23254849.0
Delaware,2002,37850.0,30513129.0,806169.0,27159630.0,33690.0,2669246.0,1172119.0,2184.0,45482.0,1806601.0,477843.0,1204179.0,156392.0,67085.0,5435407.0,81023.0,38782.0,258097.0,1853.0,320.0,3735.0,787.0,4002.0,176.0,1493929.0,3010780.0,69269.0,5480889.0,634235.0,3226265.0,3841365.0,141800.0,431581.0,16737787.0,52032.0,5138944.0,26060041.0,21748023.0,6375.0,26977.0,4498.0,37850.0,3626162.0,500850.0,31047,50821,650324,3600,10149,0,27417,517,991,586,11802,79003,42819,2094,761356,13346,(L),81868,660473,1447816,139706,40833,56393,5304,68278,3442,81064,258097,1435175,3229,28848,17878,25773,1490635,77036,66627,3487036,72499,3626162,634235.0,5138944.0,7229,31718,2532,0,1132,5476,141,24862,12378,0,19804,(NA),4060,32700,1921,15237,8284,511815,0,70231,53368,273419,170564,546856,256059,38655,11966,52868,68908,11303,729210,62218,20743,4473,38006,0,-12299,25248,-10885,-2247,833,798294,717420,87961,45482,56785,69084,80874,729210,-12299,1226918.0,21748023.0,85458.0,2399037.0,30427671.0,-1912981.0,5138944.0,3626162.0,5480889.0,500850.0,3109731.0,550762.0,2558969.0,8013.0,9915.0,2558969.0,3353499.0,53724.0,0.0,740806.0,27159630.0,3353499.0
District of Columbia,2002,45551.0,26107920.0,573158.0,22620497.0,39466.0,6721045.0,2739670.0,0.0,0.0,2392107.0,328074.0,866788.0,144437.0,53883.0,3477896.0,64545.0,56227.0,474738.0,1565.0,828.0,5686.0,824.0,4488.0,278.0,896755.0,3258895.0,53883.0,3477896.0,472511.0,2572146.0,9460715.0,159591.0,704084.0,39588333.0,69300.0,4628161.0,52526944.0,18273284.0,8075.0,31882.0,5594.0,45551.0,3206475.0,757967.0,84836,129304,1049345,815,833,0,11717,7171,233,602,21049,81371,33581,8006,588228,16153,0,214140,1050178,624802,151585,77074,102153,3291,93443,6332,52430,474738,1654559,8151,19814,12279,17702,658383,103066,45762,3110918,49795,3206475,472511.0,4628161.0,0,0,0,0,0,0,0,0,0,0,0,(NA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2489968.0,18273284.0,0.0,5229638.0,26107920.0,-29024022.0,4628161.0,3206475.0,3477896.0,757967.0,2992787.0,450682.0,2542105.0,214.0,0.0,2542105.0,3487423.0,945318.0,0.0,0.0,22620497.0,3487423.0
Florida,2002,31319.0,522698930.0,16689370.0,470433643.0,28188.0,39731104.0,17351883.0,39135.0,1306421.0,44871971.0,8581521.0,34440597.0,3708713.0,1501061.0,40582417.0,27036.0,33385.0,6368448.0,2262.0,382.0,4752.0,736.0,4300.0,101.0,37744776.0,79312568.0,1540196.0,41888838.0,12290234.0,71765797.0,57082987.0,1691441.0,7515173.0,250895860.0,38636.0,129347578.0,349867685.0,313525666.0,7750.0,18786.0,4783.0,31319.0,79825686.0,9055369.0,730547,674762,10269227,127381,278882,5883,456440,7554,2114,11744,282656,2247926,866477,27295,21025367,457810,770,1405309,10548109,32058437,1664146,891003,1824210,158988,1995711,118569,1591224,6368448,32031286,41741,601850,372982,537716,32924914,2274038,1390046,76923092,1512548,79825686,12290234.0,129347578.0,428298,5626,6416,0,0,217379,0,1428,622,23916,352237,(NA),1649523,1630319,16577,652093,557714,331103,18244,7676,1461742,1711255,5365711,1335433,414690,510511,84503,1554247,203544,847256,4817633,147080,140779,168143,1036264,(L),-17879,339071,-7183,-20770,10074,6989191,6701144,2510828,1306421,2153679,2171558,288047,4817633,-17879,19864575.0,313525666.0,2441486.0,37216458.0,520257444.0,874439.0,129347578.0,79825686.0,41888838.0,9055369.0,61793214.0,10657108.0,51136106.0,83975.0,13136.0,51136106.0,52265287.0,92630.0,250473.0,786078.0,470433643.0,52265287.0
Georgia,2002,29930.0,254655443.0,8508256.0,226137674.0,26579.0,20942517.0,9732223.0,44316.0,1313411.0,15446863.0,4099707.0,8347027.0,1506586.0,738523.0,24702276.0,33448.0,35977.0,3398744.0,1350.0,399.0,2797.0,659.0,3267.0,122.0,11482624.0,23793890.0,782839.0,26015687.0,5606293.0,27799621.0,30674740.0,1039849.0,4076878.0,146672462.0,41847.0,40882807.0,203362889.0,181534422.0,4805.0,21336.0,3789.0,29930.0,32238214.0,4859717.0,395942,192976,7034491,35054,133926,10821,225105,9446,2270,10974,89454,1307885,349613,33511,5792176,224795,201,588918,7168417,10812066,1006338,647580,854361,38539,884850,82165,958643,3398744,13185388,16070,305236,189162,272709,11161679,1005755,704979,30766128,767107,32238214,5606293.0,40882807.0,366545,58037,79892,2206,2019,48143,2641,17684,23058,321799,192720,(NA),103963,268136,36211,494580,233875,2328138,107571,105645,403793,1874523,1580993,3015438,942789,332618,676048,419838,510315,233744,4216169,372108,144755,38441,292394,(L),-19468,129538,-59846,30049,10329,5782794,4596431,1644246,1313411,1547157,1566625,1186363,4216169,-19468,10818260.0,181534422.0,1624680.0,20550483.0,253030763.0,-1277984.0,40882807.0,32238214.0,26015687.0,4859717.0,26882546.0,5429405.0,21453141.0,40738.0,43684.0,21453141.0,28517769.0,40879.0,315660.0,6708089.0,226137674.0,28517769.0
Hawaii,2002,31399.0,38922238.0,1239613.0,34859792.0,28122.0,3668146.0,1618371.0,4795.0,49891.0,3488144.0,732054.0,1391074.0,466863.0,121888.0,3663468.0,30056.0,33068.0,604056.0,1147.0,487.0,3936.0,967.0,3225.0,163.0,1422197.0,4879218.0,126683.0,3713359.0,1198917.0,3998356.0,5286517.0,202489.0,631241.0,20873712.0,39415.0,7500332.0,29873588.0,26617005.0,6051.0,21472.0,3876.0,31399.0,4804901.0,757924.0,127557,114098,746439,4143,15603,0,2375,4079,(L),4603,24869,99417,31387,8691,894998,24666,(L),241655,762042,1857219,193798,152069,110915,14585,130290,11524,54593,604056,1681706,2883,44400,27516,39668,1888606,156437,102547,4590770,111584,4804901,1198917.0,7500332.0,22740,0,5873,0,0,29667,0,0,0,0,22467,(NA),179350,95715,48145,58280,67346,10919,0,0,64163,173692,454719,91666,25791,33925,1916,208590,31863,45581,486287,6025,16306,29275,171180,0,1595,21958,0,-1050,2645,580164,546385,250346,49891,95472,93877,33779,486287,1595,1638212.0,26617005.0,237625.0,3256583.0,38684613.0,0.0,7500332.0,4804901.0,3713359.0,757924.0,3564583.0,671585.0,2892998.0,2988.0,721.0,2892998.0,4062446.0,30733.0,0.0,1138715.0,34859792.0,4062446.0
Idaho,2002,26182.0,35094185.0,1340372.0,31753013.0,23690.0,2698921.0,1526315.0,24868.0,642554.0,2424073.0,660367.0,1553931.0,312771.0,153530.0,3618088.0,23566.0,28467.0,375203.0,1238.0,280.0,2968.0,726.0,3279.0,186.0,1659928.0,3978004.0,178398.0,4260642.0,973138.0,4394662.0,4225236.0,249303.0,612954.0,17448657.0,32772.0,6611070.0,25934535.0,23463947.0,4932.0,17506.0,3745.0,26182.0,5019168.0,791352.0,62858,19685,789676,2011,43397,1641,70834,4541,638,1190,105891,134260,178736,8010,878799,25544,0,82543,833073,1953475,241293,64219,94181,7381,146664,9087,121119,375203,1737416,7402,48392,29989,43235,2132211,163132,111766,4785786,121616,5019168,973138.0,6611070.0,1302296,12661,8833,1382,188004,85756,0,0,311676,0,917786,(NA),24598,70548,330225,1396885,236610,12314,0,513723,779156,1574614,1954860,2326985,550225,351599,165334,552451,196825,224507,3920268,616224,111540,52806,405510,(L),143327,163615,115343,8839,19145,4644004,4281845,1100870,642554,867063,723736,362159,3920268,143327,1451995.0,23463947.0,1074585.0,2978310.0,34019600.0,507722.0,6611070.0,5019168.0,4260642.0,791352.0,3023891.0,639390.0,2384501.0,4775.0,27298.0,2384501.0,3341172.0,7019.0,0.0,949652.0,31753013.0,3341172.0
Illinois,2002,34483.0,431913030.0,12525556.0,380817316.0,30403.0,38204077.0,16403819.0,66349.0,609300.0,26392994.0,6371129.0,20071851.0,3439219.0,1069330.0,40151225.0,37548.0,39942.0,4984759.0,1656.0,398.0,3710.0,783.0,3517.0,242.0,20739345.0,46464845.0,1135679.0,40760525.0,9810348.0,44054470.0,54607896.0,3037407.0,6084529.0,243025957.0,46868.0,77014538.0,338394378.0,302821856.0,6149.0,24176.0,4158.0,34483.0,52076636.0,7220208.0,900226,629649,8854902,109971,151647,18633,552872,13020,7264,11412,75080,1237156,737923,50329,10852357,74995,273,1529875,9006549,19211283,2987078,941292,1276436,72847,566966,49689,1267534,4984759,19933901,39578,450876,279419,402829,19949206,689775,1041352,49902160,1133124,52076636,9810348.0,77014538.0,615957,3206358,879397,3873,868,25650,14797,2344176,112876,0,242284,(NA),21289,290976,60016,1521004,46070,65386,0,5682948,60859,4123815,6162158,1828674,387670,1432466,614930,526405,338560,78283,7770235,411546,252950,50328,336369,(L),-486501,635383,-522787,-57303,93589,8944322,7990832,995997,609300,687586,1174087,953490,7770235,-486501,17237822.0,302821856.0,974901.0,33641641.0,430938129.0,-1930881.0,77014538.0,52076636.0,40760525.0,7220208.0,51228079.0,8850725.0,42377354.0,68579.0,23812.0,42377354.0,51095714.0,128174.0,0.0,8590186.0,380817316.0,51095714.0
Indiana,2002,28941.0,178158904.0,6155967.0,158663200.0,25774.0,15929519.0,7090711.0,56675.0,205437.0,10211867.0,2580693.0,7274306.0,1016332.0,499996.0,14040552.0,28081.0,32693.0,2026419.0,1364.0,329.0,2841.0,584.0,3669.0,142.0,8399506.0,17486173.0,556671.0,14245989.0,3597025.0,22586579.0,23020230.0,873469.0,2997844.0,98009747.0,38058.0,29482704.0,135275966.0,123189733.0,4789.0,20011.0,4140.0,28941.0,25486467.0,3554515.0,348297,250704,4481117,76769,19750,5581,253650,6447,4135,2841,33819,581064,364238,19004,5110803,43664,(L),599001,4500867,10394551,854465,419016,427338,26057,396623,23658,651154,2026419,9655334,10538,220703,136775,197184,10758789,446362,509740,24422065,554662,25486467,3597025.0,29482704.0,255727,1464522,640178,827,(L),35237,0,1258699,50541,0,324351,(NA),23470,147723,56918,931142,46182,471891,15482,2774606,126858,2537022,3191239,1727384,500657,755154,334320,352712,256928,40797,4955685,307156,154633,28519,240025,(L),-307950,348351,-339667,-12242,43959,5509871,4918623,473981,205437,246236,554186,591248,4955685,-307950,7864575.0,123189733.0,458983.0,14955286.0,177699921.0,2869053.0,29482704.0,25486467.0,14245989.0,3554515.0,18503831.0,3947558.0,14556273.0,17073.0,18921.0,14556273.0,19495704.0,997229.0,172638.0,3769564.0,158663200.0,19495704.0
Iowa,2002,28956.0,84963006.0,2934234.0,76711799.0,26144.0,7017527.0,3395831.0,81029.0,1772371.0,5853698.0,1129444.0,4513611.0,811694.0,291062.0,6167723.0,21190.0,29007.0,810924.0,1347.0,276.0,3533.0,662.0,3979.0,150.0,3953235.0,10367309.0,372091.0,7940094.0,1941138.0,11675329.0,10413358.0,440636.0,1508207.0,43747887.0,33027.0,16261682.0,62101339.0,55774435.0,5542.0,19008.0,4406.0,28956.0,12926889.0,1880298.0,163142,108943,2573061,17563,18664,1518,137828,993,1425,1601,12001,215256,167392,5537,2440996,15327,0,272085,2591725,5355022,435099,132121,191462,21233,208200,10829,353041,810924,5048048,7250,104569,64804,93426,5522414,240262,241515,12422575,262799,12926889,1941138.0,16261682.0,2091512,3583269,2803106,10795,0,54035,0,2353399,3041,0,455323,(NA),3487,89159,157235,4948653,6949,402295,0,5950504,19313,5490514,6226647,5806271,1424414,1238185,739711,585213,632917,285182,11545098,1854228,309439,47080,326312,(L),197109,643105,68933,13117,115059,13405546,12032918,2145763,1772371,2057557,1860448,1372628,11545098,197109,3727061.0,55774435.0,2125406.0,7122892.0,82837600.0,795988.0,16261682.0,12926889.0,7940094.0,1880298.0,7594586.0,1506662.0,6087924.0,4872.0,20368.0,6087924.0,8251207.0,56538.0,0.0,2106745.0,76711799.0,8251207.0
Kansas,2002,29385.0,79737565.0,2713535.0,71171090.0,26228.0,6424276.0,3388589.0,58985.0,150137.0,5830159.0,1065258.0,3893347.0,580494.0,276140.0,5536610.0,20050.0,31007.0,744987.0,1372.0,275.0,3583.0,606.0,3702.0,153.0,3722216.0,9723506.0,335125.0,5686747.0,1645752.0,10044376.0,9812865.0,414472.0,1416551.0,43922702.0,33923.0,15091474.0,59422314.0,53442256.0,5562.0,19695.0,4129.0,29385.0,11203835.0,1751676.0,117782,118187,1912911,8606,60091,3605,216909,3930,1940,2096,17520,226412,243035,11571,2304316,61533,124,235969,1973002,4445793,402901,118204,164402,17151,237603,15327,269394,744987,4338851,8284,97208,60242,86850,4688828,270205,224514,10735021,244300,11203835,1645752.0,15091474.0,5956709,737841,284495,2109,36979,21368,361718,333447,1038646,12065,236223,(NA),3777,57977,175808,6262572,30625,26907,0,2510740,12692,3286351,2803684,6525702,959018,664751,456619,562652,692533,60867,9594324,3554091,315466,35974,311277,(L),-673207,251995,-541741,-167503,36037,10478538,9329386,497388,150137,211007,884214,1149152,9594324,-673207,3619219.0,53442256.0,475776.0,7007808.0,79261789.0,1027750.0,15091474.0,11203835.0,5686747.0,1751676.0,7957920.0,1493318.0,6464602.0,7419.0,15966.0,6464602.0,8566475.0,9195.0,110545.0,1982133.0,71171090.0,8566475.0
