GeoName,year,Compensation of employees,Gross domestic product (GDP) by state,Gross operating surplus,Per capita real GDP by state,Quantity indexes for real GDP by state,Real GDP by state,Subsidies,Taxes on production and imports,Taxes on production and imports less subsidies
Delaware,2004,22725,50618,25313,67008,98.751,55670,-152,2732,2580
District of Columbia,2004,54565,79564,22444,161284,92.552,91569,-593,3147,2554
Florida,2004,352261,637113,224925,41618,100.397,724792,-2276,62203,59927
Georgia,2004,193152,353025,137937,45434,98.931,398425,-994,22930,21936
Hawaii,2004,30036,53306,19210,47997,94.064,61128,-219,4279,4060
Idaho,2004,24096,44445,17489,35331,91.346,49173,-285,3144,2860
Illinois,2004,317194,561117,205531,50674,99.690,637979,-2283,40676,38392
Indiana,2004,131076,240428,95075,43489,102.919,271068,-770,15047,14277
Iowa,2004,60086,118710,52308,44849,96.977,132466,-919,7234,6315
Kansas,2004,57943,101343,35977,41551,92.800,113616,-522,7945,7423
Kentucky,2004,78243,135994,48305,37567,99.771,155755,-454,9900,9446
Louisiana,2004,81571,172623,79621,44961,97.693,204674,-437,11867,11430
Maine,2004,26012,44617,14597,38885,101.714,51083,-142,4150,4008
Maryland,2004,141953,247461,91679,50700,92.734,281229,-859,14688,13828
Massachusetts,2004,193046,329640,119771,57594,96.490,369311,-1269,18093,16824
Michigan,2004,225373,383545,132229,42525,116.703,427602,-1007,26949,25942
Minnesota,2004,134870,231904,83254,51433,100.855,261679,-987,14768,13781
Mississippi,2004,44028,78169,27895,30669,96.117,88603,-353,6599,6247
Missouri,2004,123672,215895,79412,42708,98.358,245476,-793,13604,12810
Montana,2004,15176,27979,11039,34832,90.980,32394,-190,1954,1764
Nebraska,2004,39148,71322,27827,45937,92.695,80361,-635,4981,4346
Nevada,2004,55913,103446,39241,51478,101.086,120779,-267,8560,8292
New Hampshire,2004,30531,53148,18655,46472,98.802,59954,-141,4103,3962
New Jersey,2004,237434,423953,151668,56092,100.030,484329,-1551,36402,34851
New Mexico,2004,33862,70121,31890,41360,95.224,78742,-225,4594,4369
New York,2004,531680,954249,355880,55866,93.628,1071033,-4823,71512,66689
North Carolina,2004,179307,332598,133363,43894,91.813,375435,-995,20922,19928
North Dakota,2004,12686,23396,9131,40368,80.415,26025,-337,1916,1579
Ohio,2004,255785,450842,166937,44413,106.429,508628,-1305,29426,28121
Oklahoma,2004,60942,114160,45986,36689,90.206,129337,-391,7623,7232
Oregon,2004,76821,142516,60073,42244,83.207,150790,-620,6241,5621
Pennsylvania,2004,279894,481879,170335,44536,97.352,552728,-1685,33334,31649
Rhode Island,2004,24117,43513,16040,46084,103.602,49521,-153,3510,3357
South Carolina,2004,78147,136875,48664,37262,97.430,156906,-364,10428,10064
South Dakota,2004,14278,30789,14735,42738,90.198,32925,-397,2172,1775
Tennessee,2004,120102,220543,84572,42223,100.909,249569,-505,16373,15868
Texas,2004,460222,922770,391620,46396,88.692,1039001,-2321,73250,70929
Utah,2004,47546,86495,33561,40506,84.941,97279,-240,5628,5388
Vermont,2004,13190,22538,7353,40954,100.658,25388,-85,2080,1995
Virginia,2004,195537,330412,115026,50258,91.675,375706,-879,20728,19849
Washington,2004,147782,271676,101144,49648,87.316,306754,-1190,23940,22749
West Virginia,2004,27983,49409,17438,32782,93.796,59546,-113,4101,3989
Wisconsin,2004,127757,216716,73432,44615,100.078,246008,-784,16311,15527
Wyoming,2004,10667,23705,10575,56370,77.116,28698,-65,2528,2463
Alabama,2005,86747,157914,61857,37887,102.094,173137,-733,10043,9310
Alaska,2005,18603,40277,18859,61513,81.218,41026,-95,2911,2816
Arizona,2005,121219,227047,91070,42957,103.178,250829,-901,15659,14759
Arkansas,2005,48407,90112,35422,35610,98.939,99036,-646,6930,6283
California,2005,930651,1760508,730997,53092,99.400,1902194,-10936,109796,98860
Colorado,2005,120746,222415,88973,51847,96.028,240150,-993,13688,12695
Connecticut,2005,111251,208154,83454,65444,101.519,229510,-657,14106,13449
Delaware,2005,24180,52901,26096,66955,100.378,56587,-213,2837,2624
District of Columbia,2005,57715,83968,23759,163971,93.992,92994,-645,3138,2493
Florida,2005,382541,700222,253130,43329,107.084,773073,-3072,67623,64551
Georgia,2005,204059,376626,148943,46361,102.753,413815,-1420,25045,23625
Hawaii,2005,32104,58123,21524,49790,99.046,64365,-302,4796,4494
Idaho,2005,25903,47990,19303,36510,96.867,52145,-477,3261,2783
Illinois,2005,331412,588847,216063,51447,101.371,648737,-2476,43848,41372
Indiana,2005,135612,247048,94187,43159,102.886,270982,-911,18159,17248
Iowa,2005,62984,124021,54574,45781,99.355,135715,-1257,7720,6463
Kansas,2005,60309,106864,39261,42502,95.303,116681,-913,8207,7294
Kentucky,2005,82294,144174,51727,38300,102.617,160198,-664,10816,10153
Louisiana,2005,84683,200436,103390,47133,102.960,215708,-541,12905,12364
Maine,2005,26511,46052,15371,38796,101.876,51164,-186,4356,4170
Maryland,2005,150151,264729,100454,52165,96.195,291726,-1073,15197,14124
Massachusetts,2005,199467,344145,127186,58588,98.017,375158,-1404,18895,17492
Michigan,2005,230274,396268,138065,43081,118.180,433012,-1289,29218,27929
Minnesota,2005,138950,244800,91490,52445,103.483,268496,-1467,15827,14360
Mississippi,2005,46035,82274,29739,31043,97.861,90210,-509,7009,6500
Missouri,2005,129467,225268,82201,43033,99.841,249177,-969,14569,13599
Montana,2005,16285,30425,12371,35874,94.719,33725,-326,2095,1769
Nebraska,2005,40834,74415,29520,46666,94.818,82202,-1002,5063,4061
Nevada,2005,61700,116764,45172,53836,109.587,130936,-351,10243,9892
New Hampshire,2005,31973,56123,20086,47410,101.452,61562,-170,4234,4064
New Jersey,2005,248250,444973,160175,56974,101.808,492940,-1759,38306,36548
New Mexico,2005,36116,74063,33685,40948,95.685,79123,-389,4652,4263
New York,2005,557787,1024329,391889,58421,97.712,1117747,-5458,80110,74652
North Carolina,2005,189565,357711,146802,45122,96.060,392802,-1458,22802,21344
North Dakota,2005,13342,24709,9806,41453,82.755,26783,-496,2057,1562
Ohio,2005,263009,468197,175155,44772,107.394,513235,-1547,31580,30033
Oklahoma,2005,64423,125106,53332,37610,93.083,133463,-645,7996,7351
Oregon,2005,80624,147583,61259,42562,84.860,153786,-886,6586,5699
Pennsylvania,2005,291537,505091,180010,45001,98.678,560259,-2103,35647,33545
Rhode Island,2005,24991,45250,16748,46744,104.432,49918,-186,3696,3511
South Carolina,2005,82309,144754,51703,37712,99.995,161037,-472,11214,10742
South Dakota,2005,14961,31552,14810,42960,91.264,33315,-551,2332,1781
Tennessee,2005,125270,228730,86592,42087,101.949,252143,-652,17520,16867
Texas,2005,491279,999641,431998,46451,90.319,1058069,-3112,79475,76363
Utah,2005,51171,94876,37980,41880,89.874,102928,-315,6040,5725
Vermont,2005,13704,23483,7617,41504,102.222,25783,-128,2289,2162
Virginia,2005,208437,358730,127685,52227,96.562,395731,-1171,23778,22607
Washington,2005,156153,296731,116319,52021,92.654,325509,-1602,25861,24258
West Virginia,2005,29206,53331,19710,33551,96.209,61079,-135,4550,4415
Wisconsin,2005,132101,226963,79145,45266,102.131,251054,-1130,16848,15718
Wyoming,2005,11589,27748,13279,58273,80.511,29962,-114,2995,2881
Alabama,2006,91560,165131,63377,37911,103.480,175488,-496,10690,10194
Alaska,2006,19606,44867,22047,64670,86.455,43672,-93,3308,3215
Arizona,2006,134281,248075,97248,44018,109.168,265391,-739,17286,16546
Arkansas,2006,51007,95727,37865,36161,101.939,102038,-464,7319,6855
California,2006,985407,1868969,771142,54508,102.601,1963442,-9125,121545,112420
Colorado,2006,127972,233142,91584,51736,97.655,244218,-812,14398,13586
Connecticut,2006,115927,220994,91561,67400,104.865,237075,-592,14098,13506
Delaware,2006,25636,55826,27392,67533,102.935,58029,-168,2966,2798
District of Columbia,2006,61030,88502,24953,166367,95.962,94943,-669,3188,2519
Florida,2006,404963,748021,272715,44034,110.808,799957,-2752,73095,70343
Georgia,2006,216109,393920,151825,45926,104.411,420491,-1102,27089,25987
Hawaii,2006,33926,61684,22817,50358,101.493,65956,-272,5213,4941
Idaho,2006,28628,51821,20163,37409,102.062,54942,-356,3386,3030
Illinois,2006,350091,623535,229495,52683,104.087,666120,-2452,46401,43949
Indiana,2006,141594,258525,99328,43639,104.926,276354,-807,18411,17604
Iowa,2006,66235,128346,55108,46029,100.506,137287,-960,7963,7003
Kansas,2006,63876,113738,41870,43723,98.671,120804,-626,8618,7992
Kentucky,2006,85569,152394,56024,38939,105.241,164294,-527,11328,10801
Louisiana,2006,89930,207944,104150,49221,101.086,211783,-486,14349,13864
Maine,2006,28044,48175,15694,39197,103.305,51882,-163,4600,4437
Maryland,2006,158013,278216,105395,52823,98.017,297253,-973,15781,14808
Massachusetts,2006,210169,359256,131132,59459,99.580,381139,-1301,19256,17955
Michigan,2006,232260,397295,136697,42429,116.217,425821,-1123,29461,28338
Minnesota,2006,143451,251221,92493,51854,103.196,267753,-1222,16498,15276
Mississippi,2006,48337,87302,31843,31888,100.489,92633,-300,7422,7122
Missouri,2006,136059,234124,84207,43032,100.741,251422,-828,14685,13857
Montana,2006,17565,32635,13056,36451,97.534,34727,-216,2230,2014
Nebraska,2006,42859,78581,31247,47666,97.465,84497,-692,5166,4474
Nevada,2006,66237,125387,48746,53527,113.014,135030,-301,10706,10405
New Hampshire,2006,33708,58492,20619,47701,102.851,62411,-140,4305,4165
New Jersey,2006,258729,466524,168421,57835,103.462,500948,-1567,40941,39374
New Mexico,2006,38484,77536,33907,40917,97.091,80285,-271,5415,5144
New York,2006,597460,1083194,407026,60149,100.454,1149115,-5083,83792,78709
North Carolina,2006,202614,386354,159989,46349,101.074,413303,-1170,24922,23752
North Dakota,2006,14262,26491,10582,42913,86.110,27868,-438,2084,1647
Ohio,2006,274324,482227,177327,44738,107.479,513645,-1360,31936,30576
Oklahoma,2006,70120,136804,58280,39155,98.149,140727,-417,8821,8404
Oregon,2006,85841,163033,70980,45594,92.356,167369,-779,6991,6213
Pennsylvania,2006,306971,529969,187593,45444,100.136,568535,-1848,37253,35405
Rhode Island,2006,26352,47659,17686,47904,106.541,50926,-171,3792,3621
South Carolina,2006,87620,152802,53706,37761,102.181,164558,-391,11866,11475
South Dakota,2006,15619,32455,14772,42708,91.612,33442,-365,2429,2064
Tennessee,2006,131322,239425,90289,42247,104.006,257230,-546,18360,17814
Texas,2006,535731,1094064,474908,47876,95.467,1118368,-2494,85919,83425
Utah,2006,56683,106308,43400,44039,97.114,111221,-257,6481,6225
Vermont,2006,14127,24251,7857,41646,102.849,25941,-93,2359,2266
Virginia,2006,218277,378445,136669,52765,98.800,404904,-1021,24519,23499
Washington,2006,167357,315723,122026,52727,95.615,335912,-1357,27696,26339
West Virginia,2006,31253,56748,20977,33935,97.708,62030,-110,4629,4518
Wisconsin,2006,137697,236444,82063,45646,103.573,254598,-892,17576,16684
Wyoming,2006,13515,33049,16214,64191,90.155,33551,-82,3402,3320
Alabama,2007,95565,170399,64388,37644,103.724,175903,-456,10902,10446
Alaska,2007,20800,49285,23559,67399,90.770,45851,-102,5028,4926
Arizona,2007,142405,262214,101706,44199,112.136,272605,-843,18945,18102
Arkansas,2007,53514,99210,38777,35889,102.135,102235,-416,7336,6920
California,2007,1033511,1951997,802852,55008,104.200,1994044,-9455,125088,115633
Colorado,2007,135271,245169,95712,51895,99.685,249295,-866,15052,14186
Connecticut,2007,123205,235299,97747,69762,108.843,246068,-666,15012,14346
Delaware,2007,26213,56805,27788,66032,102.109,57563,-169,2974,2804
District of Columbia,2007,64019,93695,26801,169268,98.272,97228,-664,3539,2875
Florida,2007,418632,773682,281689,43724,111.246,803119,-2867,76227,73360
Georgia,2007,226329,411730,159639,45763,106.247,427885,-1185,26948,25762
Hawaii,2007,35826,64775,23693,50933,103.118,67012,-292,5549,5257
Idaho,2007,30183,55010,21698,37423,104.634,56326,-347,3476,3129
Illinois,2007,367456,648647,235877,53015,105.174,673075,-2712,48026,45314
Indiana,2007,146101,271444,109900,44344,107.410,282897,-840,16284,15444
Iowa,2007,69754,137377,60267,47406,104.089,142181,-1004,8360,7356
Kansas,2007,68229,122276,45842,45206,102.788,125844,-663,8868,8205
Kentucky,2007,89347,155486,55225,38185,104.118,162541,-466,11380,10914
Louisiana,2007,96530,209676,98644,46890,97.931,205173,-991,15493,14502
Maine,2007,29084,49269,15979,38822,102.580,51518,-170,4376,4206
Maryland,2007,165059,290139,109640,53290,99.343,301271,-1090,16529,15440
Massachusetts,2007,223841,377987,136198,60787,102.145,390955,-1455,19402,17947
Michigan,2007,234983,402390,137973,42036,114.741,420411,-1117,30552,29435
Minnesota,2007,152015,259493,91967,51473,103.303,268029,-1212,16723,15510
Mississippi,2007,50525,91919,34108,32222,102.358,94356,-310,7595,7286
Missouri,2007,141557,241909,86014,42782,100.925,251881,-825,15163,14338
Montana,2007,18868,35676,14652,37765,102.323,36432,-228,2384,2156
Nebraska,2007,45122,82918,33071,48069,98.886,85728,-751,5476,4725
Nevada,2007,70145,131137,50060,52384,114.038,136254,-354,11286,10932
New Hampshire,2007,35035,59958,20695,47522,102.792,62375,-154,4382,4228
New Jersey,2007,269401,481936,171044,57972,103.902,503078,-1724,43214,41490
New Mexico,2007,40567,80443,34320,40413,97.260,80425,-281,5837,5556
New York,2007,645068,1120861,393473,60291,100.837,1153500,-5427,87746,82319
North Carolina,2007,215059,395708,156609,45285,100.977,412909,-1142,25182,24040
North Dakota,2007,15239,28670,11793,44087,88.929,28781,-511,2149,1638
Ohio,2007,282102,494917,179667,44584,107.290,512740,-1450,34598,33148
Oklahoma,2007,73609,144171,61699,39289,99.589,142791,-404,9267,8863
Oregon,2007,90232,170522,73706,46385,95.279,172666,-740,7325,6584
Pennsylvania,2007,321024,553105,194322,45834,101.425,575855,-1910,39669,37759
Rhode Island,2007,27124,47948,17220,47045,104.062,49741,-181,3785,3604
South Carolina,2007,92528,160949,56445,37920,104.643,168522,-403,12380,11977
South Dakota,2007,16668,34969,16196,43740,94.854,34625,-478,2583,2105
Tennessee,2007,137489,243405,87090,41241,102.981,254695,-565,19391,18826
Texas,2007,575760,1181302,515340,49068,99.823,1169399,-2588,92790,90202
Utah,2007,61495,116019,47988,45332,102.826,117761,-300,6835,6536
Vermont,2007,14740,24759,7643,41330,102.165,25768,-102,2477,2376
Virginia,2007,229877,391842,137752,52561,99.410,407403,-1135,25347,24212
Washington,2007,180812,343339,134798,54931,101.033,354944,-1476,29206,27729
West Virginia,2007,32192,58564,21689,33716,97.405,61838,-118,4802,4683
Wisconsin,2007,143033,243982,83903,45533,103.930,255477,-910,17956,17046
Wyoming,2007,14989,36763,18175,66302,95.295,35463,-69,3669,3600
Alabama,2008,97866,173521,65036,37176,103.429,175402,-430,11048,10618
Alaska,2008,21794,55436,23580,67563,91.949,46447,-92,10155,10063
Arizona,2008,143898,258978,97614,42168,108.938,264831,-705,18170,17465
Arkansas,2008,54709,102100,40446,35774,102.733,102833,-406,7352,6946
California,2008,1046874,1993589,823054,54713,104.654,2002744,-8332,131993,123661
Colorado,2008,140107,255213,100690,51726,101.137,252925,-776,15192,14415
Connecticut,2008,124957,231486,92231,66880,104.888,237127,-555,14853,14298
Delaware,2008,26347,54303,25280,61346,96.182,54222,-166,2841,2676
District of Columbia,2008,66994,98399,28612,172523,101.179,100104,-706,3499,2793
Florida,2008,416387,754278,266953,41569,106.681,770159,-2472,73410,70938
Georgia,2008,228370,410778,156417,44138,104.172,419529,-1137,27128,25991
Hawaii,2008,36931,66304,24072,50565,103.659,67364,-258,5560,5302
Idaho,2008,30190,55927,22701,36740,104.716,56371,-348,3384,3036
Illinois,2008,373926,645447,225132,51621,102.821,658018,-2791,49181,46390
Indiana,2008,148192,275017,110280,43760,106.746,281148,-907,17452,16546
Iowa,2008,72504,136871,56912,46097,101.806,139062,-1193,8649,7455
Kansas,2008,71502,126343,46679,45380,104.084,127432,-791,8953,8162
Kentucky,2008,91885,158732,55562,37858,104.031,162406,-422,11707,11284
Louisiana,2008,102627,218351,101772,46443,98.326,206000,-1218,15169,13952
Maine,2008,29897,49858,15727,38453,101.871,51162,-145,4380,4235
Maryland,2008,169328,297792,112568,53471,100.236,303982,-1008,16904,15896
Massachusetts,2008,230803,384218,135408,60506,102.264,391411,-1376,19383,18007
Michigan,2008,232908,386445,125471,40097,108.854,398843,-1043,29109,28066
Minnesota,2008,157109,265341,92695,51441,104.028,269911,-1410,16948,15538
Mississippi,2008,52405,94805,35093,32334,103.398,95315,-304,7611,7307
Missouri,2008,147442,248838,86816,42893,101.813,254097,-890,15469,14580
Montana,2008,19532,36852,15080,37562,103.006,36676,-260,2499,2239
Nebraska,2008,46869,85574,33974,48159,99.789,86511,-862,5592,4730
Nevada,2008,70264,128899,48333,49481,109.895,131304,-313,10615,10302
New Hampshire,2008,35928,60164,20071,46865,101.630,61670,-141,4306,4165
New Jersey,2008,274226,493733,178398,57998,104.346,505227,-1595,42703,41108
New Mexico,2008,42372,86209,37908,41091,99.914,82620,-241,6169,5928
New York,2008,661368,1109994,368925,58322,97.953,1120512,-5275,84977,79702
North Carolina,2008,220091,412889,168628,45321,103.179,421912,-1109,25278,24170
North Dakota,2008,16460,32263,14278,48062,97.653,31604,-808,2332,1524
Ohio,2008,284362,493813,176776,43646,105.167,502597,-1398,34073,32675
Oklahoma,2008,77558,155015,68358,39671,101.515,145552,-413,9511,9098
Oregon,2008,91832,180251,81619,48323,100.494,182118,-656,7455,6800
Pennsylvania,2008,329064,566147,199902,45819,101.782,577879,-1782,38963,37182
Rhode Island,2008,27500,47447,16313,45853,101.203,48375,-169,3803,3634
South Carolina,2008,95154,162676,56154,36929,103.854,167251,-390,11758,11368
South Dakota,2008,17514,37014,17534,45208,98.967,36127,-634,2600,1966
Tennessee,2008,140181,250558,91671,41201,104.076,257402,-575,19282,18706
Texas,2008,602048,1243756,549507,48322,100.273,1174672,-2324,94526,92202
Utah,2008,63338,116615,46734,43576,101.327,116045,-277,6820,6543
Vermont,2008,15303,25303,7773,41498,102.692,25901,-88,2315,2227
Virginia,2008,236426,399479,139054,52068,99.524,407874,-1009,25008,23999
Washington,2008,188072,352922,137133,54740,102.248,359214,-1356,29073,27717
West Virginia,2008,33997,62175,23448,34453,99.873,63405,-110,4839,4730
Wisconsin,2008,147036,245197,80925,44742,102.675,252390,-823,18059,17236
Wyoming,2008,16282,43285,23213,69973,102.671,38208,-70,3860,3790
Alabama,2009,95769,169586,63640,35643,100.000,169586,-531,10709,10178
Alaska,2009,22526,50514,23458,72277,100.000,50514,-112,4642,4530
Arizona,2009,135138,243102,91033,38325,100.000,243102,-770,17702,16932
Arkansas,2009,54226,100098,39057,34554,100.000,100098,-433,7247,6814
California,2009,995046,1913674,798191,51775,100.000,1913674,-9272,129709,120437
Colorado,2009,136694,250082,99377,50296,100.000,250082,-886,14898,14012
Connecticut,2009,119373,226076,92231,63472,100.000,226076,-667,15139,14472
Delaware,2009,25272,56374,28248,63219,100.000,56374,-195,3049,2854
District of Columbia,2009,68258,98938,28028,167060,100.000,98938,-780,3432,2652
Florida,2009,394234,721928,260422,38704,100.000,721928,-2756,70028,67272
Georgia,2009,221383,402728,157081,41860,100.000,402728,-1288,25552,24264
Hawaii,2009,36132,64986,23825,48255,100.000,64986,-289,5318,5029
Idaho,2009,28813,53832,22090,34631,100.000,53832,-349,3278,2929
Illinois,2009,357799,639965,236893,50010,100.000,639965,-2946,48219,45273
Indiana,2009,138658,263380,108280,40775,100.000,263380,-981,17423,16442
Iowa,2009,71526,136596,57328,45038,100.000,136596,-1188,8931,7743
Kansas,2009,68754,122431,45731,43221,100.000,122431,-955,8902,7946
Kentucky,2009,88978,156113,56179,36162,100.000,156113,-546,11501,10956
Louisiana,2009,101949,209507,94327,46644,100.000,209507,-914,14145,13230
Maine,2009,29153,50222,16929,37773,100.000,50222,-179,4318,4140
Maryland,2009,169673,303265,118006,52922,100.000,303265,-1151,16738,15586
Massachusetts,2009,222106,382747,142200,58725,100.000,382747,-1546,19986,18440
Michigan,2009,215721,366401,121449,37004,100.000,366401,-1161,30392,29231
Minnesota,2009,149459,259460,93935,49129,100.000,259460,-1351,17417,16066
Mississippi,2009,50944,92182,34329,31156,100.000,92182,-375,7284,6909
Missouri,2009,142580,249574,93240,41867,100.000,249574,-1012,14767,13754
Montana,2009,19123,35605,14295,36185,100.000,35605,-296,2484,2188
Nebraska,2009,46580,86694,35567,47826,100.000,86694,-925,5472,4548
Nevada,2009,64795,119482,44948,44505,100.000,119482,-336,10075,9739
New Hampshire,2009,35265,60681,21029,46106,100.000,60681,-167,4554,4387
New Jersey,2009,266344,484185,178055,55300,100.000,484185,-1804,41590,39786
New Mexico,2009,41484,82691,35839,40598,100.000,82691,-264,5632,5368
New York,2009,625992,1143925,437298,59249,100.000,1143925,-5920,86555,80636
North Carolina,2009,212807,408913,167418,43273,100.000,408913,-1300,29988,28688
North Dakota,2009,16938,32364,13808,48670,100.000,32364,-706,2323,1617
Ohio,2009,269997,477902,176191,41453,100.000,477902,-1698,33412,31713
Oklahoma,2009,75834,143380,58284,38568,100.000,143380,-451,9712,9262
Oregon,2009,87792,181222,86763,47582,100.000,181222,-745,7411,6666
Pennsylvania,2009,322881,567764,209103,44823,100.000,567764,-2039,37818,35779
Rhode Island,2009,26495,47800,17619,45366,100.000,47800,-195,3881,3686
South Carolina,2009,91050,161045,58850,35087,100.000,161045,-482,11628,11146
South Dakota,2009,17388,36504,17124,45230,100.000,36504,-674,2666,1992
Tennessee,2009,133301,247321,96522,39220,100.000,247321,-746,18244,17498
Texas,2009,589461,1171474,493449,47233,100.000,1171474,-2758,91322,88564
Utah,2009,61238,114525,47009,42052,100.000,114525,-312,6590,6279
Vermont,2009,14866,25222,8052,40367,100.000,25222,-97,2401,2304
Virginia,2009,237692,409823,145714,51707,100.000,409823,-1110,27527,26417
Washington,2009,183147,351316,142471,52691,100.000,351316,-1595,27294,25699
West Virginia,2009,33895,63485,25030,34358,100.000,63485,-127,4687,4561
Wisconsin,2009,143074,245815,85038,43359,100.000,245815,-887,18590,17703
Wyoming,2009,15320,37214,18410,66472,100.000,37214,-81,3565,3484
Alabama,2010,97372,176221,68308,36228,102.236,173378,-482,11023,10541
Alaska,2010,23195,54220,25280,69682,98.474,49743,-112,5857,5745
Arizona,2010,134431,247333,95709,38170,100.677,244748,-726,17919,17192
Arkansas,2010,55301,104929,42274,35344,103.184,103285,-382,7736,7354
California,2010,1017602,1960935,819460,51733,100.932,1931514,-9202,133074,123872
Colorado,2010,138566,258148,103477,50194,101.329,253406,-837,16942,16105
Connecticut,2010,121450,230357,94423,63758,100.945,228211,-694,15179,14485
Delaware,2010,25590,57674,29060,63053,100.632,56730,-199,3223,3024
District of Columbia,2010,72427,104044,28817,168377,102.998,101904,-805,3605,2799
Florida,2010,399883,729761,263363,38314,100.051,722295,-2517,69032,66515
Georgia,2010,223497,407999,159637,41561,100.251,403740,-1178,26044,24866
Hawaii,2010,36795,67539,25504,48935,102.707,66745,-270,5509,5239
Idaho,2010,29139,55420,23315,34727,101.321,54543,-345,3311,2966
Illinois,2010,360982,653164,247167,50290,100.901,645733,-2689,47704,45015
Indiana,2010,142831,283111,123384,43130,106.283,279927,-868,17764,16897
Iowa,2010,72526,141382,60695,45779,102.228,139639,-1010,9170,8161
Kansas,2010,70241,128589,50141,44236,103.298,126469,-801,9008,8207
Kentucky,2010,92071,165787,61913,37523,104.551,163218,-463,12265,11802
Louisiana,2010,104880,231372,112708,48305,104.806,219576,-746,14530,13784
Maine,2010,29435,51304,17475,38256,101.111,50780,-174,4567,4394
Maryland,2010,174011,314471,122847,53775,102.635,311257,-1118,18731,17612
Massachusetts,2010,230367,399270,149448,60311,103.433,395887,-1561,21016,19456
Michigan,2010,218924,387167,139315,38985,105.087,385039,-1114,30042,28927
Minnesota,2010,153846,271481,100072,50447,103.251,267895,-1244,18806,17563
Mississippi,2010,51448,94954,36338,31392,101.170,93260,-372,7539,7167
Missouri,2010,143201,255631,98357,42164,101.300,252817,-913,14987,14074
Montana,2010,19667,37801,15861,37156,103.372,36806,-260,2532,2272
Nebraska,2010,46730,91498,39854,49178,103.801,89989,-806,5720,4914
Nevada,2010,63836,119771,45900,43842,99.201,118527,-291,10326,10035
New Hampshire,2010,36141,62679,22221,47286,102.590,62252,-164,4481,4317
New Jersey,2010,268942,492990,182980,55469,100.855,488326,-1713,42781,41068
New Mexico,2010,42236,86195,38726,40316,100.678,83251,-289,5521,5233
New York,2010,653372,1208079,468379,61444,104.208,1192065,-6037,92366,86329
North Carolina,2010,217646,417375,170382,43281,101.182,413747,-1258,30606,29347
North Dakota,2010,18317,36033,15839,51943,108.230,35027,-595,2472,1877
Ohio,2010,275108,494736,187347,42299,102.141,488134,-1554,33835,32281
Oklahoma,2010,78286,151318,63326,38658,101.363,145334,-460,10165,9706
Oregon,2010,88614,191393,95379,49686,105.202,190650,-689,8089,7400
Pennsylvania,2010,331591,588276,219331,45731,102.382,581287,-2105,39459,37354
Rhode Island,2010,27587,49329,17977,46324,102.056,48782,-193,3957,3765
South Carolina,2010,92106,165237,61682,35366,101.815,163968,-473,11922,11449
South Dakota,2010,18069,38044,17779,45443,101.607,37090,-538,2734,2196
Tennessee,2010,136523,254343,99450,39664,101.945,252131,-719,19089,18370
Texas,2010,608451,1251494,552488,47746,102.894,1205374,-2798,93353,90555
Utah,2010,61982,119037,50759,41993,101.727,116503,-309,6605,6296
Vermont,2010,15113,26406,8883,41819,103.757,26170,-104,2514,2410
Virginia,2010,243184,423506,153473,52279,102.375,419556,-1070,27917,26848
Washington,2010,187415,362114,147649,53051,101.807,357663,-1493,28542,27049
West Virginia,2010,34451,66961,27446,35210,102.836,65285,-118,5182,5064
Wisconsin,2010,144139,253801,91805,44296,102.521,252013,-924,18782,17857
Wyoming,2010,15633,39093,19966,64625,98.004,36471,-79,3574,3494
Alabama,2011,99577,181923,71407,36448,103.199,175012,-481,11420,10939
Alaska,2011,24534,59318,27264,71233,101.895,51471,-124,7645,7521
Arizona,2011,139784,255621,97397,38442,102.355,248828,-781,19221,18440
Arkansas,2011,56789,109378,44961,35867,105.289,105392,-391,8019,7629
California,2011,1069679,2031348,829773,51936,102.322,1958105,-9023,140919,131896
Colorado,2011,143085,266796,106807,50069,102.501,256338,-927,17832,16904
Connecticut,2011,125681,232271,91591,63092,100.203,226534,-775,15773,14998
Delaware,2011,26860,59763,29775,63603,102.424,57741,-199,3326,3128
District of Columbia,2011,75491,108029,29801,167337,104.935,103820,-853,3590,2737
Florida,2011,407525,735244,262190,37529,99.332,717109,-2656,68185,65529
Georgia,2011,231996,418917,161152,41592,101.348,408155,-1250,27019,25769
Hawaii,2011,38480,69689,25580,49110,104.156,67686,-279,5907,5629
Idaho,2011,29523,57081,24395,34481,101.447,54611,-337,3500,3163
Illinois,2011,376472,679269,256230,51172,102.820,658012,-2998,49566,46568
Indiana,2011,148403,291890,127551,43109,106.661,280925,-1079,17014,15935
Iowa,2011,74841,149402,66142,46693,104.769,143109,-1243,9662,8419
Kansas,2011,72808,137654,55990,45697,107.121,131149,-898,9755,8857
Kentucky,2011,95268,172255,64820,38007,106.392,166091,-561,12727,12167
Louisiana,2011,106210,236958,115597,45813,100.062,209638,-695,15845,15151
Maine,2011,29900,51481,17193,37798,99.942,50193,-200,4587,4387
Maryland,2011,181320,323942,124741,54062,104.176,315930,-1205,19086,17881
Massachusetts,2011,241499,413673,152069,61230,105.780,404871,-1389,21494,20105
Michigan,2011,228477,401360,144552,39953,107.686,394564,-1330,29660,28331
Minnesota,2011,161351,284491,104791,51268,105.674,274182,-1371,19721,18350
Mississippi,2011,52225,96840,37097,31111,100.521,92662,-349,7867,7518
Missouri,2011,144906,256996,97631,41564,100.099,249820,-1044,15504,14459
Montana,2011,20672,40842,17721,38198,107.032,38109,-271,2721,2449
