GeoName,year,Compensation of employees,Gross domestic product (GDP) by state,Gross operating surplus,Per capita real GDP by state,Quantity indexes for real GDP by state,Real GDP by state,Subsidies,Taxes on production and imports,Taxes on production and imports less subsidies
North Carolina,1998,136409,244146,92988,39861,76.123,311278,-851,15600,14749
North Dakota,1998,9239,16858,6421,33717,67.460,21833,-266,1464,1198
Ohio,1998,208509,360273,129523,40746,96.442,460897,-1028,23269,22240
Oklahoma,1998,46663,81533,29616,32700,77.661,111351,-288,5542,5254
Oregon,1998,59646,105525,41419,35257,65.222,118197,-531,4992,4461
Pennsylvania,1998,216691,372396,131861,39869,85.989,488217,-1356,25199,23843
Rhode Island,1998,17520,30529,10633,38856,83.823,40067,-98,2474,2376
South Carolina,1998,59818,104676,37689,34960,85.079,137016,-275,7444,7169
South Dakota,1998,10319,20445,8725,32505,66.432,24250,-283,1683,1400
Tennessee,1998,92281,167243,63633,38553,86.827,214743,-403,11732,11329
Texas,1998,349074,653512,254521,43372,74.631,874278,-1900,51818,49917
Utah,1998,34977,61503,22478,36907,69.801,79940,-192,4241,4049
Vermont,1998,9475,16119,5243,33451,79.631,20085,-69,1469,1400
Virginia,1998,135302,233908,84375,44668,75.215,308247,-634,14865,14231
Washington,1998,115241,211448,78435,48017,78.856,277036,-951,18722,17771
West Virginia,1998,22559,39793,14114,30904,88.383,56110,-84,3204,3120
Wisconsin,1998,98127,164337,54622,39857,85.898,211150,-700,12289,11589
Wyoming,1998,7358,14909,6093,47475,62.610,23300,-58,1516,1459
Alabama,1999,67400,115704,41397,33345,87.107,147721,-625,7532,6907
Alaska,1999,13115,24727,9752,58707,72.611,36679,-61,1920,1859
Arizona,1999,82707,156118,63648,38317,79.184,192497,-623,10387,9764
Arkansas,1999,36847,67087,25624,32160,85.202,85285,-618,5233,4616
California,1999,681110,1258697,505987,45870,80.295,1536594,-8017,79616,71600
Colorado,1999,91868,162273,61247,48192,81.437,203660,-786,9945,9158
Connecticut,1999,87781,153781,54991,57418,86.007,194440,-467,11475,11009
Delaware,1999,17931,39053,19458,62710,86.209,48600,-138,1803,1664
District of Columbia,1999,40531,58088,15937,139367,80.322,79469,-366,1986,1621
