contract_establish,end_establish,expand_establish,month,net_change,open_establish,state,total_contract,total_expand,year
66440,10553,60823,December,-3038,13132,Iowa,76993,73955,2016.0
60567,10757,66164,March,7440,12600,Iowa,71324,78764,2017.0
63780,10179,61704,June,-511,11744,Iowa,73959,73448,2017.0
63509,9907,57852,September,-3254,12310,Iowa,73416,70162,2017.0
58496,10227,64479,December,7560,11804,Iowa,68723,76283,2017.0
51273,18023,59826,September,5273,14743,Kansas,69296,74569,1992.0
54723,11547,52127,December,683,14826,Kansas,66270,66953,1992.0
52727,11935,51121,March,2290,15831,Kansas,64662,66952,1993.0
50142,11385,57148,June,7834,12213,Kansas,61527,69361,1993.0
52523,10274,54851,September,6756,14702,Kansas,62797,69553,1993.0
53411,13119,52805,December,1,13726,Kansas,66530,66531,1993.0
50504,12213,57401,March,12030,17346,Kansas,62717,74747,1994.0
49086,11346,56079,June,9514,13867,Kansas,60432,69946,1994.0
53372,9271,59946,September,10557,13254,Kansas,62643,73200,1994.0
53747,14268,58173,December,1202,11044,Kansas,68015,69217,1994.0
50970,13381,64305,March,15104,15150,Kansas,64351,79455,1995.0
55346,12210,57483,June,2313,12386,Kansas,67556,69869,1995.0
52420,12086,59830,September,9744,14420,Kansas,64506,74250,1995.0
56256,13918,60647,December,3733,13260,Kansas,70174,73907,1995.0
54880,15926,61923,March,11406,20289,Kansas,70806,82212,1996.0
54889,14699,61378,June,7273,15483,Kansas,69588,76861,1996.0
55516,14221,61677,September,6672,14732,Kansas,69737,76409,1996.0
57085,11666,62012,December,8033,14772,Kansas,68751,76784,1996.0
57944,17127,68611,March,12128,18588,Kansas,75071,87199,1997.0
55591,13609,67563,June,16263,17900,Kansas,69200,85463,1997.0
58992,16534,70263,September,14740,20003,Kansas,75526,90266,1997.0
61490,18565,68146,December,2675,14584,Kansas,80055,82730,1997.0
61737,14623,65925,March,12789,23224,Kansas,76360,89149,1998.0
60948,20618,71057,June,6948,17457,Kansas,81566,88514,1998.0
64723,19749,66432,September,4933,22973,Kansas,84472,89405,1998.0
62696,16291,66572,December,9918,22333,Kansas,78987,88905,1998.0
67754,20405,66526,March,-2963,18670,Kansas,88159,85196,1999.0
65104,23035,67255,June,2842,23726,Kansas,88139,90981,1999.0
63477,18149,66760,September,2951,17817,Kansas,81626,84577,1999.0
67036,15758,66611,December,6118,22301,Kansas,82794,88912,1999.0
64907,20527,69611,March,3705,19528,Kansas,85434,89139,2000.0
67003,14152,62993,June,3604,21766,Kansas,81155,84759,2000.0
62362,19743,64129,September,1068,19044,Kansas,82105,83173,2000.0
64823,14843,62550,December,-5451,11665,Kansas,79666,74215,2000.0
66267,13211,67926,March,8489,20041,Kansas,79478,87967,2001.0
65473,15527,63264,June,-3383,14353,Kansas,81000,77617,2001.0
63413,17883,58092,September,-9753,13451,Kansas,81296,71543,2001.0
63950,12630,57022,December,-7175,12383,Kansas,76580,69405,2001.0
65459,15967,59482,March,-4974,16970,Kansas,81426,76452,2002.0
60660,18170,61294,June,539,18075,Kansas,78830,79369,2002.0
63052,19327,58228,September,-5579,18572,Kansas,82379,76800,2002.0
63491,17795,56469,December,-8511,16306,Kansas,81286,72775,2002.0
64691,14364,51842,March,-9300,17913,Kansas,79055,69755,2003.0
61735,12924,54181,June,-5043,15435,Kansas,74659,69616,2003.0
57484,11321,59840,September,4154,13119,Kansas,68805,72959,2003.0
58370,12671,58386,December,1542,14197,Kansas,71041,72583,2003.0
57450,11291,58185,March,2873,13429,Kansas,68741,71614,2004.0
56375,11366,59235,June,3733,12239,Kansas,67741,71474,2004.0
55703,14064,61986,September,6635,14416,Kansas,69767,76402,2004.0
56426,13991,58950,December,2504,13971,Kansas,70417,72921,2004.0
58119,14644,55592,March,-2865,14306,Kansas,72763,69898,2005.0
55551,11909,57291,June,5704,15873,Kansas,67460,73164,2005.0
58953,13275,61446,September,743,11525,Kansas,72228,72971,2005.0
52794,13478,56036,December,3685,13921,Kansas,66272,69957,2005.0
50322,13041,61056,March,8878,11185,Kansas,63363,72241,2006.0
54255,16949,56257,June,271,15218,Kansas,71204,71475,2006.0
53261,12585,62193,September,14094,17747,Kansas,65846,79940,2006.0
55004,13743,61490,December,5769,13026,Kansas,68747,74516,2006.0
54891,12658,64996,March,10448,13001,Kansas,67549,77997,2007.0
59394,15182,56270,June,-4104,14202,Kansas,74576,70472,2007.0
53248,13109,61050,September,8708,14015,Kansas,66357,75065,2007.0
58023,16957,56784,December,-3274,14922,Kansas,74980,71706,2007.0
60583,15914,69850,March,10038,16685,Kansas,76497,86535,2008.0
60823,15354,56593,June,-4166,15418,Kansas,76177,72011,2008.0
64319,11309,54740,September,-7938,12950,Kansas,75628,67690,2008.0
65695,13612,59231,December,-5540,14536,Kansas,79307,73767,2008.0
67452,11608,44097,March,-23515,11448,Kansas,79060,55545,2009.0
68397,11208,45753,June,-21987,11865,Kansas,79605,57618,2009.0
58873,8141,46602,September,-9052,11360,Kansas,67014,57962,2009.0
55551,12210,51651,December,-5732,10378,Kansas,67761,62029,2009.0
51251,11133,46251,March,-5538,10595,Kansas,62384,56846,2010.0
47887,11334,50314,June,2747,11654,Kansas,59221,61968,2010.0
48893,14316,50565,September,-1203,11441,Kansas,63209,62006,2010.0
47331,12532,53250,December,10587,17200,Kansas,59863,70450,2010.0
50370,10951,49607,March,-533,11181,Kansas,61321,60788,2011.0
50476,11297,50790,June,1319,12302,Kansas,61773,63092,2011.0
50204,10453,53883,September,6122,12896,Kansas,60657,66779,2011.0
51547,10272,51294,December,2216,12741,Kansas,61819,64035,2011.0
45832,10475,59341,March,14735,11701,Kansas,56307,71042,2012.0
50200,10535,52426,June,3493,11802,Kansas,60735,64228,2012.0
52098,12604,50188,September,-3748,10766,Kansas,64702,60954,2012.0
48215,10939,52868,December,8597,14883,Kansas,59154,67751,2012.0
50692,9765,50752,March,1468,11173,Kansas,60457,61925,2013.0
49367,10674,55626,June,7734,12149,Kansas,60041,67775,2013.0
51814,11178,53726,September,6575,15841,Kansas,62992,69567,2013.0
48862,10434,56024,December,9372,12644,Kansas,59296,68668,2013.0
50560,11082,53848,March,2459,10253,Kansas,61642,64101,2014.0
51957,10402,56370,June,5594,11583,Kansas,62359,67953,2014.0
54055,9760,51783,September,-445,11587,Kansas,63815,63370,2014.0
48885,10809,57364,December,10548,12878,Kansas,59694,70242,2014.0
54647,10400,52597,March,-1419,11031,Kansas,65047,63628,2015.0
53323,11744,55709,June,1603,10961,Kansas,65067,66670,2015.0
53993,10756,52619,September,-395,11735,Kansas,64749,64354,2015.0
51406,11362,56658,December,8103,14213,Kansas,62768,70871,2015.0
55702,11436,51985,March,-1268,13885,Kansas,67138,65870,2016.0
55785,14083,53070,June,-6053,10745,Kansas,69868,63815,2016.0
53053,10523,56298,September,6329,13607,Kansas,63576,69905,2016.0
53294,11507,54459,December,2612,12954,Kansas,64801,67413,2016.0
51761,11280,54965,March,3254,11330,Kansas,63041,66295,2017.0
55743,18692,51728,June,-12503,10204,Kansas,74435,61932,2017.0
52784,11398,52431,September,6507,18258,Kansas,64182,70689,2017.0
48115,11233,55111,December,9051,13288,Kansas,59348,68399,2017.0
51273,18023,59826,September,5273,14743,Kansas,69296,74569,1992.0
54723,11547,52127,December,683,14826,Kansas,66270,66953,1992.0
52727,11935,51121,March,2290,15831,Kansas,64662,66952,1993.0
50142,11385,57148,June,7834,12213,Kansas,61527,69361,1993.0
52523,10274,54851,September,6756,14702,Kansas,62797,69553,1993.0
53411,13119,52805,December,1,13726,Kansas,66530,66531,1993.0
50504,12213,57401,March,12030,17346,Kansas,62717,74747,1994.0
49086,11346,56079,June,9514,13867,Kansas,60432,69946,1994.0
53372,9271,59946,September,10557,13254,Kansas,62643,73200,1994.0
53747,14268,58173,December,1202,11044,Kansas,68015,69217,1994.0
50970,13381,64305,March,15104,15150,Kansas,64351,79455,1995.0
55346,12210,57483,June,2313,12386,Kansas,67556,69869,1995.0
52420,12086,59830,September,9744,14420,Kansas,64506,74250,1995.0
56256,13918,60647,December,3733,13260,Kansas,70174,73907,1995.0
54880,15926,61923,March,11406,20289,Kansas,70806,82212,1996.0
54889,14699,61378,June,7273,15483,Kansas,69588,76861,1996.0
55516,14221,61677,September,6672,14732,Kansas,69737,76409,1996.0
57085,11666,62012,December,8033,14772,Kansas,68751,76784,1996.0
57944,17127,68611,March,12128,18588,Kansas,75071,87199,1997.0
55591,13609,67563,June,16263,17900,Kansas,69200,85463,1997.0
58992,16534,70263,September,14740,20003,Kansas,75526,90266,1997.0
61490,18565,68146,December,2675,14584,Kansas,80055,82730,1997.0
61737,14623,65925,March,12789,23224,Kansas,76360,89149,1998.0
60948,20618,71057,June,6948,17457,Kansas,81566,88514,1998.0
64723,19749,66432,September,4933,22973,Kansas,84472,89405,1998.0
62696,16291,66572,December,9918,22333,Kansas,78987,88905,1998.0
67754,20405,66526,March,-2963,18670,Kansas,88159,85196,1999.0
65104,23035,67255,June,2842,23726,Kansas,88139,90981,1999.0
63477,18149,66760,September,2951,17817,Kansas,81626,84577,1999.0
67036,15758,66611,December,6118,22301,Kansas,82794,88912,1999.0
64907,20527,69611,March,3705,19528,Kansas,85434,89139,2000.0
67003,14152,62993,June,3604,21766,Kansas,81155,84759,2000.0
62362,19743,64129,September,1068,19044,Kansas,82105,83173,2000.0
64823,14843,62550,December,-5451,11665,Kansas,79666,74215,2000.0
66267,13211,67926,March,8489,20041,Kansas,79478,87967,2001.0
65473,15527,63264,June,-3383,14353,Kansas,81000,77617,2001.0
63413,17883,58092,September,-9753,13451,Kansas,81296,71543,2001.0
63950,12630,57022,December,-7175,12383,Kansas,76580,69405,2001.0
65459,15967,59482,March,-4974,16970,Kansas,81426,76452,2002.0
60660,18170,61294,June,539,18075,Kansas,78830,79369,2002.0
63052,19327,58228,September,-5579,18572,Kansas,82379,76800,2002.0
63491,17795,56469,December,-8511,16306,Kansas,81286,72775,2002.0
64691,14364,51842,March,-9300,17913,Kansas,79055,69755,2003.0
61735,12924,54181,June,-5043,15435,Kansas,74659,69616,2003.0
57484,11321,59840,September,4154,13119,Kansas,68805,72959,2003.0
58370,12671,58386,December,1542,14197,Kansas,71041,72583,2003.0
57450,11291,58185,March,2873,13429,Kansas,68741,71614,2004.0
56375,11366,59235,June,3733,12239,Kansas,67741,71474,2004.0
55703,14064,61986,September,6635,14416,Kansas,69767,76402,2004.0
56426,13991,58950,December,2504,13971,Kansas,70417,72921,2004.0
58119,14644,55592,March,-2865,14306,Kansas,72763,69898,2005.0
55551,11909,57291,June,5704,15873,Kansas,67460,73164,2005.0
58953,13275,61446,September,743,11525,Kansas,72228,72971,2005.0
52794,13478,56036,December,3685,13921,Kansas,66272,69957,2005.0
50322,13041,61056,March,8878,11185,Kansas,63363,72241,2006.0
54255,16949,56257,June,271,15218,Kansas,71204,71475,2006.0
53261,12585,62193,September,14094,17747,Kansas,65846,79940,2006.0
55004,13743,61490,December,5769,13026,Kansas,68747,74516,2006.0
54891,12658,64996,March,10448,13001,Kansas,67549,77997,2007.0
59394,15182,56270,June,-4104,14202,Kansas,74576,70472,2007.0
53248,13109,61050,September,8708,14015,Kansas,66357,75065,2007.0
58023,16957,56784,December,-3274,14922,Kansas,74980,71706,2007.0
60583,15914,69850,March,10038,16685,Kansas,76497,86535,2008.0
60823,15354,56593,June,-4166,15418,Kansas,76177,72011,2008.0
64319,11309,54740,September,-7938,12950,Kansas,75628,67690,2008.0
65695,13612,59231,December,-5540,14536,Kansas,79307,73767,2008.0
67452,11608,44097,March,-23515,11448,Kansas,79060,55545,2009.0
68397,11208,45753,June,-21987,11865,Kansas,79605,57618,2009.0
58873,8141,46602,September,-9052,11360,Kansas,67014,57962,2009.0
55551,12210,51651,December,-5732,10378,Kansas,67761,62029,2009.0
51251,11133,46251,March,-5538,10595,Kansas,62384,56846,2010.0
47887,11334,50314,June,2747,11654,Kansas,59221,61968,2010.0
48893,14316,50565,September,-1203,11441,Kansas,63209,62006,2010.0
47331,12532,53250,December,10587,17200,Kansas,59863,70450,2010.0
50370,10951,49607,March,-533,11181,Kansas,61321,60788,2011.0
50476,11297,50790,June,1319,12302,Kansas,61773,63092,2011.0
50204,10453,53883,September,6122,12896,Kansas,60657,66779,2011.0
51547,10272,51294,December,2216,12741,Kansas,61819,64035,2011.0
45832,10475,59341,March,14735,11701,Kansas,56307,71042,2012.0
50200,10535,52426,June,3493,11802,Kansas,60735,64228,2012.0
52098,12604,50188,September,-3748,10766,Kansas,64702,60954,2012.0
48215,10939,52868,December,8597,14883,Kansas,59154,67751,2012.0
50692,9765,50752,March,1468,11173,Kansas,60457,61925,2013.0
49367,10674,55626,June,7734,12149,Kansas,60041,67775,2013.0
51814,11178,53726,September,6575,15841,Kansas,62992,69567,2013.0
48862,10434,56024,December,9372,12644,Kansas,59296,68668,2013.0
50560,11082,53848,March,2459,10253,Kansas,61642,64101,2014.0
51957,10402,56370,June,5594,11583,Kansas,62359,67953,2014.0
54055,9760,51783,September,-445,11587,Kansas,63815,63370,2014.0
48885,10809,57364,December,10548,12878,Kansas,59694,70242,2014.0
54647,10400,52597,March,-1419,11031,Kansas,65047,63628,2015.0
53323,11744,55709,June,1603,10961,Kansas,65067,66670,2015.0
53993,10756,52619,September,-395,11735,Kansas,64749,64354,2015.0
51406,11362,56658,December,8103,14213,Kansas,62768,70871,2015.0
55702,11436,51985,March,-1268,13885,Kansas,67138,65870,2016.0
55785,14083,53070,June,-6053,10745,Kansas,69868,63815,2016.0
53053,10523,56298,September,6329,13607,Kansas,63576,69905,2016.0
53294,11507,54459,December,2612,12954,Kansas,64801,67413,2016.0
51761,11280,54965,March,3254,11330,Kansas,63041,66295,2017.0
55743,18692,51728,June,-12503,10204,Kansas,74435,61932,2017.0
52784,11398,52431,September,6507,18258,Kansas,64182,70689,2017.0
48115,11233,55111,December,9051,13288,Kansas,59348,68399,2017.0
66696,10681,70926,September,7407,13858,Kentucky,77377,84784,1992.0
68558,12382,69558,December,4889,16271,Kentucky,80940,85829,1992.0
69176,14084,72078,March,6230,17412,Kentucky,83260,89490,1993.0
65316,12463,78812,June,18674,17641,Kentucky,77779,96453,1993.0
68758,11489,78728,September,14680,16199,Kentucky,80247,94927,1993.0
71797,14566,73927,December,3842,16278,Kentucky,86363,90205,1993.0
67511,14470,83013,March,16980,15948,Kentucky,81981,98961,1994.0
68826,13217,87912,June,22380,16511,Kentucky,82043,104423,1994.0
73316,12628,83212,September,13194,15926,Kentucky,85944,99138,1994.0
75681,13017,79387,December,7666,16977,Kentucky,88698,96364,1994.0
76413,16259,81491,March,6760,17941,Kentucky,92672,99432,1995.0
75943,11637,81310,June,12063,18333,Kentucky,87580,99643,1995.0
78991,13844,82695,September,9240,19380,Kentucky,92835,102075,1995.0
80131,13916,76252,December,-2549,15246,Kentucky,94047,91498,1995.0
75023,17880,81662,March,6213,17454,Kentucky,92903,99116,1996.0
76280,18546,82781,June,6510,18555,Kentucky,94826,101336,1996.0
78097,13802,84376,September,14832,22355,Kentucky,91899,106731,1996.0
79555,15659,80252,December,3376,18338,Kentucky,95214,98590,1996.0
74439,18976,88267,March,13215,18363,Kentucky,93415,106630,1997.0
77117,16571,84419,June,9826,19095,Kentucky,93688,103514,1997.0
82234,17477,88303,September,7012,18420,Kentucky,99711,106723,1997.0
79763,16899,82831,December,5176,19007,Kentucky,96662,101838,1997.0
80309,18844,88345,March,7824,18632,Kentucky,99153,106977,1998.0
81242,19129,87785,June,9879,22465,Kentucky,100371,110250,1998.0
84673,18409,93292,September,11029,20819,Kentucky,103082,114111,1998.0
84735,14384,85871,December,4953,18201,Kentucky,99119,104072,1998.0
82712,19659,86829,March,8639,24181,Kentucky,102371,111010,1999.0
84916,20434,92470,June,8051,20931,Kentucky,105350,113401,1999.0
85454,22023,101170,September,13972,20279,Kentucky,107477,121449,1999.0
87189,19005,88350,December,2373,20217,Kentucky,106194,108567,1999.0
81144,15258,94147,March,20578,22833,Kentucky,96402,116980,2000.0
89617,18393,81085,June,-13021,13904,Kentucky,108010,94989,2000.0
87674,21641,95431,September,7230,21114,Kentucky,109315,116545,2000.0
89842,16525,87036,December,-2649,16682,Kentucky,106367,103718,2000.0
93395,19071,78470,March,-13394,20602,Kentucky,112466,99072,2001.0
101761,23561,86206,June,-20286,18830,Kentucky,125322,105036,2001.0
90786,21059,79696,September,-14740,17409,Kentucky,111845,97105,2001.0
86824,20470,73694,December,-12181,21419,Kentucky,107294,95113,2001.0
79289,19941,82648,March,5675,22257,Kentucky,99230,104905,2002.0
85046,17930,77216,June,-5379,20381,Kentucky,102976,97597,2002.0
80921,17771,79769,September,-1992,16931,Kentucky,98692,96700,2002.0
82943,16746,79900,December,-1297,18492,Kentucky,99689,98392,2002.0
76627,18317,77754,March,-669,16521,Kentucky,94944,94275,2003.0
78294,16984,74359,June,-3440,17479,Kentucky,95278,91838,2003.0
71279,15473,78278,September,7776,16250,Kentucky,86752,94528,2003.0
74034,17367,80942,December,4765,15224,Kentucky,91401,96166,2003.0
76987,16410,76560,March,1005,17842,Kentucky,93397,94402,2004.0
72837,14161,74465,June,6531,19064,Kentucky,86998,93529,2004.0
70045,18331,77122,September,6487,17741,Kentucky,88376,94863,2004.0
72162,16430,76942,December,9042,20692,Kentucky,88592,97634,2004.0
76684,16655,83685,March,7810,17464,Kentucky,93339,101149,2005.0
75735,15093,78600,June,5704,17932,Kentucky,90828,96532,2005.0
74219,16092,77554,September,6151,18908,Kentucky,90311,96462,2005.0
76982,18530,74770,December,-2139,18603,Kentucky,95512,93373,2005.0
68287,13830,83152,March,20730,19695,Kentucky,82117,102847,2006.0
78587,16373,75765,June,-5876,13319,Kentucky,94960,89084,2006.0
76845,20368,76777,September,-3023,17413,Kentucky,97213,94190,2006.0
75923,15075,80575,December,13226,23649,Kentucky,90998,104224,2006.0
80285,14919,88087,March,10156,17273,Kentucky,95204,105360,2007.0
79835,14934,81345,June,2871,16295,Kentucky,94769,97640,2007.0
79322,17186,72388,September,-8470,15650,Kentucky,96508,88038,2007.0
78012,13858,79010,December,4667,17527,Kentucky,91870,96537,2007.0
79715,14016,76921,March,-2385,14425,Kentucky,93731,91346,2008.0
79453,15016,75915,June,-1933,16621,Kentucky,94469,92536,2008.0
86605,15158,68167,September,-18452,15144,Kentucky,101763,83311,2008.0
92031,15593,69643,December,-23996,13985,Kentucky,107624,83628,2008.0
93170,16294,60488,March,-35479,13497,Kentucky,109464,73985,2009.0
88448,14617,67360,June,-21320,14385,Kentucky,103065,81745,2009.0
76291,13919,70244,September,-5581,14385,Kentucky,90210,84629,2009.0
71564,14577,73867,December,2332,14606,Kentucky,86141,88473,2009.0
71817,12423,66552,March,-5270,12418,Kentucky,84240,78970,2010.0
66155,13944,73045,June,7727,14781,Kentucky,80099,87826,2010.0
68514,13035,68917,September,2300,14932,Kentucky,81549,83849,2010.0
69347,11461,76762,December,10601,14647,Kentucky,80808,91409,2010.0
70107,13092,72155,March,1965,13009,Kentucky,83199,85164,2011.0
67589,13876,72532,June,5736,14669,Kentucky,81465,87201,2011.0
68350,11115,75649,September,11169,14985,Kentucky,79465,90634,2011.0
70131,12819,72909,December,3232,13273,Kentucky,82950,86182,2011.0
67991,12003,78401,March,11635,13228,Kentucky,79994,91629,2012.0
68171,12024,74475,June,8213,13933,Kentucky,80195,88408,2012.0
73654,12449,68725,September,-3419,13959,Kentucky,86103,82684,2012.0
68070,13107,76965,December,11344,15556,Kentucky,81177,92521,2012.0
72550,12595,72770,March,2870,15245,Kentucky,85145,88015,2013.0
71286,12258,71457,June,3224,15311,Kentucky,83544,86768,2013.0
69559,12357,73100,September,6193,15009,Kentucky,81916,88109,2013.0
67650,13513,81125,December,15296,15334,Kentucky,81163,96459,2013.0
75309,13543,75225,March,3826,17453,Kentucky,88852,92678,2014.0
69733,13748,75956,June,8399,15924,Kentucky,83481,91880,2014.0
70065,12164,76108,September,9665,15786,Kentucky,82229,91894,2014.0
66309,15280,85374,December,19275,15490,Kentucky,81589,100864,2014.0
80537,12384,69965,March,-8023,14933,Kentucky,92921,84898,2015.0
70445,13708,82885,June,13666,14934,Kentucky,84153,97819,2015.0
73918,13514,76065,September,6137,17504,Kentucky,87432,93569,2015.0
68473,15221,87926,December,20037,15805,Kentucky,83694,103731,2015.0
80668,12037,74368,March,-1963,16374,Kentucky,92705,90742,2016.0
79813,13729,79644,June,3991,17889,Kentucky,93542,97533,2016.0
80241,18748,88203,September,8163,18949,Kentucky,98989,107152,2016.0
74964,15698,80735,December,5017,14944,Kentucky,90662,95679,2016.0
73056,12776,76050,March,5046,14828,Kentucky,85832,90878,2017.0
79680,14745,75362,June,976,20039,Kentucky,94425,95401,2017.0
74445,17344,77374,September,767,15182,Kentucky,91789,92556,2017.0
69932,16135,80080,December,7831,13818,Kentucky,86067,93898,2017.0
66696,10681,70926,September,7407,13858,Kentucky,77377,84784,1992.0
68558,12382,69558,December,4889,16271,Kentucky,80940,85829,1992.0
69176,14084,72078,March,6230,17412,Kentucky,83260,89490,1993.0
65316,12463,78812,June,18674,17641,Kentucky,77779,96453,1993.0
68758,11489,78728,September,14680,16199,Kentucky,80247,94927,1993.0
71797,14566,73927,December,3842,16278,Kentucky,86363,90205,1993.0
67511,14470,83013,March,16980,15948,Kentucky,81981,98961,1994.0
68826,13217,87912,June,22380,16511,Kentucky,82043,104423,1994.0
73316,12628,83212,September,13194,15926,Kentucky,85944,99138,1994.0
75681,13017,79387,December,7666,16977,Kentucky,88698,96364,1994.0
76413,16259,81491,March,6760,17941,Kentucky,92672,99432,1995.0
75943,11637,81310,June,12063,18333,Kentucky,87580,99643,1995.0
78991,13844,82695,September,9240,19380,Kentucky,92835,102075,1995.0
80131,13916,76252,December,-2549,15246,Kentucky,94047,91498,1995.0
75023,17880,81662,March,6213,17454,Kentucky,92903,99116,1996.0
76280,18546,82781,June,6510,18555,Kentucky,94826,101336,1996.0
78097,13802,84376,September,14832,22355,Kentucky,91899,106731,1996.0
79555,15659,80252,December,3376,18338,Kentucky,95214,98590,1996.0
74439,18976,88267,March,13215,18363,Kentucky,93415,106630,1997.0
77117,16571,84419,June,9826,19095,Kentucky,93688,103514,1997.0
82234,17477,88303,September,7012,18420,Kentucky,99711,106723,1997.0
79763,16899,82831,December,5176,19007,Kentucky,96662,101838,1997.0
80309,18844,88345,March,7824,18632,Kentucky,99153,106977,1998.0
81242,19129,87785,June,9879,22465,Kentucky,100371,110250,1998.0
84673,18409,93292,September,11029,20819,Kentucky,103082,114111,1998.0
84735,14384,85871,December,4953,18201,Kentucky,99119,104072,1998.0
82712,19659,86829,March,8639,24181,Kentucky,102371,111010,1999.0
84916,20434,92470,June,8051,20931,Kentucky,105350,113401,1999.0
85454,22023,101170,September,13972,20279,Kentucky,107477,121449,1999.0
87189,19005,88350,December,2373,20217,Kentucky,106194,108567,1999.0
81144,15258,94147,March,20578,22833,Kentucky,96402,116980,2000.0
89617,18393,81085,June,-13021,13904,Kentucky,108010,94989,2000.0
87674,21641,95431,September,7230,21114,Kentucky,109315,116545,2000.0
89842,16525,87036,December,-2649,16682,Kentucky,106367,103718,2000.0
93395,19071,78470,March,-13394,20602,Kentucky,112466,99072,2001.0
101761,23561,86206,June,-20286,18830,Kentucky,125322,105036,2001.0
90786,21059,79696,September,-14740,17409,Kentucky,111845,97105,2001.0
86824,20470,73694,December,-12181,21419,Kentucky,107294,95113,2001.0
79289,19941,82648,March,5675,22257,Kentucky,99230,104905,2002.0
85046,17930,77216,June,-5379,20381,Kentucky,102976,97597,2002.0
80921,17771,79769,September,-1992,16931,Kentucky,98692,96700,2002.0
82943,16746,79900,December,-1297,18492,Kentucky,99689,98392,2002.0
76627,18317,77754,March,-669,16521,Kentucky,94944,94275,2003.0
78294,16984,74359,June,-3440,17479,Kentucky,95278,91838,2003.0
71279,15473,78278,September,7776,16250,Kentucky,86752,94528,2003.0
74034,17367,80942,December,4765,15224,Kentucky,91401,96166,2003.0
76987,16410,76560,March,1005,17842,Kentucky,93397,94402,2004.0
72837,14161,74465,June,6531,19064,Kentucky,86998,93529,2004.0
70045,18331,77122,September,6487,17741,Kentucky,88376,94863,2004.0
72162,16430,76942,December,9042,20692,Kentucky,88592,97634,2004.0
76684,16655,83685,March,7810,17464,Kentucky,93339,101149,2005.0
75735,15093,78600,June,5704,17932,Kentucky,90828,96532,2005.0
74219,16092,77554,September,6151,18908,Kentucky,90311,96462,2005.0
76982,18530,74770,December,-2139,18603,Kentucky,95512,93373,2005.0
68287,13830,83152,March,20730,19695,Kentucky,82117,102847,2006.0
78587,16373,75765,June,-5876,13319,Kentucky,94960,89084,2006.0
76845,20368,76777,September,-3023,17413,Kentucky,97213,94190,2006.0
75923,15075,80575,December,13226,23649,Kentucky,90998,104224,2006.0
80285,14919,88087,March,10156,17273,Kentucky,95204,105360,2007.0
79835,14934,81345,June,2871,16295,Kentucky,94769,97640,2007.0
79322,17186,72388,September,-8470,15650,Kentucky,96508,88038,2007.0
78012,13858,79010,December,4667,17527,Kentucky,91870,96537,2007.0
79715,14016,76921,March,-2385,14425,Kentucky,93731,91346,2008.0
79453,15016,75915,June,-1933,16621,Kentucky,94469,92536,2008.0
86605,15158,68167,September,-18452,15144,Kentucky,101763,83311,2008.0
92031,15593,69643,December,-23996,13985,Kentucky,107624,83628,2008.0
93170,16294,60488,March,-35479,13497,Kentucky,109464,73985,2009.0
88448,14617,67360,June,-21320,14385,Kentucky,103065,81745,2009.0
76291,13919,70244,September,-5581,14385,Kentucky,90210,84629,2009.0
71564,14577,73867,December,2332,14606,Kentucky,86141,88473,2009.0
71817,12423,66552,March,-5270,12418,Kentucky,84240,78970,2010.0
66155,13944,73045,June,7727,14781,Kentucky,80099,87826,2010.0
68514,13035,68917,September,2300,14932,Kentucky,81549,83849,2010.0
69347,11461,76762,December,10601,14647,Kentucky,80808,91409,2010.0
70107,13092,72155,March,1965,13009,Kentucky,83199,85164,2011.0
67589,13876,72532,June,5736,14669,Kentucky,81465,87201,2011.0
68350,11115,75649,September,11169,14985,Kentucky,79465,90634,2011.0
70131,12819,72909,December,3232,13273,Kentucky,82950,86182,2011.0
67991,12003,78401,March,11635,13228,Kentucky,79994,91629,2012.0
68171,12024,74475,June,8213,13933,Kentucky,80195,88408,2012.0
73654,12449,68725,September,-3419,13959,Kentucky,86103,82684,2012.0
68070,13107,76965,December,11344,15556,Kentucky,81177,92521,2012.0
72550,12595,72770,March,2870,15245,Kentucky,85145,88015,2013.0
71286,12258,71457,June,3224,15311,Kentucky,83544,86768,2013.0
69559,12357,73100,September,6193,15009,Kentucky,81916,88109,2013.0
67650,13513,81125,December,15296,15334,Kentucky,81163,96459,2013.0
75309,13543,75225,March,3826,17453,Kentucky,88852,92678,2014.0
69733,13748,75956,June,8399,15924,Kentucky,83481,91880,2014.0
70065,12164,76108,September,9665,15786,Kentucky,82229,91894,2014.0
66309,15280,85374,December,19275,15490,Kentucky,81589,100864,2014.0
80537,12384,69965,March,-8023,14933,Kentucky,92921,84898,2015.0
70445,13708,82885,June,13666,14934,Kentucky,84153,97819,2015.0
73918,13514,76065,September,6137,17504,Kentucky,87432,93569,2015.0
68473,15221,87926,December,20037,15805,Kentucky,83694,103731,2015.0
80668,12037,74368,March,-1963,16374,Kentucky,92705,90742,2016.0
79813,13729,79644,June,3991,17889,Kentucky,93542,97533,2016.0
80241,18748,88203,September,8163,18949,Kentucky,98989,107152,2016.0
74964,15698,80735,December,5017,14944,Kentucky,90662,95679,2016.0
73056,12776,76050,March,5046,14828,Kentucky,85832,90878,2017.0
79680,14745,75362,June,976,20039,Kentucky,94425,95401,2017.0
74445,17344,77374,September,767,15182,Kentucky,91789,92556,2017.0
69932,16135,80080,December,7831,13818,Kentucky,86067,93898,2017.0
